Symbol,Name
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ADAM22,ADAM metallopeptidase domain 22
AFG3L2,AFG3-like AAA ATPase 2
AMIGO1,adhesion molecule with Ig-like domain 1
ARHGEF10,Rho guanine nucleotide exchange factor (GEF) 10
ASPA,aspartoacylase
ATRN,attractin
CNTN2,contactin 2 (axonal)
DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1)
DHH,desert hedgehog
EGR2,early growth response 2
EIF2B2,"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa"
EIF2B4,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa"
EIF2B5,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa"
ERBB2,erb-b2 receptor tyrosine kinase 2
FGFR3,fibroblast growth factor receptor 3
GAL3ST1,galactose-3-O-sulfotransferase 1
GJC3,"gap junction protein, gamma 3, 30.2kDa"
HES5,hes family bHLH transcription factor 5
HEXB,hexosaminidase B (beta polypeptide)
ID4,"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
ILK,integrin-linked kinase
JAM3,junctional adhesion molecule 3
KCNJ10,"potassium channel, inwardly rectifying subfamily J, member 10"
KEL,"Kell blood group, metallo-endopeptidase"
KLK6,kallikrein-related peptidase 6
LAMA2,"laminin, alpha 2"
LGI4,"leucine-rich repeat LGI family, member 4"
LPAR1,lysophosphatidic acid receptor 1
MAL,"mal, T-cell differentiation protein"
MBP,myelin basic protein
MPDZ,multiple PDZ domain protein
MYO5A,"myosin VA (heavy chain 12, myoxin)"
MYOC,"myocilin, trabecular meshwork inducible glucocorticoid response"
MYRF,myelin regulatory factor
NAB1,NGFI-A binding protein 1 (EGR1 binding protein 1)
NAB2,NGFI-A binding protein 2 (EGR1 binding protein 2)
NF1,neurofibromin 1
NFASC,neurofascin
NKX6-2,NK6 homeobox 2
NTF3,neurotrophin 3
OLIG2,oligodendrocyte lineage transcription factor 2
PARD3,par-3 family cell polarity regulator
PLLP,plasmolipin
PLP1,proteolipid protein 1
POU3F1,POU class 3 homeobox 1
POU3F2,POU class 3 homeobox 2
QKI,"QKI, KH domain containing, RNA binding"
SBF2,SET binding factor 2
SCN2A,"sodium channel, voltage gated, type II alpha subunit"
SCN8A,"sodium channel, voltage gated, type VIII alpha subunit"
SERINC5,serine incorporator 5
SIRT2,sirtuin 2
SKI,SKI proto-oncogene
TGFB1,"transforming growth factor, beta 1"
TNFRSF21,"tumor necrosis factor receptor superfamily, member 21"
TSC1,tuberous sclerosis 1
TSPAN2,tetraspanin 2
XK,X-linked Kx blood group
ZNF24,zinc finger protein 24
