"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0032103","positive regulation of response to external stimulus",0.109803921568627,0.0158950510168668,1.17845124225163e-15,4.25656588701289e-12,2.90395195590639e-12,"Lgals9/Cyba/Fcgr1/Nfkbia/Edn1/Ly86/Nckap1l/Prkdc/C3/Sting1/Csf1r/Fn1/Tnfrsf1a/Ctsc/Tyrobp/Trim30a/Swap70/Flna/Fgfr1/Nfkbiz/Ccl2/Ctss/C5ar1/Cebpb/Fcer1g/Fcgr3/Alox5ap/Igtp",28,"grey60"
"GO:0045785","positive regulation of cell adhesion",0.0901960784313725,0.0167279794544319,7.13378117833113e-11,3.90077496347952e-08,2.66122113117257e-08,"Itga5/Lgals9/Irf1/Gcnt2/Dab2/Nckap1l/Runx1/Cd63/Fn1/Itga6/Plpp3/Pdpn/Spp1/Il4ra/Flna/Tgfbr2/Chst2/Nfkbiz/Ccl2/Cited2/Dag1/Col16a1/Dock1",23,"grey60"
"GO:0050727","regulation of inflammatory response",0.0862745098039216,0.0121815783993892,9.37095450483678e-13,1.69239438357352e-09,1.15460023662226e-09,"Serpinf1/Lgals9/Fcgr1/Ncf1/Nfkbia/C3/Sting1/Pik3ap1/Il1r1/Tnfrsf1a/Pglyrp1/Ctsc/Fgfr1/Nfkbiz/Sbno2/Ctss/Ctla2a/Socs3/Cebpb/Fcer1g/Fcgr3/Alox5ap",22,"grey60"
"GO:1903706","regulation of hemopoiesis",0.0823529411764706,0.013951551329215,9.51356170706672e-11,4.29537311074062e-08,2.93042736266358e-08,"Lgals9/Stat3/Irf1/Nfkbia/Zfp36l1/Nckap1l/Prkdc/Runx1/Tmem176a/Csf1r/Stat1/Tmem176b/Pglyrp1/Tyrobp/Il4ra/Itgam/Tgfbr2/Nfkbiz/C1qc/Ctla2a/Cebpb",21,"grey60"
"GO:0019221","cytokine-mediated signaling pathway",0.0823529411764706,0.014610953008954,2.21556557025234e-10,8.8918031552794e-08,6.06624444439852e-08,"Stat3/Il13ra1/Irf1/Nfkbia/Edn1/Il10rb/Sting1/Csf1r/Ifitm1/Ifitm3/Il1r1/Stat1/Laptm5/Tnfrsf1a/Il4ra/Ccl12/Ccl2/Fcer1g/Ifitm2/Csf2rb/Igtp",21,"grey60"
"GO:0002697","regulation of immune effector process",0.0823529411764706,0.0151315332824322,4.18258330055813e-10,1.18131635353166e-07,8.05928071229706e-08,"Lgals9/Fcgr1/Ncf1/Irf1/Nckap1l/Prkdc/Parp3/C3/Il1r1/Cfh/Laptm5/A2m/Pglyrp1/Tyrobp/Il4ra/Itgam/Nfkbiz/Ccl2/Fcer1g/Fcgr3/H2-K1",21,"grey60"
"GO:0030099","myeloid cell differentiation",0.0823529411764706,0.0152356493371278,4.73425446040937e-10,1.22143765078562e-07,8.33299976828447e-08,"Stat3/Nfkbia/Zfp36l1/Dab2/Myh9/Nckap1l/Prkdc/Runx1/Csf1r/Stat1/Ptbp3/Tyrobp/Itgam/Tgfbr2/Sbno2/C1qc/Cited2/Irf8/Klf2/Cebpb/Fcer1g",21,"grey60"
"GO:0002683","negative regulation of immune system process",0.0784313725490196,0.0155479975012147,4.04929412739219e-09,8.125583548967e-07,5.54350734048253e-07,"Lgals9/Gnrh1/Irf1/Nckap1l/Prkdc/Runx1/Parp3/Tmem176a/Laptm5/Tmem176b/A2m/Pglyrp1/Tyrobp/Il4ra/Ccl12/Ccl2/C1qc/Ezr/Cebpb/Fcer1g",20,"grey60"
"GO:0022407","regulation of cell-cell adhesion",0.0784313725490196,0.0162421045325189,8.44701127973868e-09,1.30623171213633e-06,8.91148929915237e-07,"Lgals9/Gnrh1/Irf1/Gcnt2/Nckap1l/Runx1/Itga6/Plpp3/Laptm5/Pdpn/Cd9/Il4ra/Swap70/Tenm3/Tgfbr2/Chst2/Nfkbiz/Ccl2/Cited2/Cebpb",20,"grey60"
"GO:0031349","positive regulation of defense response",0.0745098039215686,0.0104810161726938,3.29206467960619e-11,3.90077496347952e-08,2.66122113117257e-08,"Lgals9/Cyba/Fcgr1/Nfkbia/Prkdc/C3/Sting1/Tnfrsf1a/Ctsc/Tyrobp/Trim30a/Fgfr1/Nfkbiz/Ctss/Cebpb/Fcer1g/Fcgr3/Alox5ap/Igtp",19,"grey60"
