"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"1","Tmem147",0.389780067135169,0,70,0.305583716811811,0.006
"2","Sntb2",-0.388614252295551,0,70,-0.317339262955444,0.0038
"3","Anxa4",-0.46674115726316,2e-04,70,-0.369949826773272,0.002
"4","Eme2",0.776074430001783,2e-04,70,0.447679500545249,0.0286
"5","Birc5",-0.651299918316626,6e-04,70,-0.437244198088672,0.0242
"6","Phykpl",-0.497436917473625,6e-04,70,-0.33979591163045,0.0228
"7","Snrnp48",-0.247769256632228,6e-04,70,-0.208621070720297,0.0038
"8","Gm10130",-0.88456918630131,6e-04,70,-0.851394147684941,0.0014
"9","Crybg2",-0.606749032734363,0.001,70,-0.611640030166482,0.0022
"10","Zkscan3",-0.292365651601599,0.001,70,-0.341813069080404,6e-04
"11","Med30",0.590142479126926,0.0012,70,0.513066140902771,0.0056
"12","Pex2",0.322351044840873,0.0012,70,0.239686235222805,0.0152
"13","Tefm",0.485938086612618,0.0014,70,0.327706586339179,0.0288
"14","Rbak",-0.489344302799651,0.0014,70,-0.403438318238532,0.0068
"15","Cmah",-0.41996891510267,0.0016,70,-0.330745381542699,0.0162
"16","Ddx21",0.303349739554774,0.0018,70,0.220465785088199,0.0336
"17","Mlx",0.436814105255394,0.002,70,0.342563422371156,0.0162
"18","Rrm1",-0.370592308004546,0.002,70,-0.323868541699307,0.0112
"19","Zfp41",-0.391136853065452,0.002,70,-0.308675522714069,0.0218
"20","Xcr1",-0.69992019813004,0.002,70,-0.499330066497814,0.0364
"21","Rhno1",-0.374509893079133,0.0022,70,-0.297888975396283,0.025
"22","Ccnq",0.318815364223357,0.0022,70,0.298341111507882,0.005
"23","Pop4",0.813934479533645,0.0024,70,0.668824985436679,0.011
"24","Nfs1",0.360714560267072,0.0026,70,0.29546064226648,0.015
"25","Acat2",0.300519103031822,0.0028,70,0.239742314764362,0.0234
"26","Phkg1",-0.390376009309024,0.0028,70,-0.295468164032565,0.0232
"27","Carf",-0.328744938323202,0.0028,70,-0.283964384919696,0.0112
"28","Stx19",-0.524878503240497,0.0028,70,-0.58868125464441,4e-04
"29","Itga9",0.464048603377414,0.003,70,0.378742952748484,0.0126
"30","Slc48a1",0.237998482710121,0.003,70,0.272314877769794,0.0014
"31","Tfap2a",-0.681741532785348,0.0032,70,-0.782256282564318,0.001
