"batch","post_idbatch","pre_idbatchcage","Postds","Postrank","Preds","Prerank","wt_d8","CORT","SampleID","given1","received1","condition1","time"
10,"3-2Batch10","2Batch10Cage3",-2.41746411483254,4,-3.57777777777778,4,36.2,339.268143707453,"B10.3.2",0.340500662084621,2.27000441389747,"SUB",70
12,"4-3Batch12","3Batch12Cage4",-2.29166666666667,4,4.61190476190476,1,42.6,243.139250328742,"B12.4.3",4.47773851590106,0,"DES",70
11,"4-4Batch11","4Batch11Cage4",3.1875,1,5.504329004329,1,35.3,303.812723325927,"B11.4.4",5.41199829811374,0,"DOM",70
13,"1-2Batch13","2Batch13Cage1",2.75,1,-2.94444444444444,4,38.5,82.5545162711961,"B13.1.2",0.224831376467649,1.57381963527354,"ASC",70
13,"3-4Batch13","4Batch13Cage3",2.1,1,4.08333333333333,1,35.1,359.454229288908,"B13.3.4",1.23657257057207,0,"DOM",70
12,"1-2Batch12","2Batch12Cage1",-2,4,-4,4,35,120.342538833224,"B12.1.2",0,0.814134275618374,"SUB",70
12,"1-3Batch12","3Batch12Cage1",3.04807692307692,1,4.86666666666667,1,39.4,168.196115507627,"B12.1.3",2.13710247349823,0,"DOM",70
13,"2-2Batch13","2Batch13Cage2",-2.08333333333333,4,-4.01666666666667,4,37.7,167.118260548578,"B13.2.2",0.224831376467649,1.57381963527354,"SUB",70
9,"1-3Batch9","3Batch9Cage1",4.32777777777778,1,5.78418803418803,1,43.6,345.402984352532,"B9.1.3.",7.74073210538587,0.0932618325950105,"DOM",70
10,"1-2Batch10","2Batch10Cage1",3.70893141945774,1,-5.04333333333333,4,40.9,134.725106218733,"B10.1.2",0,6.58301280030267,"ASC",70
9,"3-1Batch9","1Batch9Cage3",4.44615384615385,1,-3.95833333333333,4,40.4,311.198653061814,"B9.3.1.",0,1.49218932152017,"ASC",70
14,"1-2Batch14","2Batch14Cage1",1.75238095238095,1,5.45,1,41.5,452.552545730483,"B14.1.2",3.09112375228078,0,"DOM",70
11,"1-4Batch11","4Batch11Cage1",4.19172932330827,1,-3.95348837209302,4,38.3,171.821962349397,"B11.1.4",0,4.49297971918877,"ASC",70
14,"1-1Batch14","1Batch14Cage1",4.71428571428572,1,-4.79761904761905,4,36.4,65.4780896941236,"B14.1.1",0,1.44896425888161,"ASC",70
