"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"1","Cpne3",0.494542858765489,0,70,0.446175458673066,0.001
"2","Lmo3",1.17679040648273,0,70,0.550956351473794,0.0314
"3","Fndc3b",0.575321411004398,0,70,0.377768401021929,0.0098
"4","Plekha6",-0.396026977639508,0,70,-0.414247336941733,0
"5","Ppp1r2",0.641962233881809,0,70,0.525507371777078,0.0018
"6","Trpm3",0.663588093453037,0,70,0.291421141514538,0.0444
"7","Crot",0.333391126475657,2e-04,70,0.225491104112278,0.0206
"8","Sdc4",0.663813768976407,2e-04,70,0.364401648361706,0.0204
"9","Rogdi",0.332472280615681,2e-04,70,0.234423432849214,0.0066
"10","Prkd3",0.410074117145356,2e-04,70,0.341644474054601,0.0016
"11","Fkbp5",0.574026754478952,2e-04,70,0.375123180725879,0.0112
"12","Tspan12",0.838616594106353,2e-04,70,0.467295397004345,0.0192
"13","Bcat1",0.455325539160769,2e-04,70,0.263032660482324,0.0138
"14","Adra2a",1.44262887096943,2e-04,70,0.793205574154146,0.0166
"15","Tanc1",1.13490962647668,2e-04,70,0.517605183854636,0.0356
"16","Klhl13",1.02332107435067,2e-04,70,0.794895143408466,0.0048
"17","Ptgs1",0.401621164073629,2e-04,70,0.316041233420489,0.009
"18","Erbin",0.569316153757086,4e-04,70,0.349792272912552,0.0234
"19","Mylk",1.00653214140118,4e-04,70,0.74937767307702,0.0086
"20","Clmp",1.03991302632943,4e-04,70,0.638269496654535,0.0128
"21","Ugt8a",0.975431313610776,4e-04,70,0.45083121254546,0.0474
"22","Zfp536",0.743492720575542,4e-04,70,0.402818217990499,0.0376
"23","Ly6g6e",1.96100621097522,6e-04,70,1.08478606480211,0.0202
"24","1110059E24Rik",0.382132006793989,6e-04,70,0.270515824622091,0.0194
"25","Arhgap36",2.29186964161076,6e-04,70,1.56475623063103,0.0086
"26","Cox5a",0.296542821650222,8e-04,70,0.295779660120008,0.002
"27","Wfdc18",1.4433276911983,8e-04,70,1.27741506345818,0.004
"28","Fstl1",0.487765669291265,8e-04,70,0.296001693450719,0.036
"29","St6gal1",0.659243913335858,8e-04,70,0.547521556592304,0.0044
"30","Ublcp1",0.379566402201554,8e-04,70,0.372235117669584,4e-04
"31","Galnt15",1.3518026914882,0.001,70,1.12296032101344,0.0072
"32","Rpp21",0.44484750536986,0.001,70,0.273354304047055,0.0372
"33","Tafa2",1.0115176478879,0.001,70,0.67687926367957,0.0186
"34","Ggta1",1.44078129875316,0.0012,70,1.03736278386854,0.0232
"35","Sox11",0.774918613766152,0.0012,70,0.514938229671659,0.0166
"36","Odc1",0.334539068401267,0.0014,70,0.237190215636012,0.015
"37","Cmah",-0.433921750232836,0.0016,70,-0.344698216672865,0.0128
"38","Ctla2a",0.75699515368209,0.0016,70,0.59361407445166,0.0224
