"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0090407","organophosphate biosynthetic process",0.057742782152231,0.0167279794544319,5.87142555855467e-07,0.00168571339910075,0.00148026267221883,"Nppc/Coasy/Plscr3/Tbpl1/Hpca/Nme5/Pigo/Ormdl1/Snca/Nfs1/Cmpk1/Uck1/Eno1/Gcdh/Mvd/Pip4k2a/Pigx/Map2k1/Pdk1/Pcx/Prps1/Atp5g3",22,"Up","ASC-DOM"
"GO:0034470","ncRNA processing",0.047244094488189,0.0136392031651281,5.9675173441562e-06,0.00319162719289954,0.00280263928601862,"Pop4/Pwp1/2210016F16Rik/Pes1/Rpp38/Thumpd1/Ddx49/Trmt12/Rsl1d1/Dph3/Map2k1/Wdr74/Elp3/Ddx21/Grsf1/C1d/Rpf2/Nol6",18,"Up","ASC-DOM"
"GO:0009117","nucleotide metabolic process",0.0446194225721785,0.0155132921496495,0.000109888116623348,0.022873387835133,0.0200856339028886,"Nppc/Coasy/Tbpl1/Hpca/Nme5/Sirt6/Snca/Cmpk1/Uck1/Eno1/Gcdh/Mvd/Map2k1/Pdk1/Pgk1/Prps1/Atp5g3",17,"Up","ASC-DOM"
"GO:0006753","nucleoside phosphate metabolic process",0.0446194225721785,0.0157909349621712,0.000135799233331086,0.0240740864292598,0.021139994217293,"Nppc/Coasy/Tbpl1/Hpca/Nme5/Sirt6/Snca/Cmpk1/Uck1/Eno1/Gcdh/Mvd/Map2k1/Pdk1/Pgk1/Prps1/Atp5g3",17,"Up","ASC-DOM"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.041994750656168,0.0149233011730409,0.000222344064251289,0.0285400840872955,0.0250616867368716,"Trim13/Klhdc1/Sirt6/Rybp/Gipc1/Hspbp1/Kbtbd7/Fbxl14/Glmn/Cul2/Bag5/Usp5/Klhl22/Rnf14/Dnajc10/Sumo2",16,"Up","ASC-DOM"
"GO:0006914","autophagy",0.041994750656168,0.0161032831262581,0.000512404390820994,0.035953219854999,0.0315713272053377,"Trim13/Chmp1b/Snca/Rraga/Pip4k2a/Vps4b/Ercc4/Map2k1/Atg10/Vdac1/Stx12/Vmp1/Klhl22/Vti1b/Rab1a/Rab24",16,"Up","ASC-DOM"
"GO:0061919","process utilizing autophagic mechanism",0.041994750656168,0.0161032831262581,0.000512404390820994,0.035953219854999,0.0315713272053377,"Trim13/Chmp1b/Snca/Rraga/Pip4k2a/Vps4b/Ercc4/Map2k1/Atg10/Vdac1/Stx12/Vmp1/Klhl22/Vti1b/Rab1a/Rab24",16,"Up","ASC-DOM"
"GO:0019693","ribose phosphate metabolic process",0.0393700787401575,0.0130492121885195,0.000165045154703557,0.0240740864292598,0.021139994217293,"Nppc/Coasy/Nme5/Sirt6/Snca/Cmpk1/Uck1/Eno1/Gcdh/Mvd/Map2k1/Pdk1/Pgk1/Prps1/Atp5g3",15,"Up","ASC-DOM"
"GO:0072521","purine-containing compound metabolic process",0.0393700787401575,0.0136044978135629,0.000258101985084612,0.0318557411590969,0.0279732394360934,"Nppc/Coasy/Hpca/Nme5/Sirt6/Snca/Eno1/Gcdh/Mvd/Map2k1/Pdk1/Macrod2/Pgk1/Prps1/Atp5g3",15,"Up","ASC-DOM"
"GO:0008380","RNA splicing",0.0393700787401575,0.0140209620323454,0.000354841163915597,0.0329670452328181,0.0289491004209391,"Lsm5/Snrpd1/Snrpb2/Alyref/Snrnp25/Mettl4/Bud31/Rbmxl1/Rbm15b/Akt2/Srek1ip1/Grsf1/C1qbp/Rbm42/Wtap",15,"Up","ASC-DOM"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0393700787401575,0.0140903727354758,0.000373670985247863,0.0329670452328181,0.0289491004209391,"Pop4/Pwp1/Pes1/Malsu1/Rpp38/Snrpd1/Ddx49/Rsl1d1/Rsl24d1/Wdr74/Ddx21/C1qbp/C1d/Rpf2/Nol6",15,"Up","ASC-DOM"
"GO:0007264","small GTPase mediated signal transduction",0.0393700787401575,0.0149580065246061,0.00069177909420851,0.0403621656966383,0.0354429212477738,"Camk2d/Arf6/Rap2b/Rheb/Rras2/Rabif/Kbtbd7/Map2k1/Arl6/Flot1/Rit2/Rabgef1/Cdc42/Nckap1/Tiam2",15,"Up","ASC-DOM"
