"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0006753","nucleoside phosphate metabolic process",0.0557491289198606,0.0157909349621712,1.53536794851036e-05,0.0149111532432031,0.0139435467817709,"Galk1/Nppc/Nme6/Nos3/Coasy/Smpdl3a/Nudt14/Dmac2l/Nt5c/Sirt6/Ctps/Gcdh/Cmpk1/Snca/Nudt11/Atp5e",16,"Up","TRN-DOM"
"GO:0006091","generation of precursor metabolites and energy",0.0522648083623693,0.0151315332824322,3.63815592416894e-05,0.0149111532432031,0.0139435467817709,"Rpe/Enox2/Galk1/Ppp1r2/Sdhaf4/Uqcc2/Akt2/Sirt6/Ndufaf1/Snca/Cox5a/Uqcrfs1/Atp5e/Ndufb8/Ldha",15,"Up","TRN-DOM"
"GO:0090407","organophosphate biosynthetic process",0.0522648083623693,0.0167279794544319,0.000111634981186858,0.0200977741335333,0.0187936002849493,"Nppc/Mas1/Nme6/Plscr3/Ormdl1/Nos3/Coasy/Pigo/Dmac2l/Ctps/Gcdh/Cmpk1/Snca/Pcx/Atp5e",15,"Up","TRN-DOM"
"GO:0044282","small molecule catabolic process",0.0487804878048781,0.0115915874227806,7.53225312573347e-06,0.0149111532432031,0.0139435467817709,"Galk1/Inpp4b/Nos3/Enpp4/Bckdhb/Pex7/Esd/Mtmr2/Akt2/Cdo1/Cnr1/Gcdh/Gstz1/Ldha",14,"Up","TRN-DOM"
"GO:0019693","ribose phosphate metabolic process",0.0487804878048781,0.0130492121885195,2.81495381286944e-05,0.0149111532432031,0.0139435467817709,"Galk1/Nppc/Nme6/Coasy/Nudt14/Dmac2l/Nt5c/Sirt6/Ctps/Gcdh/Cmpk1/Snca/Nudt11/Atp5e",14,"Up","TRN-DOM"
"GO:0072521","purine-containing compound metabolic process",0.0487804878048781,0.0136044978135629,4.42467455287927e-05,0.0149111532432031,0.0139435467817709,"Galk1/Nppc/Nme6/Nos3/Coasy/Enpp4/Dmac2l/Nt5c/Sirt6/Gcdh/Snca/Oard1/Nudt11/Atp5e",14,"Up","TRN-DOM"
"GO:0009117","nucleotide metabolic process",0.0487804878048781,0.0155132921496495,0.000176267035452231,0.027953878092895,0.0261399102110275,"Galk1/Nppc/Nme6/Nos3/Coasy/Dmac2l/Nt5c/Sirt6/Ctps/Gcdh/Cmpk1/Snca/Nudt11/Atp5e",14,"Up","TRN-DOM"
"GO:0009259","ribonucleotide metabolic process",0.0452961672473868,0.0126327479697369,8.26297061905593e-05,0.0171361298376729,0.0160241414029465,"Galk1/Nppc/Nme6/Coasy/Dmac2l/Nt5c/Sirt6/Ctps/Gcdh/Cmpk1/Snca/Nudt11/Atp5e",13,"Up","TRN-DOM"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0452961672473868,0.0140903727354758,0.000241642818408099,0.0325734519214118,0.0304597131624946,"Malsu1/Ltv1/Pwp1/Rsl1d1/Snrpd1/Ddx49/Nop10/Rps27l/Imp3/Usp39/Mrpl36/Rsl24d1/C1d",13,"Up","TRN-DOM"
"GO:0044262","cellular carbohydrate metabolic process",0.0418118466898955,0.0101686680086069,4.22548236121743e-05,0.0149111532432031,0.0139435467817709,"Rpe/Galk1/Inpp4b/Mas1/Ppp1r2/Dusp12/Mtmr2/Kat2a/Akt2/Sirt6/Ext1/Snca",12,"Up","TRN-DOM"
