"symbol","DES-DOM70","DES-DOM25","DES-SUB70","DES-SUB25","ASC-DOM70","ASC-DOM25","ASC-SUB70","ASC-SUB25"
"Cox5a",0.2907014675399,NA,0.295222611213969,NA,NA,NA,NA,NA
"Prkag1",0.326005850602757,NA,NA,NA,NA,NA,NA,NA
"Ak4",-0.444207783625967,NA,-0.695338700565323,-0.233272011143541,NA,NA,NA,-0.265865102463795
"Uqcrfs1",0.217486042380647,NA,NA,NA,NA,NA,NA,NA
"Uqcc2",0.245655477067171,NA,0.205021310490135,NA,0.253394644143926,NA,0.21276047756689,NA
"Tmsb4x",0.230914288842905,NA,0.226336355433316,NA,NA,-0.211194646248078,NA,NA
"Ctns",-0.475331000467242,-0.283769642918597,-0.366924890180651,NA,-0.306057364059391,-0.230810939111372,NA,NA
"Ndufaf1",0.224494161770272,0.21757212104166,NA,NA,0.235223125410155,NA,NA,NA
"Hkdc1",-1.76784799616386,-0.467700844296798,-1.96907463759229,-0.901533564086267,0.530729758612514,NA,NA,-0.473607995702576
"Dmac2l",0.285925416831835,NA,NA,NA,0.226582066997659,-0.208967167531515,NA,-0.312254029878916
"Nudt2",0.237998466076517,NA,NA,NA,NA,NA,NA,NA
"Ppif",0.419123363049705,NA,0.326979260704091,NA,0.312649690610395,NA,0.220505588264782,NA
"Pgam2",0.887131317519764,NA,1.26149814377146,0.389768927278816,NA,-0.529720093031516,0.479073974090468,-0.40043594683722
"Atp5e",0.21551766811329,NA,NA,NA,NA,NA,NA,NA
"Clpx",0.204440765549358,NA,0.210420701783287,NA,NA,NA,NA,NA
"Nupr1",0.771947901410832,NA,0.557810509796933,-0.436864505542055,NA,NA,NA,-0.378419298655326
"Galk1",0.412558082015223,0.212748685057075,0.266114950072693,NA,0.400527827450376,NA,0.254084695507847,NA
"Cbfa2t3",-0.269197312792274,-0.251608018879055,-0.235840377199406,NA,-0.219987005356079,-0.202392503382032,NA,NA
"Ndufc2",0.2076161147268,NA,0.31536536956137,NA,NA,NA,0.269904871036331,NA
"Enpp1",-0.322466990114043,0.255798605381614,-0.230343489843105,NA,-0.442719205424872,NA,-0.350595705153935,NA
"Tgfb1",0.261758685977158,NA,NA,NA,NA,NA,-0.262451751699228,NA
"Hspa1a",-0.743010009337924,NA,-0.369130968707053,NA,-1.04994331013275,0.32168319793909,-0.676064269501876,0.587472888451154
"Hspa1b",-0.41690890128036,NA,NA,NA,-0.520360297350591,NA,NA,0.281946280958357
"Atp7a",0.328630252078072,NA,NA,NA,0.330672506040524,0.421277553422063,NA,0.261498125223139
"Stat3",0.219157083402442,NA,0.285830046590851,NA,NA,NA,NA,NA
"Atp5g1",0.20598163321816,NA,0.26959014537345,NA,NA,NA,NA,NA
"Hspa8",0.268736542972578,NA,NA,NA,NA,NA,-0.207144671297076,NA
"Hk2",0.422768989959503,NA,0.533628134621017,NA,NA,NA,NA,NA
"Cox7a1",0.372689945703133,NA,0.305393425255165,-0.311016470422763,NA,NA,NA,-0.608337626298706
"Eno3",-0.201695228127821,-0.542974416220058,NA,-0.420432084564801,NA,NA,NA,NA
"Mlxipl",-0.228363291481287,0.37123518386894,NA,NA,-0.367796216029717,NA,NA,-0.281972415078795
"Cox6b2",-0.334578947572164,NA,NA,NA,NA,0.49942543728353,0.308629578055351,NA
"Fignl1",-0.281937393007412,NA,-0.456348300879257,NA,-0.355413336476484,0.210339421468394,-0.529824244348329,0.23591060881703
"Zbtb20",NA,0.208755101369178,0.526486052782733,0.31642772777754,NA,NA,0.24556268596278,NA
"Chchd10",NA,NA,0.276935002769843,NA,NA,NA,0.229513238114802,NA
"Slc4a4",NA,NA,0.403839675495912,NA,NA,NA,NA,NA
"Bid",NA,NA,0.538720016799173,0.269425525117927,NA,-0.305741743328114,0.23780679666402,NA
"Ola1",NA,NA,0.233146245186433,NA,NA,NA,NA,NA
"Cycs",NA,NA,0.240204034443317,NA,NA,NA,NA,NA
"Adpgk",NA,NA,0.285045529883153,NA,NA,NA,NA,NA
"Prxl2c",NA,NA,-0.283263630405477,NA,NA,NA,NA,NA
"Cox6a1",NA,NA,0.239449419383181,NA,NA,NA,0.261250003398562,NA
"Nipsnap2",NA,NA,0.250650189592618,NA,NA,NA,NA,NA
"Atp5j2",NA,NA,0.217713651626847,NA,NA,NA,NA,NA
"Ndufa8",NA,NA,0.233502872547224,NA,NA,NA,0.240516275493373,NA
"Slc25a33",NA,NA,0.249353916918897,NA,NA,NA,0.252848487213623,0.201636434258035
"Ndufb8",NA,NA,0.20028996271461,NA,0.200886871531225,NA,0.206942209757228,NA
"Atp5g3",NA,NA,0.203097505869088,NA,0.209893623661921,NA,0.276621781583218,NA
"Ppargc1a",NA,NA,0.244956628019213,NA,NA,0.237913473667733,NA,0.224251821321548
"Dnajc15",NA,NA,0.221356258960288,NA,NA,NA,NA,NA
"Atp1a2",NA,NA,0.317150533197781,-0.2277325029868,NA,NA,NA,NA
"Tspo",NA,NA,0.898386051014169,-0.603715050612879,-0.749610253437482,NA,NA,NA
"Dld",NA,NA,0.237109606058549,NA,NA,NA,NA,NA
"Ddit4",NA,NA,0.506350656477038,-0.25276918075045,-0.391444113256175,0.243573840249092,NA,NA
"Tigar",NA,NA,0.316681984416865,NA,NA,NA,0.207384277344225,NA
"Prkaa1",NA,NA,0.314392758105082,NA,NA,NA,0.258197315013972,-0.268569529362636
"Tefm",NA,NA,0.272253458024225,NA,0.325673659180533,0.439426061371959,0.487735278191356,NA
"Cox7c",NA,NA,0.318669579949031,NA,NA,NA,0.355892880080121,NA
"Ndufa1",NA,NA,0.246230360234645,NA,0.202624270624015,-0.246449006740371,0.32359464864838,NA
"Prkaa2",NA,NA,-0.232470879501708,NA,NA,NA,NA,NA
"Aldoc",NA,NA,0.224109626810074,NA,NA,NA,NA,NA
"Uqcrc1",NA,NA,0.24120977608144,NA,NA,NA,0.371118583539475,NA
"Sdhd",NA,NA,0.209659558278044,NA,NA,NA,0.231122518637499,NA
"Ndufb1",NA,NA,0.215290283917542,NA,NA,NA,0.23420815230077,NA
"Pid1",NA,NA,0.202078777806619,0.271903316305455,NA,NA,0.221973932844828,NA
"Myh3",NA,NA,-0.609248376004426,NA,0.340496936605666,NA,-0.279472127847311,0.74756879864393
"Entpd5",NA,NA,0.20771607890615,NA,NA,NA,NA,NA
"P2rx7",NA,-0.364629102715893,0.40600207629406,-0.377818205761289,-0.417479561863403,NA,NA,-0.209371241568956
"Pgk1",NA,NA,NA,NA,0.237892636054237,NA,NA,NA
"Snca",NA,NA,NA,NA,0.327991299493267,NA,NA,NA
"Sirt6",NA,NA,NA,NA,0.340901218656036,0.300101166144265,0.215126825444861,NA
"Nudt5",NA,NA,NA,NA,-0.247995627280989,NA,NA,NA
"Dhtkd1",NA,NA,NA,NA,-0.349348553289349,NA,-0.32256389309519,NA
"Ndufb3",NA,NA,NA,NA,0.212565943800523,NA,NA,NA
"Parg",NA,NA,NA,NA,-0.205710998774574,NA,NA,NA
"Ldha",NA,NA,NA,NA,0.216164618067829,NA,NA,NA
"Eno1",NA,NA,NA,NA,0.274821372989946,NA,0.267168354940109,NA
"Ak5",NA,NA,NA,NA,0.209596917753499,NA,NA,-0.209561943448374
"Fis1",NA,NA,NA,NA,0.205960076598034,NA,0.213429068413251,NA
"Slc2a6",NA,NA,NA,NA,0.20565734344917,NA,0.327875253704638,NA
"Fxn",NA,NA,NA,0.234630599483794,-0.370035068774529,NA,-0.285649257117086,NA
"1700066M21Rik",NA,NA,NA,0.201443970631451,-0.259213341934213,NA,-0.203231637519873,0.334921306452348
"Atp5g2",NA,NA,NA,NA,0.280072027926248,NA,NA,NA
"Prkag3",NA,NA,NA,NA,-0.235983867257034,0.320389799537926,-0.36957340341062,0.287309479163614
"Cox5b",NA,NA,NA,NA,NA,NA,0.280000841953527,NA
"Ndufb6",NA,NA,NA,NA,NA,NA,0.214522535248753,NA
"Uqcrc2",NA,NA,NA,NA,NA,NA,0.21006146115255,NA
"Cox15",NA,0.267025468739237,NA,NA,NA,0.329192799408608,NA,NA
"Afg1l",NA,0.244181467933831,NA,0.278927690225018,NA,NA,NA,NA
"Trem2",NA,-0.232883138832255,NA,NA,NA,NA,NA,NA
"Igf1",NA,-0.315016929239784,NA,-0.499055355703379,NA,NA,NA,NA
"Ak9",NA,0.353510133761127,NA,NA,NA,0.300727577162703,NA,NA
"Vps9d1",NA,NA,NA,-0.208284170596443,NA,NA,NA,NA
"Pink1",NA,NA,NA,-0.213207717867182,NA,NA,NA,NA
"Pfkfb2",NA,NA,NA,0.221208749453623,NA,NA,NA,NA
"Git1",NA,NA,NA,-0.21179409399307,NA,NA,NA,NA
"Abcd1",NA,NA,NA,0.232865224004979,NA,NA,NA,0.243164246614904
"Ndufs5",NA,NA,NA,NA,NA,-0.287583101571746,NA,NA
"Antkmt",NA,NA,NA,NA,NA,-0.29545571736666,NA,-0.223305446318194
"Gapdh",NA,NA,NA,NA,NA,-0.203625901306133,NA,NA
"Ogt",NA,NA,NA,NA,NA,0.263540667527427,NA,NA
"Flcn",NA,NA,NA,NA,NA,0.203655980098,NA,NA
"Ndufc1",NA,NA,NA,NA,NA,-0.282018256262739,NA,NA
"Ndufb4",NA,NA,NA,NA,NA,-0.254506686548137,NA,NA
"Foxk1",NA,NA,NA,NA,NA,-0.233196960120617,NA,-0.232728241799708
"Uqcr10",NA,NA,NA,NA,NA,-0.214333263117319,NA,NA
"Bpgm",NA,NA,NA,NA,NA,0.216618644703643,NA,NA
"Pgm1",NA,NA,NA,NA,NA,-0.200502996957248,NA,NA
"Foxk2",NA,NA,NA,NA,NA,NA,NA,-0.251507098620131
"Trp53",NA,NA,NA,NA,NA,NA,NA,0.207009729007028
