"symbol","dd_logFC","dd_pv","time","adom_logFC","adom_pv","regulated","condition"
"Plekha6",-0.419890970344207,0,70,-0.226776147771382,0.0188,"down","TRN vs DOM"
"Ccdc84",-0.463504722089153,0,70,-0.557055342027702,2e-04,"down","TRN vs DOM"
"Zfp692",-0.554462967621517,4e-04,70,-0.374614940910844,0.0174,"down","TRN vs DOM"
"Seh1l",0.507052535012869,4e-04,70,0.328129279838349,0.0104,"up","TRN vs DOM"
"Rsl1d1",0.290058791524395,6e-04,70,0.284863308783104,0.001,"up","TRN vs DOM"
"Castor2",-0.423678892727318,8e-04,70,-0.301137542840816,0.0148,"down","TRN vs DOM"
"Carmil1",-0.528303578962234,8e-04,70,-0.325004402453481,0.0272,"down","TRN vs DOM"
"Adgrl2",-0.480919762148642,0.001,70,-0.317011620641613,0.029,"down","TRN vs DOM"
"Dnajc10",0.279264461535791,0.002,70,0.207893060050685,0.0204,"up","TRN vs DOM"
"Foxo4",-0.596101796592727,0.002,70,-0.461231753590719,0.0098,"down","TRN vs DOM"
"Slc37a3",0.322738175741281,0.0022,70,0.284487047944928,0.0056,"up","TRN vs DOM"
"Atg10",0.338966046860614,0.0024,70,0.248759192629942,0.0246,"up","TRN vs DOM"
"Nhlrc3",-0.52211174764869,0.0024,70,-0.430972767823989,0.0054,"down","TRN vs DOM"
"Dynlt2b",0.296662198978189,0.0026,70,0.322158865544367,0.0018,"up","TRN vs DOM"
"Snrpb2",0.281541454270067,0.003,70,0.312243302600205,0.0012,"up","TRN vs DOM"
"Frmpd3",-0.482350312288322,0.003,70,-0.33497461510884,0.0344,"down","TRN vs DOM"
"Cd46",-0.379258958847837,0.0034,70,-0.269020246428895,0.0336,"down","TRN vs DOM"
"Mllt6",-0.228063375932116,0.0036,70,-0.245274132660571,0.0032,"down","TRN vs DOM"
"Siah3",-0.750070524039751,0.004,70,-0.798666758082118,0.0038,"down","TRN vs DOM"
"Stx19",-0.469907733634137,0.0048,70,-0.59525265496071,0.0012,"down","TRN vs DOM"
"Polr1f",0.237856722187708,0.005,70,0.21670941290251,0.0138,"up","TRN vs DOM"
"Cemip2",-0.297168232580825,0.005,70,-0.325262035871128,0.0016,"down","TRN vs DOM"
"Kmt2a",-0.344316797189393,0.0052,70,-0.245880296002564,0.042,"down","TRN vs DOM"
"Malsu1",0.457968104396991,0.0054,70,0.333859770582475,0.0422,"up","TRN vs DOM"
"Zfp280d",-0.287339604317692,0.0056,70,-0.373045084991828,8e-04,"down","TRN vs DOM"
"Chka",-0.277852844836831,0.0058,70,-0.263846915586883,0.011,"down","TRN vs DOM"
"Bbof1",-0.37993845987591,0.0058,70,-0.327958365838641,0.0184,"down","TRN vs DOM"
"Ccdc80",0.575969019551779,0.006,70,0.432655772117687,0.039,"up","TRN vs DOM"
"Chmp1b",0.318441640071894,0.006,70,0.344262656414903,0.0052,"up","TRN vs DOM"
"Crtac1",0.633768107856543,0.0068,70,0.560448389318394,0.0178,"up","TRN vs DOM"
"Cndp1",-0.410018807237635,0.0076,70,-0.440178874895905,0.005,"down","TRN vs DOM"
"Akt2",0.278999791748718,0.0078,70,0.216542101324057,0.041,"up","TRN vs DOM"
"Smg1",-0.219362243914053,0.0084,70,-0.225758668643575,0.0108,"down","TRN vs DOM"
"Phrf1",-0.223741412682184,0.0088,70,-0.360200681050779,2e-04,"down","TRN vs DOM"
"Olfr1396",-0.558889194373573,0.0092,70,-0.4633172373553,0.0282,"down","TRN vs DOM"
"Cmah",-0.349847669238265,0.0094,70,-0.335561429342036,0.0164,"down","TRN vs DOM"
"Plekhn1",-0.281363988281278,0.0098,70,-0.270808625564672,0.0116,"down","TRN vs DOM"
"Sfmbt1",-0.299405353603665,0.0102,70,-0.312442925180449,0.0054,"down","TRN vs DOM"
"Rad54l2",-0.225480356211452,0.0102,70,-0.268734741175054,0.003,"down","TRN vs DOM"
"Zfp846",-0.265809331614023,0.0104,70,-0.295129529771178,0.008,"down","TRN vs DOM"
"Fam184a",-0.334155763217547,0.011,70,-0.349423745331421,0.0106,"down","TRN vs DOM"
"Kmt2d",-0.263368137035247,0.0114,70,-0.333362068584644,8e-04,"down","TRN vs DOM"
"Pibf1",-0.33236030438637,0.0116,70,-0.259226284752188,0.0462,"down","TRN vs DOM"
"Dlx6",-0.455457005798515,0.0118,70,-0.356767720095026,0.048,"down","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Phyhipl",0.238754168470092,0.012,70,0.28001927763733,0.003,"up","TRN vs DOM"
"Spen",-0.27829920583306,0.0122,70,-0.330877702312518,0.006,"down","TRN vs DOM"
"Gm32742",0.602304031273385,0.0122,70,0.642575246608706,0.0072,"up","TRN vs DOM"
"Gpsm1",-0.351915318033983,0.0124,70,-0.275868190880182,0.0486,"down","TRN vs DOM"
"Wdfy2",-0.346102801761398,0.0126,70,-0.29811851138173,0.0296,"down","TRN vs DOM"
"Kcnip3",0.27369501731139,0.0126,70,0.285437649026188,0.0094,"up","TRN vs DOM"
"Isoc1",-0.401679037357132,0.0128,70,-0.397731512553032,0.0164,"down","TRN vs DOM"
"E130308A19Rik",-0.35692641844502,0.0128,70,-0.315268453611783,0.028,"down","TRN vs DOM"
"Arf2",0.235254555862745,0.0132,70,0.231856528120024,0.018,"up","TRN vs DOM"
"St3gal5",0.294024488264188,0.0134,70,0.269677509434954,0.02,"up","TRN vs DOM"
"Zfp710",-0.324427443567078,0.0144,70,-0.299476857744443,0.026,"down","TRN vs DOM"
"Aaas",0.254243726675325,0.015,70,0.333310285023587,0.0018,"up","TRN vs DOM"
"Ppp2r1b",-0.46109066782062,0.0152,70,-0.442456991861003,0.0252,"down","TRN vs DOM"
"Plekhh3",-0.545355993238339,0.0158,70,-0.561807915669611,0.0114,"down","TRN vs DOM"
"Avpi1",0.35483249829459,0.0166,70,0.306063102094138,0.046,"up","TRN vs DOM"
"Nif3l1",-0.248165030453486,0.0166,70,-0.215404095799973,0.0386,"down","TRN vs DOM"
"Uqcc2",0.245655477067171,0.0168,70,0.253394644143926,0.0158,"up","TRN vs DOM"
"Vps26a",0.292053151196248,0.0172,70,0.31196702812133,0.0124,"up","TRN vs DOM"
"Rap2b",0.212035717668741,0.0174,70,0.374873824597282,2e-04,"up","TRN vs DOM"
"Lman2l",-0.203803612969803,0.0176,70,-0.327662945946299,6e-04,"down","TRN vs DOM"
"Olfr739",0.863681081430807,0.0176,70,0.848892728864809,0.0238,"up","TRN vs DOM"
"Slc7a4",0.263765463973614,0.0182,70,0.284849184157448,0.0134,"up","TRN vs DOM"
"Tdp1",0.596045362657131,0.0188,70,0.713055909881555,0.0058,"up","TRN vs DOM"
"Cpped1",0.294850032290076,0.0188,70,0.295898530513463,0.0198,"up","TRN vs DOM"
"Kansl1l",-0.349122008299614,0.019,70,-0.479387316233884,0.0028,"down","TRN vs DOM"
"Csdc2",-0.235497391088886,0.019,70,-0.23809158811603,0.019,"down","TRN vs DOM"
"Zfp719",0.26778288201161,0.0192,70,0.261631024882192,0.0228,"up","TRN vs DOM"
"Kcns3",-0.677957342441376,0.0192,70,-0.837242360654305,0.0078,"down","TRN vs DOM"
"Cul2",0.251955800109131,0.0194,70,0.242637891319768,0.0244,"up","TRN vs DOM"
"Aff3",-0.242052732021807,0.0196,70,-0.263501047515758,0.0194,"down","TRN vs DOM"
"Snx29",-0.417352548810696,0.0198,70,-0.344332102327505,0.0462,"down","TRN vs DOM"
"Tbcc",0.344111087755903,0.0202,70,0.310496820938664,0.0424,"up","TRN vs DOM"
