"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Tpst2",0.399391226492392,0,70,0.326342060036716,4e-04,"up","TRN vs SUB"
"Anxa4",-0.468324499413756,0,70,-0.226950182492343,0.0382,"down","TRN vs SUB"
"Tgfb2",0.579204788607802,2e-04,70,0.467970840753752,0.0042,"up","TRN vs SUB"
"Eme2",0.775976579921975,2e-04,70,0.693306673871728,2e-04,"up","TRN vs SUB"
"Olfr1431",-1.57948397544586,2e-04,70,-0.907443453959563,0.0068,"down","TRN vs SUB"
"Tmem147",0.389354996007619,4e-04,70,0.300538035946402,0.0044,"up","TRN vs SUB"
"Birc5",-0.652898039414261,4e-04,70,-0.365423142418966,0.0322,"down","TRN vs SUB"
"Tstd2",-0.580797498579781,4e-04,70,-0.621529081286443,4e-04,"down","TRN vs SUB"
"Htr2c",0.903266052689669,4e-04,70,0.839110041834488,0.0012,"up","TRN vs SUB"
"Rftn1",1.16603521756385,6e-04,70,1.31553152264679,2e-04,"up","TRN vs SUB"
"Vmn2r28",-0.851179785476594,6e-04,70,-0.509638487836878,0.0304,"down","TRN vs SUB"
"Nnat",0.81245591873382,8e-04,70,0.946351664540691,0.001,"up","TRN vs SUB"
"Cbx4",0.275607058745146,0.001,70,0.287504897609141,6e-04,"up","TRN vs SUB"
"Mlx",0.437318058775986,0.0014,70,0.290657733183013,0.0344,"up","TRN vs SUB"
"Wnt7b",0.967401115769433,0.0014,70,0.623661361089304,0.0404,"up","TRN vs SUB"
"Mkrn2",-0.403251473438994,0.0016,70,-0.259199833325025,0.0336,"down","TRN vs SUB"
"Rngtt",-0.24690954087487,0.0016,70,-0.262181855673571,6e-04,"down","TRN vs SUB"
"Six4",-0.685953759242333,0.0016,70,-0.631332228042399,0.0042,"down","TRN vs SUB"
"Ube2i",0.373547598651152,0.0018,70,0.244983414825687,0.0426,"up","TRN vs SUB"
"Diaph1",-0.315108880239547,0.0018,70,-0.311662902257013,0.0022,"down","TRN vs SUB"
"Crybg2",-0.609247152622769,0.002,70,-0.344851098291235,0.0432,"down","TRN vs SUB"
"Iqgap2",-0.290029381419393,0.002,70,-0.339493741194451,2e-04,"down","TRN vs SUB"
"Itga9",0.465657173297422,0.002,70,0.426007927584203,0.0058,"up","TRN vs SUB"
"Xcr1",-0.706516027074648,0.002,70,-0.528290560361917,0.0106,"down","TRN vs SUB"
"Stx19",-0.528447600488091,0.0022,70,-0.403102679161517,0.0102,"down","TRN vs SUB"
"Cmah",-0.42109788925852,0.0026,70,-0.435384129154749,0.0018,"down","TRN vs SUB"
"Idh1",0.380396232814671,0.0028,70,0.313812445460149,0.015,"up","TRN vs SUB"
"Raph1",-0.292794971789,0.0028,70,-0.408618818027434,0,"down","TRN vs SUB"
"Ccdc9b",0.74585096674678,0.0028,70,0.797733759777092,8e-04,"up","TRN vs SUB"
"Snx24",0.398967931979575,0.003,70,0.443627670989297,0.001,"up","TRN vs SUB"
"Sox10",0.614695280133684,0.003,70,0.444193137923361,0.0332,"up","TRN vs SUB"
"Pacrg",0.505288500243716,0.003,70,0.446926581289725,0.0092,"up","TRN vs SUB"
"D630045J12Rik",-0.331686241886,0.003,70,-0.339642659159714,0.0046,"down","TRN vs SUB"
"Acat2",0.300091442746534,0.0034,70,0.220837271049774,0.0284,"up","TRN vs SUB"
"Olfr177",-0.834164008128214,0.0034,70,-0.511138674360046,0.0386,"down","TRN vs SUB"
"Olfr177",-0.834164008128214,0.0034,70,-0.511138674360046,0.0386,"down","TRN vs SUB"
