"batch","Postds","Preds","wt_d8","post_Ncort","given1","received1","condition2"
10,-2.41746411483254,-3.57777777777778,36.2,0.627363081469663,0.340500662084621,2.27000441389747,-1
12,-2.29166666666667,4.61190476190476,42.6,0.408894101774619,4.47773851590106,0,1
11,3.1875,5.504329004329,35.3,0.5467847117084,5.41199829811374,0,2
13,2.75,-2.94444444444444,38.5,0.0439384493056022,0.224831376467649,1.57381963527354,0
13,2.1,4.08333333333333,35.1,0.673239335382662,1.23657257057207,0,2
12,-2,-4,35,0.129818047454059,0,0.814134275618374,-1
12,3.04807692307692,4.86666666666667,39.4,0.238573299942284,2.13710247349823,0,2
13,-2.08333333333333,-4.01666666666667,37.7,0.236123694367038,0.224831376467649,1.57381963527354,-1
9,4.32777777777778,5.78418803418803,43.6,0.641305532372972,7.74073210538587,0.0932618325950105,2
10,3.70893141945774,-5.04333333333333,40.9,0.162504836115284,0,6.58301280030267,0
9,4.44615384615385,-3.95833333333333,40.4,0.56357047171025,0,1.49218932152017,0
14,1.75238095238095,5.45,41.5,0.884820822378346,3.09112375228078,0,2
11,4.19172932330827,-3.95348837209302,38.3,0.246813643008872,0,4.49297971918877,0
14,4.71428571428572,-4.79761904761905,36.4,0.00512941530962183,0,1.44896425888161,0
8,2.79885057471264,-2.19955300127714,41.9,0.327537305092395,0,2.44984160506864,0
13,-1.55,3.9375,36.6,0.195955176259608,3.93454908818386,1.3489882588059,1
9,-3.72777777777778,4.64311594202899,40.9,0.630452481476146,4.10352063418046,0,1
11,-1.875,5.76653185035389,37.1,0.886758944311822,8.47539356119699,0,1
14,-4.04761904761905,-5.35164835164835,35.2,0.181005623859152,0,3.57411183857465,-1
12,2,-2.9517094017094,38.1,0.172361875943307,0,2.13710247349823,0
9,-4.56043956043956,-3.26190476190476,40.6,0.336127491178566,0.839356493355094,3.5439496386104,-1
8,5.54625199362042,5.86919191919192,39,0.297467149618592,11.5733896515312,0,2
14,-1.12380952380952,5.82678271907158,41.2,0.197007863286102,10.1427498121713,0,1
10,-2.96296296296296,5.76342592592593,43.3,0.795065275841741,8.62601677281039,0,1
10,5.34245014245014,4.9508547008547,39.8,1,4.42650860710007,0.113500220694874,2
8,-1.01436781609195,-4.59464285714286,34.2,0.606019266607635,0.0844772967265048,3.97043294614572,-1
8,-3.83333333333333,5.6606884057971,39,0.206806557838684,11.1510031678986,0.253431890179514,1
11,-3.01704260651629,-3.61666666666667,36.9,0.413611405938926,0.204226350872217,2.24648985959438,-1
