"symbol","DES_logFC","DES_pvalue","ASC_logFC","ASC_pvalue","contrast"
"Grid1",0.443613058088514,0,0.254416137099916,0.0046,"trans vs. same"
"Sowaha",0.87561840326758,2e-04,0.851554050064534,0.0074,"trans vs. same"
"Col23a1",0.95324701722955,2e-04,0.825719621782885,0.0296,"trans vs. same"
"C2cd2l",0.51791039178939,4e-04,0.400995180356001,0.039,"trans vs. same"
"A830018L16Rik",0.576913887715948,4e-04,0.329161514488185,0.0464,"trans vs. same"
"Olfr806",1.07708314932077,4e-04,0.889374755459955,0.008,"trans vs. same"
"Ikzf4",0.44629460332494,6e-04,0.326641233168997,0.0456,"trans vs. same"
"Ppp3ca",0.41519640100433,6e-04,0.44258424099416,0.0124,"trans vs. same"
"Mchr1",0.950050547301811,6e-04,0.500846346499421,0.0226,"trans vs. same"
"Mxd3",1.48160175485413,8e-04,0.959140155049575,0.0034,"trans vs. same"
"Actn1",0.512623841027895,0.001,0.463428710901935,0.019,"trans vs. same"
"Zic5",1.5938588449558,0.001,1.22584106944838,0.0176,"trans vs. same"
"Paqr9",0.367382971257562,0.001,0.339251779846523,0.01,"trans vs. same"
"Mast3",0.530595496589195,0.0012,0.44667085889387,0.0126,"trans vs. same"
"Slc16a2",0.750670191123637,0.0012,0.655790225962809,0.0362,"trans vs. same"
"Rreb1",1.01447589015899,0.0012,0.922614087169234,0.0448,"trans vs. same"
"Olfr801",1.1364828462957,0.0012,0.736895049227556,0.0018,"trans vs. same"
"Stxbp2",0.355785912020832,0.0014,0.377290515158969,0.0152,"trans vs. same"
"Peli1",0.453161480945634,0.0014,0.410081830756178,0.0012,"trans vs. same"
"Slc25a37",0.503164110399624,0.0014,0.267756390611777,0.0398,"trans vs. same"
"Auts2",0.595016350170058,0.0016,0.478778683648324,0.0134,"trans vs. same"
"H2-DMa",0.658192454529857,0.0016,0.596477288605613,0.0254,"trans vs. same"
"Kcns1",1.44456303524855,0.0018,0.86083751471899,0.0162,"trans vs. same"
"Ddn",1.17822774691276,0.002,1.10520705581047,0.0048,"trans vs. same"
"Nek10",0.673130210761082,0.0022,0.625499868717491,0.0042,"trans vs. same"
"Fam124a",0.644842124070538,0.0024,0.500068848974438,0.0198,"trans vs. same"
"Ptpre",0.490026140695274,0.0024,0.410170301656836,0.004,"trans vs. same"
"Shisa7",0.477030525537574,0.0024,0.416816251515541,0.0376,"trans vs. same"
"Ano3",0.657584730449655,0.0024,0.589725017790272,0.0412,"trans vs. same"
"Nhsl2",0.336584143144078,0.0024,0.252125745865216,0.0276,"trans vs. same"
"Hrk",1.06718367546396,0.0028,0.913428393075925,0.029,"trans vs. same"
"Atp6v1c2",0.90329021274846,0.0032,1.42903003725969,0.0012,"trans vs. same"
"P3h3",0.474064326887566,0.0036,0.423678107423438,0.0368,"trans vs. same"
"Jph4",0.362694450388931,0.0038,0.363881660589421,0.0304,"trans vs. same"
"Neurl1b",0.638520258797612,0.0038,0.395670237859957,0.0278,"trans vs. same"
"Fam184b",0.558935264958068,0.004,0.583888215545157,0.0206,"trans vs. same"
"Htr4",1.27217515738913,0.004,1.26128534657535,4e-04,"trans vs. same"
"Crym",1.81433520161732,0.004,2.09364043914953,0.0068,"trans vs. same"
"Cdh13",0.347071508660574,0.0044,0.39088514791136,0.0044,"trans vs. same"
"Gda",0.714907110713678,0.0044,0.696403527647117,0.0386,"trans vs. same"
"Fibin",0.919315828999998,0.0048,0.901466598303992,0.0346,"trans vs. same"
"Dapk1",0.55351692238493,0.005,0.483141690216072,4e-04,"trans vs. same"
"Acvr1c",1.21622299759362,0.005,0.776505656403746,0.021,"trans vs. same"
"Rfx3",0.890070666867573,0.005,0.624098346301185,0.0346,"trans vs. same"
