"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000001025",0.84806273358434,-0.322978342321142,"S100a6","3","S100 calcium binding protein A6 (calcyclin)","green"
"ENSMUSG00000022342",0.829196000659123,-0.296408876284997,"Kcnv1","15","potassium channel, subfamily V, member 1","green"
"ENSMUSG00000022656",0.843256104263433,-0.271010523847197,"Nectin3","16","nectin cell adhesion molecule 3","green"
"ENSMUSG00000022811",0.804827780796537,-0.271070962038107,"Zfp148","16","zinc finger protein 148","green"
"ENSMUSG00000023046",0.855000180201911,-0.246060006924928,"Igfbp6","15","insulin-like growth factor binding protein 6","green"
"ENSMUSG00000023886",0.936952144740936,-0.27260470168092,"Smoc2","17","SPARC related modular calcium binding 2","green"
"ENSMUSG00000037579",0.853100579833022,-0.224724062133753,"Kcnh3","15","potassium voltage-gated channel, subfamily H (eag-related), member 3","green"
"ENSMUSG00000037664",0.821016915427432,-0.27064098526315,"Cdkn1c","7","cyclin-dependent kinase inhibitor 1C (P57)","green"
"ENSMUSG00000042589",0.887474012740283,-0.336046162385085,"Cux2","5","cut-like homeobox 2","green"
"ENSMUSG00000046818",0.801466637599726,-0.310228731508314,"Ddit4l","3","DNA-damage-inducible transcript 4-like","green"
"ENSMUSG00000049154",0.828681910704607,-0.296817059079157,"Fam183b","11","family with sequence similarity 183, member B","green"
"ENSMUSG00000050248",0.800105340000287,-0.278071151833244,"Evc2","5","EvC ciliary complex subunit 2","green"
"ENSMUSG00000050271",0.84537500656217,-0.24835257950588,"Prag1","8","PEAK1 related kinase activating pseudokinase 1","green"
"ENSMUSG00000050541",0.841909975854899,-0.433906483767659,"Adra1b","11","adrenergic receptor, alpha 1b","green"
"ENSMUSG00000070044",0.877376647494285,-0.268454582797671,"Fam149a","8","family with sequence similarity 149, member A","green"
"ENSMUSG00000028495",0.850142077452812,0.219595350265516,"Rps6","4","ribosomal protein S6","black"
"ENSMUSG00000021650",0.802024781877073,-0.246117843271426,"Ptcd2","13","pentatricopeptide repeat domain 2","greenyellow"
"ENSMUSG00000015882",0.813476701867151,-0.272885804719442,"Lcorl","5","ligand dependent nuclear receptor corepressor-like","tan"
"ENSMUSG00000017639",0.819494280248365,-0.336754346359902,"Rab11fip4","11","RAB11 family interacting protein 4 (class II)","tan"
"ENSMUSG00000020029",0.847006073198845,-0.377846343421347,"Nudt4","10","nudix (nucleoside diphosphate linked moiety X)-type motif 4","tan"
"ENSMUSG00000020080",0.844596282302119,-0.219648860855262,"Hkdc1","10","hexokinase domain containing 1","tan"
"ENSMUSG00000020707",0.843562302345364,-0.294095499317584,"Rnf135","11","ring finger protein 135","tan"
