"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0034329","cell junction assembly",0.051056338028169,0.0153050600402582,1.98098680289577e-08,8.40928897829256e-05,7.00643753445242e-05,"Lims1/Asic2/Fbf1/Nptxr/Enpp2/Shank3/Farp1/Obsl1/Pxn/Fscn1/Plxnd1/Tjp1/Gpc4/Efnb1/Gabrb3/Ctnnd1/Adgrb1/Lrfn3/Cdh12/Rcc2/Agrn/Cux2/Arf6/Camsap3/Fzd1/Cdh22/Ntrk3/Lrrtm1/Rapgef2",29,"green"
"GO:0050808","synapse organization",0.051056338028169,0.0171444436732144,2.23575850664069e-07,0.000453569411535721,0.000377904214930264,"Drp2/Snapin/Igf1r/Asic2/Nptxr/Shank3/Farp1/Obsl1/Plxnd1/Cask/Gpc4/Rab39b/Efnb1/Gabrb3/Adgrb1/Pdzrn3/Palm/Pcdh8/Lrfn3/Lzts3/Shank1/Agrn/Cux2/Arf6/Fzd1/Ptprt/Mapk14/Ntrk3/Lrrtm1",29,"green"
"GO:0031346","positive regulation of cell projection organization",0.0457746478873239,0.0153744707433886,9.48094333447096e-07,0.00100616511137073,0.000838314989574274,"Crtc1/Eif2b2/Igf1r/Neu1/Enpp2/Obsl1/Fscn1/Plxnd1/Cask/Trak1/Plekhm1/Plk5/Palm/P2ry12/Cdc42ep3/Sh3glb1/Sema7a/Cul7/Agrn/Arsb/Fbxo38/Cux2/Fzd1/Ntrk3/Cxcl12/Rapgef2",26,"green"
"GO:0016570","histone modification",0.0457746478873239,0.0171791490247796,7.11264753092492e-06,0.00377414859609704,0.00314453890840891,"Baz1b/Cdk9/Ncor1/Hdac2/Yeats4/Ncoa1/Crebbp/Wac/Smad4/Cxxc1/Sirt7/Rnf2/Pole3/Mtf2/Atrx/Ash2l/Smarca4/Atg5/Epop/Riox1/Msl3l2/Tada3/Per2/Hdac10/Suds3/Sf3b5",26,"green"
"GO:0042692","muscle cell differentiation",0.0404929577464789,0.0152009439855626,2.38979537035092e-05,0.00533930597217876,0.00444859415201057,"Tcap/Arid1a/Cdk9/Hdac2/Spag9/Nr3c1/Smad4/Smarca2/Pdcd4/Itga8/Ski/Pdgfra/Smarca4/Adgrb1/Atg5/Adra1b/Selenon/Mapk14/Camk2d/Tmem119/Cxcl12/Syne1/Ntn3",23,"green"
"GO:0001667","ameboidal-type cell migration",0.0404929577464789,0.0156868189074755,3.89019268779293e-05,0.00717994259116565,0.00598217273729257,"Fer/Map2k3/Cygb/Enpp2/Smoc2/Zfand5/Atp2b4/Spred1/Sema3a/Pxn/Plxnd1/Efnb1/Ptgs2/Egr3/Adgrb1/P2ry12/Sema7a/Appl1/Rcc2/Arsb/Arf6/Ythdf3/Cxcl12",23,"green"
"GO:2000112","regulation of cellular macromolecule biosynthetic process",0.0404929577464789,0.0166932741028667,9.93353851909054e-05,0.0127585166620177,0.0106301198894996,"Cnot11/Ppp1cb/Gle1/Cnot2/Cpeb4/Rack1/Tcof1/Oga/Pa2g4/Eif4a3/Itm2c/Eif4e/Aco1/Tmed2/Tut7/Pcif1/Rc3h1/Agrn/Ythdf3/Bzw1/Per2/Mapk1/Arfgef1",23,"green"
"GO:0034765","regulation of ion transmembrane transport",0.0404929577464789,0.0172832650794753,0.000165143230916674,0.0166912622676496,0.0139067983929831,"Gstm7/Gopc/Jsrp1/Asic2/Rasgrf2/Kcnv1/Shank3/Atp2b4/Kcnj3/Slc30a1/Kcnh3/Atg5/Shank1/Cacna2d1/Agrn/Sestd1/Kcnj6/Chrm3/Gsg1l/Selenon/Camk2d/Per2/Hspa2",23,"green"
"GO:0016055","Wnt signaling pathway",0.0387323943661972,0.0156521135559103,0.00010519389473984,0.0127585166620177,0.0106301198894996,"Axin2/Tle1/Hdac2/Atp6v1c2/Nle1/Tnks2/Limd1/Wnt10a/Cdk14/Gpc4/Smarca4/Ctnnd1/Tle6/Znrf3/Zbed3/Tmem64/Fzd1/Nog/Mapk14/Arntl/Tcf7l1/Tmem170b",22,"green"
"GO:0198738","cell-cell signaling by wnt",0.0387323943661972,0.0157215242590407,0.0001120740398565,0.0128582243024552,0.0107131941370652,"Axin2/Tle1/Hdac2/Atp6v1c2/Nle1/Tnks2/Limd1/Wnt10a/Cdk14/Gpc4/Smarca4/Ctnnd1/Tle6/Znrf3/Zbed3/Tmem64/Fzd1/Nog/Mapk14/Arntl/Tcf7l1/Tmem170b",22,"green"
