"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0006091","generation of precursor metabolites and energy",0.0770750988142292,0.0151315332824322,1.00639569097511e-16,6.16920558567744e-14,5.34095958806967e-14,"Cox5a/Atp5pb/Sod2/Ndufs2/Ndufs7/Galk1/Sucla2/Oxct1/Cyc1/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Idh1/Fh1/Slc25a25/Mtch2/Idh3b/Nr4a3/Pdha1/Cox7a2/Vgf/Ndufv1/Tigar/1700066M21Rik/Uqcrfs1/Atp5j2/Ppp1ca/Nhlrc1/Sphk2/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",39,"black"
"GO:0015980","energy derivation by oxidation of organic compounds",0.0691699604743083,0.0108280696883459,3.39677784523568e-18,4.16444963825894e-15,3.60535192345191e-15,"Cox5a/Atp5pb/Sod2/Ndufs2/Ndufs7/Sucla2/Cyc1/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Idh1/Fh1/Slc25a25/Mtch2/Idh3b/Nr4a3/Pdha1/Cox7a2/Ndufv1/Tigar/1700066M21Rik/Uqcrfs1/Atp5j2/Ppp1ca/Nhlrc1/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",35,"black"
"GO:0045333","cellular respiration",0.0632411067193676,0.00773929339904213,5.90368225722857e-20,1.08568716710433e-16,9.39928359374548e-17,"Cox5a/Atp5pb/Sod2/Ndufs2/Ndufs7/Sucla2/Cyc1/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Idh1/Fh1/Slc25a25/Mtch2/Idh3b/Nr4a3/Pdha1/Cox7a2/Ndufv1/1700066M21Rik/Uqcrfs1/Atp5j2/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",32,"black"
"GO:0046034","ATP metabolic process",0.0612648221343874,0.00912750746165059,7.2090245528792e-17,5.30295846109794e-14,4.59101037314939e-14,"Cox5a/Atp5pb/Ndufs2/Atp5g3/Fis1/Ndufs7/Galk1/Cyc1/Dnm1l/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Atp1b1/Slc25a25/Mtch2/Cox7a2/Ndufv1/Tigar/1700066M21Rik/Uqcrfs1/Atp5j2/Sphk2/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",31,"black"
"GO:0009060","aerobic respiration",0.0573122529644269,0.00572638300825987,1.02908528796642e-20,3.7849756891405e-17,3.27682420641939e-17,"Cox5a/Atp5pb/Ndufs2/Ndufs7/Sucla2/Cyc1/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Idh1/Fh1/Mtch2/Idh3b/Pdha1/Cox7a2/Ndufv1/1700066M21Rik/Uqcrfs1/Atp5j2/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",29,"black"
"GO:0006119","oxidative phosphorylation",0.0454545454545455,0.00402582078156452,6.42803382376714e-18,5.91057710095388e-15,5.11705324128831e-15,"Cox5a/Atp5pb/Ndufs2/Ndufs7/Cyc1/Atp5j/Atp5o/Ndufv2/Cox7a2l/Atp5b/Atp5a1/Uqcrc1/Mtch2/Cox7a2/Ndufv1/1700066M21Rik/Uqcrfs1/Atp5j2/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6",23,"black"
"GO:0090407","organophosphate biosynthetic process",0.0454545454545455,0.0167279794544319,1.75712053732432e-05,0.00293758606194494,0.00254320077770626,"Atp5pb/Atp5g3/Atp5j/Atp5o/Pigx/Mpc1/Pcyt2/Pi4k2a/Atp5b/Atp5a1/Idh1/Impa1/Pigo/Dck/Pdha1/Ip6k2/Pgap3/Atp5j2/Pigs/Sphk2/Fdps/Bpnt2/Mas1",23,"black"
"GO:0006753","nucleoside phosphate metabolic process",0.041501976284585,0.0157909349621712,6.50651268763584e-05,0.00719979379692404,0.00623318629566847,"Atp5pb/Rab23/Atp5g3/Galk1/Sucla2/Atp5j/Atp5o/Mpc1/Atp5b/Atp5a1/Adal/Mtch2/Dck/Pdha1/Nudt16/Nt5m/Mcee/Tigar/Atp5j2/Entpd3/Sphk2",21,"black"
"GO:0006914","autophagy",0.041501976284585,0.0161032831262581,8.57154919795445e-05,0.00737003911663814,0.00638057534925456,"Rab23/Mtmr4/Fis1/Rab1a/Vdac1/Arsa/Dnm1l/Ubxn2b/Atg4c/Usp30/Atg7/Slc25a4/Trappc4/Atg12/Trappc8/Tigar/Rab3gap2/Nhlrc1/Emc6/Scoc/Rab7",21,"black"
"GO:0061919","process utilizing autophagic mechanism",0.041501976284585,0.0161032831262581,8.57154919795445e-05,0.00737003911663814,0.00638057534925456,"Rab23/Mtmr4/Fis1/Rab1a/Vdac1/Arsa/Dnm1l/Ubxn2b/Atg4c/Usp30/Atg7/Slc25a4/Trappc4/Atg12/Trappc8/Tigar/Rab3gap2/Nhlrc1/Emc6/Scoc/Rab7",21,"black"
