"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"1","Anxa4",-0.468324499413756,0,70,-0.37598199568163,0.0032
"2","Sntb2",-0.390032401855226,2e-04,70,-0.322825779312828,0.0034
"3","Eme2",0.775976579921975,2e-04,70,0.44401764399896,0.026
"4","Olfr1431",-1.57948397544586,2e-04,70,-0.93037338366441,0.0436
"5","Tmem147",0.389354996007619,4e-04,70,0.301121925186342,0.006
"6","Birc5",-0.652898039414261,4e-04,70,-0.442241229165716,0.0206
"7","Tstd2",-0.580797498579781,4e-04,70,-0.230468581090736,0.2014
"8","Gm10130",-0.898672170016658,4e-04,70,-0.868780461815721,0.0016
"9","Rftn1",1.16603521756385,6e-04,70,0.320026177750405,0.2774
"10","Vmn2r28",-0.851179785476594,6e-04,70,-0.279871547222817,0.3294
"11","Pex2",0.32201654755007,8e-04,70,0.23510059025417,0.0172
"12","Rbak",-0.491880017393874,8e-04,70,-0.409172818774884,0.0068
"13","Phykpl",-0.498420167986422,0.001,70,-0.344480946592217,0.0234
"14","Ccnq",0.318488659578517,0.0012,70,0.29396326508451,0.0066
"15","Mlx",0.437318058775986,0.0014,70,0.338730647477228,0.0206
"16","Wnt7b",0.967401115769433,0.0014,70,0.531042065220237,0.067
"17","Me1",0.307895829218591,0.0014,70,0.254243241420658,0.0152
"18","Med30",0.590393018612467,0.0014,70,0.508624197930777,0.0068
"19","Tefm",0.487735278191356,0.0014,70,0.325673659180533,0.0356
"20","Snrnp48",-0.248644357957653,0.0016,70,-0.21346520661367,0.005
"21","Six4",-0.685953759242333,0.0016,70,-0.374397118350209,0.1222
"22","Ube2i",0.373547598651152,0.0018,70,0.216746888883325,0.0776
"23","Pmf1",-0.423833873374385,0.0018,70,-0.264253588662057,0.068
"24","Zfp41",-0.392916660034559,0.0018,70,-0.312640218182227,0.0208
"25","Grwd1",0.472521958538164,0.0018,70,0.278510153625413,0.0598
"26","Olfr727",-0.50641970048438,0.0018,70,-0.306763881560629,0.0824
"27","Spib",-0.734231170375921,0.002,70,-0.257241208966692,0.3142
"28","Crybg2",-0.609247152622769,0.002,70,-0.616753794458503,0.002
"29","Kif18a",-0.595451554710484,0.002,70,-0.352185310678926,0.077
"30","Chic1",-0.284124560367677,0.002,70,-0.204239670568334,0.02
"31","Itga9",0.465657173297422,0.002,70,0.378138275089103,0.0192
"32","Xcr1",-0.706516027074648,0.002,70,-0.507005785942609,0.0318
"33","Olfr410",-0.694850016016657,0.002,70,-0.442937162174946,0.0674
"34","Tbp",-0.343701359367281,0.0022,70,-0.216487023342225,0.0582
"35","Tmod1",-0.825693910874985,0.0022,70,-0.589398792216126,0.0504
"36","Pop4",0.813402457008421,0.0022,70,0.664467804535323,0.013
"37","Atp6v1g1",0.251651496368613,0.0022,70,0.203452407136016,0.0138
"38","Stx19",-0.528447600488091,0.0022,70,-0.59525265496071,0.0012
"39","Cmah",-0.42109788925852,0.0026,70,-0.335561429342036,0.0164
"40","Phkg1",-0.390658153295822,0.0026,70,-0.299863156419661,0.0194
"41","Idh1",0.380396232814671,0.0028,70,0.216268134832441,0.0986
"42","Snx24",0.398967931979575,0.003,70,0.223636000063459,0.1102
"43","Pacrg",0.505288500243716,0.003,70,0.28153488518385,0.0996
"44","Tfap2a",-0.689965158689641,0.0032,70,-0.79261668061603,0.0018
"45","Tspan15",-0.361085739054654,0.0032,70,-0.265482872225252,0.0466
"46","Rhno1",-0.375626063609039,0.0032,70,-0.303057479658681,0.0152
"47","Acat2",0.300091442746534,0.0034,70,0.235622127722294,0.0248
"48","Olfr177",-0.834164008128214,0.0034,70,-0.669822209424573,0.0182
"52","Zkscan3",-0.293527379019073,0.0036,70,-0.346798671465237,6e-04
"53","Carf",-0.330464015796572,0.0036,70,-0.289244515126562,0.012
"54","Dpy19l1",0.379557627096945,0.0036,70,0.20475210972477,0.0986
"55","Nfs1",0.359754049512269,0.0038,70,0.290439529290359,0.0204
"56","Rrm1",-0.372230613821032,0.0038,70,-0.329037368558954,0.0104
"57","Vmac",0.746379990893378,0.0038,70,0.277465159835468,0.263
"58","Fxyd3",-0.846851262574572,0.0038,70,-0.211368962596937,0.4918
"59","Slc48a1",0.236951342700812,0.0038,70,0.267391075266155,0.0022
"60","Ddx21",0.302346495659998,0.004,70,0.215435396209249,0.0372
"61","Egfl7",0.29423824746288,0.004,70,0.211381041262144,0.044
"62","Veph1",-0.728805157433461,0.0042,70,-0.46924087399138,0.0796
"63","Spryd3",0.241784897400566,0.0042,70,0.326185999487683,6e-04
"64","Iqgap3",-0.496815141567201,0.0044,70,-0.359093566944029,0.0476
"65","Bhlhe40",-0.434397979569337,0.0044,70,-0.293380916642342,0.0572
"66","Zfp280d",-0.306677526117139,0.0044,70,-0.373045084991828,8e-04
"67","Pclaf",-0.601239464202873,0.0044,70,-0.469112313566464,0.0328
"68","Tm9sf1",0.531391905097697,0.0046,70,0.371902429420284,0.0532
"69","Sh3bp1",-0.347363039150021,0.0046,70,-0.25994549444517,0.038
"70","Trim36",-0.556413586296557,0.0046,70,-0.290137867071784,0.1548
"71","Ttc7",-0.515776545620922,0.0046,70,-0.319458409426492,0.1162
"72","Stx11",-0.608935004426935,0.0046,70,-0.408834199653017,0.0758
"73","Prc1",-0.679239153310735,0.005,70,-0.363999898976794,0.1468
"74","Trim12c",-0.362200993221578,0.005,70,-0.231321731286219,0.0918
"75","Zfp426",-0.326460447521168,0.005,70,-0.225989752398151,0.0596
"76","Atp5g3",0.276621781583218,0.0052,70,0.209893623661921,0.037
"77","Dpy30",0.340499649086829,0.0052,70,0.213669869563165,0.0782
"78","Arhgap31",-0.443903638490747,0.0054,70,-0.285923225125715,0.0662
"79","Trib1",-0.651336719326308,0.0054,70,-0.396020696183557,0.1094
"80","Btbd9",-0.344829202001751,0.0054,70,-0.233684862636393,0.0536
"81","Fundc1",0.342590504260832,0.0056,70,0.231514204900348,0.0596
"82","A2ml1",0.709728476274131,0.0056,70,0.417068919152071,0.091
"83","Smim8",0.327531772967662,0.0058,70,0.350259425811456,0.0048
"84","1110051M20Rik",0.232757201402562,0.006,70,0.270523671371084,0.001
"85","5430403G16Rik",-0.485658169340344,0.006,70,-0.282863678443412,0.1132
"86","Txndc11",-0.270265104566517,0.0064,70,-0.209078683580946,0.0346
