"","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","pre_idbatch","pre_idbatchcage","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12","post_Ncort","condition1","SampleID"
"B10.3.2","AMY",10,"3-2Batch10",0,69,339.268143707453,"2Batch1","2Batch10Cage3","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1,0.627363081469663,"SUB","B10.3.2"
"B12.4.3","AMY",12,"4-3Batch12",0,61,243.139250328742,"3Batch1","3Batch12Cage4","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders",42.9,42.6,41.8,0.408894101774619,"DES","B12.4.3"
"B11.4.4","AMY",11,"4-4Batch11",77,0,303.812723325927,"4Batch1","4Batch11Cage4","1 hr",3.1875,1,5.504329004329,1,"same",35.2,35.3,35.6,0.5467847117084,"DOM","B11.4.4"
"B13.1.2","AMY",13,"1-2Batch13",62,0,82.5545162711961,"2Batch1","2Batch13Cage1","1 hr",2.75,1,-2.94444444444444,4,"ascenders",35.5,38.5,36.7,0.0439384493056022,"ASC","B13.1.2"
"B11.5.4","AMY",11,"5-4Batch11",0,41,466.234204248619,"4Batch1","4Batch11Cage5","1 hr",-2.15277777777778,4,-2.70744680851064,3,"control",35,33.5,35.5,0.915914678470266,"CSUB","B11.5.4"
"B13.5.1","AMY",13,"5-1Batch13",0,45,143.606764359867,"1Batch1","1Batch13Cage5","1 hr",-2.7,4,-5.02857142857143,4,"control",35.5,35.7,36.8,0.182689888953138,"CSUB","B13.5.1"
"B13.3.4","AMY",13,"3-4Batch13",66,30,359.454229288908,"4Batch1","4Batch13Cage3","1 hr",2.1,1,4.08333333333333,1,"same",34.8,35.1,35,0.673239335382662,"DOM","B13.3.4"
"B12.1.2","AMY",12,"1-2Batch12",0,32,120.342538833224,"2Batch1","2Batch12Cage1","1 hr",-2,4,-4,4,"same",35.4,35,36.7,0.129818047454059,"SUB","B12.1.2"
"B12.1.3","AMY",12,"1-3Batch12",59,60,168.196115507627,"3Batch1","3Batch12Cage1","1 hr",3.04807692307692,1,4.86666666666667,1,"same",38.8,39.4,39.8,0.238573299942284,"DOM","B12.1.3"
"B13.2.2","AMY",13,"2-2Batch13",0,56,167.118260548578,"2Batch1","2Batch13Cage2","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same",36,37.7,34.8,0.236123694367038,"SUB","B13.2.2"
"B9.1.3.","AMY",9,"1-3Batch9",59,0,345.402984352532,"3Batch9","3Batch9Cage1","1 hr",4.32777777777778,1,5.78418803418803,1,"same",43.8,43.6,45.1,0.641305532372972,"DOM","B9.1.3."
"B10.1.2","AMY",10,"1-2Batch10",62,0,134.725106218733,"2Batch1","2Batch10Cage1","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders",40.3,40.9,41,0.162504836115284,"ASC","B10.1.2"
"B9.3.1.","AMY",9,"3-1Batch9",77,27,311.198653061814,"1Batch9","1Batch9Cage3","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders",42.5,40.4,40.3,0.56357047171025,"ASC","B9.3.1."
"B14.1.2","AMY",14,"1-2Batch14",62,32,452.552545730483,"2Batch1","2Batch14Cage1","1 hr",1.75238095238095,1,5.45,1,"same",42.9,41.5,42,0.884820822378346,"DOM","B14.1.2"
"B11.1.4","AMY",11,"1-4Batch11",51,60,171.821962349397,"4Batch1","4Batch11Cage1","1 hr",4.19172932330827,1,-3.95348837209302,4,"ascenders",38.9,38.3,37.5,0.246813643008872,"ASC","B11.1.4"
"B14.1.1","AMY",14,"1-1Batch14",57,0,65.4780896941236,"1Batch1","1Batch14Cage1","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders",37.6,36.4,34,0.00512941530962183,"ASC","B14.1.1"
"B8.4.1.","AMY",8,"4-1Batch8",95,0,207.341313043477,"1Batch8","1Batch8Cage4","1 hr",2.79885057471264,1,-2.19955300127714,4,"ascenders",43.4,41.9,41.2,0.327537305092395,"ASC","B8.4.1."
"B9.2.3.","AMY",9,"2-3Batch9",0,48,70.8141031940734,"3Batch9","3Batch9Cage2","1 hr",-2.95833333333333,4,-4.44761904761905,4,"control",42.4,42.1,41.8,0.0172563979888085,"CSUB","B9.2.3."
"B13.1.4","AMY",13,"1-4Batch13",51,60,149.443645142217,"4Batch1","4Batch13Cage1","1 hr",-1.55,4,3.9375,1,"descenders",38.7,36.6,37.9,0.195955176259608,"DES","B13.1.4"
"B14.5.1","AMY",14,"5-1Batch14",0,45,141.575163273998,"1Batch1","1Batch14Cage5","1 hr",-3.375,4,-4.91818181818182,4,"control",39.4,39.3,39.8,0.178072735870676,"CSUB","B14.5.1"
"B9.3.4.","AMY",9,"3-4Batch9",0,30,340.627515661503,"4Batch9","4Batch9Cage3","1 hr",-3.72777777777778,4,4.64311594202899,1,"descenders",42,40.9,41.3,0.630452481476146,"DES","B9.3.4."
"B14.5.4","AMY",14,"5-4Batch14",23,0,88.080514003309,"4Batch1","4Batch14Cage5","1 hr",3,1,5.21818181818182,1,"control",41.7,40.6,40.8,0.0564972029113021,"CDOM","B14.5.4"
"B11.1.3","AMY",11,"1-3Batch11",0,60,453.405341935043,"3Batch1","3Batch11Cage1","1 hr",-1.875,4,5.76653185035389,1,"descenders",38.8,37.1,36.8,0.886758944311822,"DES","B11.1.3"
"B12.3.4","AMY",12,"3-4Batch12",66,0,89.6988503150503,"4Batch1","4Batch12Cage3","1 hr",3.83928571428571,1,4.74142857142857,1,"control",38.2,38.1,36.7,0.0601751427106992,"CDOM","B12.3.4"
"B14.2.2","AMY",14,"2-2Batch14",0,56,142.865668118802,"2Batch1","2Batch14Cage2","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same",35.5,35.2,40.8,0.181005623859152,"SUB","B14.2.2"
"B12.4.2","AMY",12,"4-2Batch12",68,0,139.062318448956,"2Batch1","2Batch12Cage4","1 hr",2,1,-2.9517094017094,4,"ascenders",37.8,38.1,33.8,0.172361875943307,"ASC","B12.4.2"
"B9.4.1.","AMY",9,"4-1Batch9",0,45,211.12109488497,"1Batch9","1Batch9Cage4","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same",41.3,40.6,40.4,0.336127491178566,"SUB","B9.4.1."
"B14.3.4","AMY",14,"3-4Batch14",66,0,199.823866935203,"4Batch1","4Batch14Cage3","1 hr",3.45,1,4.7933352402746,1,"control",40,38.7,35.8,0.310452652149216,"CDOM","B14.3.4"
"B8.3.4.","AMY",8,"3-4Batch8",66,0,194.110094710067,"4Batch8","4Batch8Cage3","1 hr",5.54625199362042,1,5.86919191919192,1,"same",38.4,39,37.6,0.297467149618592,"DOM","B8.3.4."
