"SampleNames","region","batch","post_idbatch","wt_d4","wt_d8","wt_12","pre_idbatchcage","mean_con_ng_ul","pre_idbatch","time","Postds","Postrank","Preds","Prerank","condition","groupEX","post_Ncort","condition1","given","received","given1","received1"
"A6.P.b1.2.2s","P",1,"2-2Batch1",37.3,38.2,39.5,"2Batch1Cage2",33.1494729740813,"2Batch1","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders","reorganized",0.0363680304657183,"ASC",4,63,0.404801394315914,6.37562196047564
"B5.P.b4.4.1s","P",4,"4-1Batch4",41.8,40,39.1,"1Batch4Cage4",71.9378705562293,"1Batch4","25hr",5.82017825311943,1,5.60805860805861,1,"same","reorganized",0.194475144149795,"DOM",50,0,4.60971112476951,0
"C1.P.b5.2.2s","P",5,"2-2Batch5",35.7,35.7,36.8,"2Batch5Cage2",71.6636350446161,"2Batch5","25hr",-4.59663865546218,4,-4.2463768115942,4,"same","reorganized",0.193357320575903,"SUB",0,25,0,2.41041298409127
"C3.P.b7.4.1s","P",7,"4-1Batch7",42.5,43,42.4,"1Batch7Cage4",171.511603300494,"1Batch7","25hr",5.3223602484472,1,5.72715053763441,1,"same","reorganized",0.600352067773758,"DOM",88,0,8.9204257475925,0
"C5.P.b4.3.2s","P",4,"3-2Batch4",38.2,36.5,38.6,"2Batch4Cage3",111.014492252825,"2Batch4","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders","reorganized",0.353757100974349,"DES",70,0,6.45359557467732,0
"D1.P.b4.5.2s","P",4,"5-2Batch4",32.7,32.2,34.7,"2Batch4Cage5",238.179680818244,"2Batch4","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders","reorganized",0.872100785644202,"ASC",0,42,0,3.87215734480639
"D2.P.b2.2.1s","P",2,"2-1Batch2",36.6,39,38.8,"1Batch2Cage2",95.7487417191344,"1Batch2","25hr",-3.84473684210526,4,-5.17948717948718,4,"same","reorganized",0.291531695813146,"SUB",0,22,0,1.8939212779186
"D3.P.b7.4.2s","P",7,"4-2Batch7",31.3,32.6,28.8,"2Batch7Cage4",269.557178397448,"2Batch7","25hr",-4.41304347826087,4,-4.5,4,"same","reorganized",1,"SUB",0,15,0,1.5205271160669
"D4.P.b6.2.2s","P",6,"2-2Batch6",32.8,33.7,34,"2Batch6Cage2",79.4046628782662,"2Batch6","25hr",5.16720779220779,1,-4.37575757575758,4,"ascenders","reorganized",0.224910868647448,"ASC",4,36,0.366263098992776,3.29636789093499
"D6.P.b1.1.1s","P",1,"1-1Batch1",39.3,38.7,39.2,"1Batch1Cage1",71.8388019515396,"1Batch1","25hr",5.45539215686275,1,5.86467447390856,1,"same","reorganized",0.194071326201116,"DOM",132,1,13.3584460124252,0.101200348578978
