"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"1","Cpne3",0.493527101487206,0,70,0.439760538185815,0.0014
"2","Tspan12",0.837850265304754,0,70,0.461462794902118,0.0188
"3","Bcat1",0.453613002112047,0,70,0.257691577040253,0.0168
"4","Clmp",1.03920471585821,0,70,0.634365865086822,0.0184
"5","Adra2a",1.44168203011924,0,70,0.78888354136385,0.013
"6","Tanc1",1.13377005717401,0,70,0.513397945349404,0.0294
"7","Fndc3b",0.573625558696785,0,70,0.372890282736498,0.011
"8","Ppp1r2",0.640721949709772,0,70,0.520631547049298,0.0012
"9","Ly6g6e",1.95958260850928,2e-04,70,1.07623837647662,0.0222
"10","Sdc4",0.662738377703799,2e-04,70,0.359462484250378,0.0252
"11","Plekha6",-0.39783553880796,2e-04,70,-0.419890970344207,0
"12","Crot",0.332076500043602,4e-04,70,0.22016717418012,0.0206
"13","Erbin",0.568165079678425,4e-04,70,0.344849974475904,0.024
"14","Rogdi",0.33119598616079,4e-04,70,0.229480976674742,0.0094
"15","St6gal1",0.657464429605844,4e-04,70,0.538348213255951,0.0044
"16","Prkd3",0.408434970933001,4e-04,70,0.337399372712865,0.003
"17","Lmo3",1.17524039513463,4e-04,70,0.546141330488874,0.0282
"18","Zfp536",0.742157460194904,4e-04,70,0.398038568222458,0.0354
"19","Sox11",0.77386789049365,4e-04,70,0.509818109066018,0.0158
"20","Mylk",1.00630316954166,6e-04,70,0.746326089859367,0.009
"21","Fkbp5",0.572606602845026,6e-04,70,0.370453346365454,0.0098
"22","Ggta1",1.43959948811347,6e-04,70,1.03594889026902,0.021
"23","Ublcp1",0.378201191046276,6e-04,70,0.367722497932137,0.0022
"24","Trpm3",0.662147243810923,6e-04,70,0.286419942902184,0.046
"25","Wfdc18",1.44234218636389,8e-04,70,1.26776910458366,0.0034
"26","Serpina3n",0.704049874850073,8e-04,70,0.723472886514875,0.0024
"27","Galnt15",1.34561715886909,8e-04,70,1.11450316563019,0.005
"28","Rpp21",0.443203561667817,8e-04,70,0.268326328671659,0.0406
"29","Klhl13",1.02307384620159,8e-04,70,0.791871191410633,0.0044
"30","Snx24",0.443627670989297,0.001,70,0.268295739073181,0.0474
"31","Tafa2",1.01036916545484,0.001,70,0.671946069685325,0.0198
"32","Cox5a",0.295222611213969,0.0012,70,0.2907014675399,0.0024
"33","Odc1",0.333025968631461,0.0012,70,0.232371167264173,0.0178
"34","Fstl1",0.486344957040491,0.0012,70,0.291598840012885,0.0374
"35","Arhgap36",2.28877561650498,0.0012,70,1.5613212174108,0.009
"36","Ptgs1",0.40027820634903,0.0012,70,0.311249706695382,0.0088
"37","1110059E24Rik",0.380426840440321,0.0014,70,0.265934077499078,0.0214
"38","Cmah",-0.435384129154749,0.0018,70,-0.349847669238265,0.0094
"39","Suox",0.712641983835181,0.002,70,0.556842856680962,0.0182
"40","Ddx3x",0.216534977075388,0.0022,70,0.214587529559119,0.0044
"41","Kmt2a",-0.35546119765328,0.0022,70,-0.344316797189393,0.0052
"42","Vim",0.891459261657936,0.0022,70,0.715150914985904,0.0142
"43","Ccl12",2.26206658330717,0.0022,70,2.49420996782642,0.0018
"44","Penk",1.3813993131218,0.0022,70,1.01041825366582,0.0156
"45","S100a16",0.521564932531815,0.0022,70,0.382688358397791,0.0204
"46","Slc25a5",0.323584635463201,0.0024,70,0.282643371888554,0.0086
"47","Pdpn",0.946980512683518,0.0024,70,0.747558431167753,0.0182
"48","Lmo7",0.691226159664371,0.0024,70,0.512362569909225,0.0244
"49","Brinp3",0.976100707656041,0.0024,70,0.76810377331482,0.0124
"50","Bivm",0.562225130149789,0.0024,70,0.552800640589141,0.0062
"51","Nrp2",0.506790041436737,0.0026,70,0.330776742012213,0.0368
"52","Egfl7",0.307488669426869,0.0028,70,0.224631463226133,0.0292
"53","Fam3c",0.47179652437249,0.0028,70,0.318086319268674,0.045
"54","Ctla2a",0.756652873844349,0.0028,70,0.590765731690416,0.0216
"55","Plpp6",0.556385815338083,0.003,70,0.44569627669059,0.0104
"56","Dnajc10",0.254081965617934,0.0032,70,0.279264461535791,0.002
"57","Ndst4",2.27906946086878,0.0032,70,1.47912734743927,0.0254
"58","Hacd2",0.313208359350407,0.0032,70,0.34415957095161,0.0028
"59","Rhob",0.32438434863174,0.0036,70,0.271461881212566,0.0154
