"symbol","DES-DOM70","DES-DOM25","DES-SUB70","DES-SUB25","ASC-DOM70","ASC-DOM25","ASC-SUB70","ASC-SUB25"
"Ercc2",-0.364242530440031,NA,-0.27242739558644,-0.202039208228824,NA,NA,NA,NA
"Mtmr2",0.261067449796684,NA,NA,NA,0.268018898928005,NA,NA,NA
"Ugt8a",0.44573652559716,0.286834909318949,0.97317857676908,0.512206825254859,NA,0.215087307434079,0.562166992451054,0.440459223369988
"Pmp22",0.283084532377669,NA,0.420645442313764,NA,NA,0.224779521113461,NA,NA
"Ctsc",0.489047255680712,NA,0.93627739574021,NA,NA,0.296717594914912,0.639298024379549,0.352679324858785
"Eif2ak3",-0.265545575417402,NA,NA,NA,-0.307603123957585,NA,NA,NA
"Ptn",0.249695705854604,NA,0.342615397695527,NA,NA,NA,NA,NA
"Kif14",-0.247341307559624,NA,NA,NA,NA,NA,NA,NA
"Itgb4",-0.264589128064452,0.463444953726307,0.824396268615656,0.359616223602351,NA,0.282077904039493,1.01405659943581,NA
"Mobp",0.234501957512368,0.422769307253098,1.03707082890296,0.774250258759825,NA,0.400721157104273,0.773930862440346,0.752202108610999
"Hes5",-0.206938060831332,NA,-0.264469260005803,NA,0.339297059825772,NA,0.281765860651301,NA
"Clu",NA,NA,0.255530871143353,NA,NA,NA,NA,NA
"Cyfip1",NA,NA,0.273715238150253,NA,NA,NA,NA,NA
"Bcas1",NA,NA,0.711396974633423,0.297517280433565,NA,NA,0.527770127056726,0.341378694149966
"Pikfyve",NA,NA,-0.275534314860124,NA,NA,NA,-0.281088897912801,NA
"Plp1",NA,0.243130625608252,0.897279327161433,0.488638920093385,NA,0.259082404120763,0.719188409137058,0.504590698605896
"Cnp",NA,NA,0.543741545415172,NA,NA,NA,0.447141125482748,NA
"Cntn2",NA,NA,0.3793565077219,0.452732301581403,NA,NA,0.251518285258518,0.392286081628131
"Mal",NA,0.210348561987868,0.605549462050326,0.254317988597652,NA,NA,0.516298846371416,0.211762823363769
"Zfp488",NA,NA,-0.305615887089687,NA,NA,NA,-0.338881788887103,NA
"Mog",NA,NA,0.875989198316149,0.342962988917733,NA,0.256918473718115,0.763706549961634,0.634336125510643
"Mag",NA,0.284413210048745,0.567710490509936,0.408057219642841,NA,0.347059348458119,0.282159508780872,0.470703358052215
"Mbp",NA,0.22855391037011,0.590042025720971,0.482853806145346,NA,0.286538530657104,0.457767659742721,0.54083842643234
"Sox10",NA,NA,0.444193137923361,NA,NA,NA,0.614695280133684,NA
"Myrf",NA,NA,0.732240741436691,NA,NA,NA,0.397372718943809,0.228646754229466
"Rarg",NA,NA,0.417878604422915,NA,NA,0.349130233830234,0.317283843690733,0.254391901098969
"Fa2h",NA,NA,0.675710257193358,0.39006455249075,NA,0.449763779612648,0.523923400275718,0.682821772338362
"Akt1",NA,NA,0.278016458601145,NA,NA,NA,0.215894172009636,NA
"Tspan2",NA,0.267978394810735,0.466073651905242,0.217879798331539,0.220795708840572,NA,0.532652487163731,NA
"Cd9",NA,NA,0.259551174152087,NA,NA,NA,NA,NA
"Lpar1",NA,NA,0.433921146478238,-0.466550921714765,-0.312359173180599,0.536662906489925,NA,NA
"Fig4",NA,0.216890690943989,-0.205341738252882,NA,NA,NA,NA,NA
"Tnfrsf21",NA,NA,0.206310335206401,0.261093167800929,NA,NA,NA,0.301016478960999
"Arhgef10",NA,NA,0.289362547063835,NA,NA,NA,0.255734911131301,NA
"Nsun5",NA,-0.483286318627751,-0.252901344895931,NA,NA,NA,-0.397430392334516,0.359477574160163
"Egr2",NA,NA,-0.565193136323781,-0.457032899770133,NA,NA,-0.833816530912284,NA
"Rara",NA,NA,0.363401819624095,NA,NA,NA,0.329462665194797,NA
"Rxrg",NA,0.849141343925567,0.300293440196029,1.03411262905472,0.259157046729529,0.372995071213785,0.482592019163771,0.557966356342935
"Pard3",NA,0.230555435757432,NA,0.419277683878519,-0.258565652223469,NA,NA,NA
"Opalin",NA,0.331016238826909,NA,NA,0.421463428535997,NA,0.558805272954673,NA
"Jam2",NA,NA,NA,NA,-0.201388137292224,0.247793076326698,NA,0.252782221096367
"Gnpat",NA,NA,NA,NA,NA,-0.254216217976635,NA,NA
