module,GeneNumber,Zsummary.qual,Z.propVarExplained.qual,Z.meanSignAwareKME.qual,Z.meanSignAwareCorDat.qual,Z.meanAdj.qual,Z.meanMAR.qual,Zsummary.pres,Zdensity.pres,Zconnectivity.pres,Z.propVarExplained.pres,Z.meanSignAwareKME.pres,Z.meanSignAwareCorDat.pres,Z.meanAdj.pres,Z.meanMAR.pres,Z.cor.kIM,Z.cor.kME,Z.cor.kMEall,Z.cor.cor,Z.cor.MAR
black,484,55.23469917,27.26168178,25.77014089,235.3327848,83.20771656,7.882101203,21.5272831,23.75852721,19.296039,10.61306232,14.71799223,51.43723215,32.79906219,11.87269806,12.75720871,19.296039,47.58490446,64.03429709,11.17251535
blue,1109,83.96301019,41.04859793,38.68233218,407.5485999,126.8774224,9.048156272,23.02455728,25.57882523,20.47028932,12.84455112,24.24451071,84.51898931,26.91313975,5.144827587,11.83680264,20.47028932,88.23012683,64.61156421,17.36752536
brown,943,98.9570811,42.85204663,39.67011253,409.3766525,155.0621156,16.34606452,8.281082144,1.27068236,15.29148193,-4.060257999,-1.473443317,24.84729029,4.014808038,7.545727708,15.29148193,6.641226773,7.583963119,52.26954147,17.16461248
cyan,312,55.62387184,22.94493001,20.74487097,181.4535714,88.30281366,9.463962064,20.42346686,24.20668237,16.64025135,11.47768897,14.69844208,53.36451545,33.71492265,8.061660581,13.12209556,16.64025135,69.04501273,46.7840635,13.07293569
darkgreen,156,22.95993748,13.82135317,13.90213063,95.21802383,32.01774434,4.591103653,3.683721843,2.476912951,4.890530735,-1.178659992,3.466862298,9.423961458,1.486963603,1.072437873,4.890530735,4.20883152,20.13360006,15.36884323,8.270068251
darkgrey,95,34.64557286,17.26941291,15.37998805,85.36757856,52.02173282,5.66376833,3.764128055,4.959362347,2.568893763,1.632541362,6.634953093,15.63590564,3.283771601,0.863717639,2.322452096,2.568893763,89.62030282,9.054137264,3.114723048
darkred,160,44.65027332,20.65222713,18.5128915,131.2963116,68.6483195,7.410247817,11.32187675,13.69089981,8.952853696,6.302825377,11.52578675,37.82185134,15.85601287,4.931859133,6.412634048,8.952853696,71.7368954,26.29687981,5.854907745
darkturquoise,156,26.67430679,16.42367375,15.85747155,104.3729495,36.92493983,2.874829142,11.03481462,14.84219576,7.22743347,6.392894639,8.780322197,24.22202376,20.90406933,5.298241282,6.132763863,7.22743347,55.99546168,19.09366444,5.722215123
green,712,63.41040935,33.24602722,31.32345853,319.6435685,93.57479148,6.200108018,9.413722186,7.884778139,10.94266623,-0.23346055,10.86395581,29.30947031,4.905600466,1.930659161,9.060130348,10.94266623,69.74138774,34.20139094,12.5774112
greenyellow,372,37.25976013,20.76780118,20.6140818,180.175362,53.75171908,5.601842779,9.871736619,9.689820713,10.05365253,1.531098352,9.763664577,29.0870524,9.615976848,4.765384469,7.471952653,10.05365253,52.52420377,36.685888,9.241937335
grey60,262,53.76741218,24.2013647,21.55521599,155.7295218,83.33345966,7.797736575,15.82913453,17.9757855,13.68248356,9.506125474,14.14021315,51.16086106,21.81135786,4.210777135,9.514745176,13.68248356,81.33433562,38.88883282,9.593746897
lightcyan,284,27.79980551,18.48175013,18.47771704,158.0722509,37.1178609,2.70360483,1.008008347,-1.205214586,3.22123128,-3.70568255,0.221293791,3.728938316,-2.631722964,-3.16192842,3.22123128,2.259540163,17.43775634,6.297367398,5.483316072
lightgreen,195,55.58500583,23.51209376,21.3280054,148.8805698,87.6579179,10.58440739,10.36086087,12.91562821,7.806093531,5.622439735,10.77114535,33.47051063,15.06011108,6.497605141,5.257369473,7.806093531,95.0313428,21.41404704,9.955594874
lightyellow,174,16.37529962,12.15356854,13.01341824,98.31364823,19.737181,2.050403259,1.271129372,-0.099390455,2.641649198,-3.634033018,2.069789756,3.812044099,-2.268570667,-1.216212625,2.641649198,2.596505906,52.27700093,7.613353431,12.03957703
magenta,423,56.48590543,27.39644557,25.97387681,235.084416,85.5753653,8.52130145,15.42529554,19.1637316,11.68685947,8.536006173,12.14159248,39.77090347,26.18587073,8.759313522,10.07713515,11.68685947,60.26269153,48.34104025,11.20380236
midnightblue,285,31.57058573,19.61630816,19.45546896,174.0686116,43.52486329,3.535441299,7.009606631,7.85285426,6.166359002,3.942239702,5.776908603,14.7633365,9.928799916,3.492539405,6.166359002,4.571844355,4.732038877,22.31316222,3.792042444
pink,459,46.99594037,23.1427116,22.48272497,215.4617512,70.84916913,7.63187644,7.931883442,3.405414175,12.45835271,-0.544304166,-0.022681259,26.55895413,6.833509609,5.55755922,12.45835271,3.836971128,17.62538441,41.8600515,15.41303472
purple,409,43.62128508,24.28201891,23.74246875,215.126209,62.96055125,5.776299747,10.68557085,10.69544146,10.67570023,4.745589652,11.51287387,34.21789368,9.878009054,2.341846417,6.312946515,10.67570023,67.98713823,31.14921081,9.801345859
red,648,66.50821302,33.47915527,31.38706053,290.9978963,99.53727077,8.926094807,24.87375164,32.00015787,17.74734541,13.79713276,18.02236739,62.4707019,45.97794834,13.65520617,14.16333563,17.74734541,49.83218292,63.20153112,14.08427911
royalblue,169,34.84081592,18.55247638,17.44202306,124.1357185,51.12915546,6.071651747,13.3613024,18.62972832,8.092876484,9.259213371,13.61669786,50.24798,23.64275878,5.391411672,5.458607648,8.092876484,111.261716,22.90500012,6.300013167
salmon,334,52.86945968,25.4010977,23.80921667,194.5673811,80.33782165,8.891081678,11.51662505,13.51078231,9.522467792,4.031537538,11.25050667,34.92639861,15.77105795,8.156511065,8.369880646,9.522467792,45.68097973,38.72160723,14.41374999
tan,365,35.69160805,21.23756283,20.94671732,185.9074565,50.14565327,3.830862502,14.53203077,16.22830705,12.83575449,6.420477193,11.96144692,37.95465632,20.49516719,6.299952568,9.154605583,12.83575449,80.24556737,37.92490491,10.08005481
turquoise,1268,70.46864726,37.76248471,36.81531963,384.7541591,103.1748098,8.083060172,16.36487895,16.29452327,16.43523463,5.15426389,19.5908929,62.48525693,12.99815363,4.761896279,11.58790403,16.43523463,83.31396317,59.90552693,18.91497943
yellow,878,128.176243,48.28288686,42.64710552,399.9783731,208.0695992,18.62349063,23.02004816,24.00810035,22.03199597,12.15166158,21.19835127,70.00779925,26.81784942,8.873787887,19.41583146,22.03199597,88.93423735,71.07856315,17.24348182
