"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison","time"
"GO:0090407","organophosphate biosynthetic process",0.0842105263157895,0.0167279794544319,0.000197106831181614,0.0263231162432596,0.0225736025923302,"Plscr3/Nfs1/Hpca/Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",8,"Up","ASC vs. Stable","70"
"GO:0044282","small molecule catabolic process",0.0736842105263158,0.0115915874227806,0.000121896629589617,0.0209662202894142,0.0179797528644685,"Esd/Pex2/Pex7/Acat2/Cnr1/Gcdh/Eno1",7,"Up","ASC vs. Stable","70"
"GO:0009165","nucleotide biosynthetic process",0.0631578947368421,0.00746165058652044,8.0492722598519e-05,0.0179539449098136,0.0153965515941716,"Hpca/Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:1901293","nucleoside phosphate biosynthetic process",0.0631578947368421,0.0076351773443465,9.13354755586448e-05,0.0179539449098136,0.0153965515941716,"Hpca/Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:0062012","regulation of small molecule metabolic process",0.0631578947368421,0.0128756854306934,0.00145278354038592,0.0731176340366404,0.0627026222116538,"Igfbp3/Pex2/Hpca/Cnr1/Eno1/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:0006631","fatty acid metabolic process",0.0631578947368421,0.0154785867980843,0.00362833530120617,0.09706367309319,0.0832377429142182,"Pex2/Pex7/Acat2/Cnr1/Gcdh/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:0009117","nucleotide metabolic process",0.0631578947368421,0.0155132921496495,0.00366810392503334,0.09706367309319,0.0832377429142182,"Hpca/Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:0006753","nucleoside phosphate metabolic process",0.0631578947368421,0.0157909349621712,0.00399804101397309,0.103798196891075,0.0890129886129858,"Hpca/Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",6,"Up","ASC vs. Stable","70"
"GO:0006635","fatty acid beta-oxidation",0.0526315789473684,0.00263760671895606,5.37808861304441e-06,0.00740024993154911,0.00634614456339241,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0009062","fatty acid catabolic process",0.0526315789473684,0.00350524050808635,2.16086819953182e-05,0.0147374886508213,0.0126382533488148,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0019395","fatty acid oxidation",0.0526315789473684,0.00392170472686888,3.711869814843e-05,0.0147374886508213,0.0126382533488148,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0034440","lipid oxidation",0.0526315789473684,0.00419934753939057,5.14904761931079e-05,0.0147374886508213,0.0126382533488148,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0072329","monocarboxylic acid catabolic process",0.0526315789473684,0.00423405289095579,5.35519209695541e-05,0.0147374886508213,0.0126382533488148,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0009260","ribonucleotide biosynthetic process",0.0526315789473684,0.00565697230512945,0.000209390344006372,0.0263231162432596,0.0225736025923302,"Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0006164","purine nucleotide biosynthetic process",0.0526315789473684,0.00583049906295551,0.000240855456788227,0.0263231162432596,0.0225736025923302,"Hpca/Gcdh/Atp5g3/Eno1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0046390","ribose phosphate biosynthetic process",0.0526315789473684,0.00596932046921635,0.000268517411691267,0.0263914256062274,0.0226321818425496,"Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0072522","purine-containing compound biosynthetic process",0.0526315789473684,0.00607343652391199,0.000290798844846448,0.0266759473672475,0.0228761757945872,"Hpca/Gcdh/Atp5g3/Eno1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0030258","lipid modification",0.0526315789473684,0.00749635593808565,0.000757667361093011,0.0585072655681226,0.0501733818098726,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0046395","carboxylic acid catabolic process",0.0526315789473684,0.00760047199278129,0.000806026995108691,0.0585072655681226,0.0501733818098726,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0016054","organic acid catabolic process",0.0526315789473684,0.00766988269591171,0.000839522969727994,0.0585072655681226,0.0501733818098726,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0044242","cellular lipid catabolic process",0.0526315789473684,0.00777399875060734,0.000891700379767393,0.0585072655681226,0.0501733818098726,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0046034","ATP metabolic process",0.0526315789473684,0.00912750746165059,0.00181155981823783,0.0755365548453108,0.0647769874400195,"Tefm/Atp5g3/Eno1/Uqcc2/Ndufb8",5,"Up","ASC vs. Stable","70"
"GO:0006260","DNA replication",0.0526315789473684,0.00961338238356355,0.00226925889259946,0.0814936657843783,0.069885556413929,"Eme2/Ssbp1/Ddx21/Alyref/Cdc42",5,"Up","ASC vs. Stable","70"
"GO:0042254","ribosome biogenesis",0.0526315789473684,0.0103769001179982,0.00315114086120133,0.0922546771279368,0.0791137492812249,"Pop4/Pes1/Ddx21/Rsl24d1/Rpf2",5,"Up","ASC vs. Stable","70"
"GO:0016042","lipid catabolic process",0.0526315789473684,0.0114180606649545,0.00472084526034675,0.113962861021704,0.097729779073845,"Pex2/Pex7/Acat2/Cnr1/Gcdh",5,"Up","ASC vs. Stable","70"
"GO:0006913","nucleocytoplasmic transport",0.0526315789473684,0.0115915874227806,0.00502817049698913,0.115312710064284,0.0988873531074528,"Snupn/Mlx/Alyref/Aaas/Txn1",5,"Up","ASC vs. Stable","70"
"GO:0051169","nuclear transport",0.0526315789473684,0.0115915874227806,0.00502817049698913,0.115312710064284,0.0988873531074528,"Snupn/Mlx/Alyref/Aaas/Txn1",5,"Up","ASC vs. Stable","70"
"GO:0009259","ribonucleotide metabolic process",0.0526315789473684,0.0126327479697369,0.00717679934439753,0.132355380027525,0.113502433453837,"Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0006163","purine nucleotide metabolic process",0.0526315789473684,0.012806274727563,0.00758873252559539,0.13739599941078,0.117825057634244,"Hpca/Gcdh/Atp5g3/Eno1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0019693","ribose phosphate metabolic process",0.0526315789473684,0.0130492121885195,0.00819278088738214,0.144529057705613,0.123942069834755,"Gcdh/Atp5g3/Eno1/Cmpk1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0019216","regulation of lipid metabolic process",0.0526315789473684,0.0132574442979107,0.00873650901464723,0.14841279511302,0.127272600460293,"Pex2/Cnr1/Arf1/Pdk1/Cdc42",5,"Up","ASC vs. Stable","70"
"GO:0072521","purine-containing compound metabolic process",0.0526315789473684,0.0136044978135629,0.009697502179743,0.156759084009882,0.134430028438707,"Hpca/Gcdh/Atp5g3/Eno1/Pdk1",5,"Up","ASC vs. Stable","70"
"GO:0034470","ncRNA processing",0.0526315789473684,0.0136392031651281,0.00979744275061762,0.156759084009882,0.134430028438707,"Pop4/Pes1/Ddx21/2210016F16Rik/Rpf2",5,"Up","ASC vs. Stable","70"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0526315789473684,0.0140903727354758,0.011161943137193,0.168778392931621,0.144737284636129,"Pop4/Pes1/Ddx21/Rsl24d1/Rpf2",5,"Up","ASC vs. Stable","70"
"GO:0006261","DNA-templated DNA replication",0.0421052631578947,0.00513639203165128,0.00148103696357346,0.0731176340366404,0.0627026222116538,"Eme2/Ssbp1/Ddx21/Alyref",4,"Up","ASC vs. Stable","70"
