"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0044262","cellular carbohydrate metabolic process",0.0833333333333333,0.0101686680086069,0.000363282462158815,0.146102484286894,0.127384861781333,"Rpe/Dusp12/Akt2/Mtmr2/Ext1",5,"Up","TRN-DOM 70min"
"GO:0032543","mitochondrial translation",0.05,0.00263760671895606,0.000541585530460774,0.146102484286894,0.127384861781333,"Malsu1/Gfm1/Uqcc2",3,"Up","TRN-DOM 70min"
"GO:0140053","mitochondrial gene expression",0.05,0.00378288332060804,0.00154046619382458,0.198112102589097,0.17273137365663,"Malsu1/Gfm1/Uqcc2",3,"Up","TRN-DOM 70min"
"GO:0051028","mRNA transport",0.05,0.00409523148469494,0.00193280100086924,0.198112102589097,0.17273137365663,"Seh1l/Aaas/Rbm15b",3,"Up","TRN-DOM 70min"
"GO:0009642","response to light intensity",0.0333333333333333,0.000416464218782536,0.00027766849602796,0.146102484286894,0.127384861781333,"Akt2/Ext1",2,"Up","TRN-DOM 70min"
"GO:0031468","nuclear membrane reassembly",0.0333333333333333,0.000624696328173804,0.000638529489021429,0.146102484286894,0.127384861781333,"Chmp1b/Banf1",2,"Up","TRN-DOM 70min"
"GO:0061744","motor behavior",0.0333333333333333,0.000659401679739016,0.000712695045301922,0.146102484286894,0.127384861781333,"Ormdl1/Ext1",2,"Up","TRN-DOM 70min"
"GO:0070129","regulation of mitochondrial translation",0.0333333333333333,0.000902339140695495,0.00134189963965254,0.198112102589097,0.17273137365663,"Malsu1/Uqcc2",2,"Up","TRN-DOM 70min"
"GO:0062125","regulation of mitochondrial gene expression",0.0333333333333333,0.00107586589852155,0.00190714763983385,0.198112102589097,0.17273137365663,"Malsu1/Uqcc2",2,"Up","TRN-DOM 70min"
"GO:0071763","nuclear membrane organization",0.0333333333333333,0.00107586589852155,0.00190714763983385,0.198112102589097,0.17273137365663,"Chmp1b/Banf1",2,"Up","TRN-DOM 70min"
"GO:0034968","histone lysine methylation",0.0634920634920635,0.00468522246130353,0.000221567378191759,0.091780394186729,0.0812786367768195,"Mllt6/Kmt2d/Kmt2a/Kmt5c",4,"Down","TRN-DOM 70min"
"GO:0018022","peptidyl-lysine methylation",0.0634920634920635,0.0052058027347817,0.000331038392017057,0.091780394186729,0.0812786367768195,"Mllt6/Kmt2d/Kmt2a/Kmt5c",4,"Down","TRN-DOM 70min"
"GO:0016571","histone methylation",0.0634920634920635,0.0057957937113903,0.00049676026583738,0.0918178558022758,0.0813118119344344,"Mllt6/Kmt2d/Kmt2a/Kmt5c",4,"Down","TRN-DOM 70min"
"GO:0006479","protein methylation",0.0634920634920635,0.00718400777399875,0.00110650474363406,0.126915421738529,0.112393420798298,"Mllt6/Kmt2d/Kmt2a/Kmt5c",4,"Down","TRN-DOM 70min"
"GO:0008213","protein alkylation",0.0634920634920635,0.00718400777399875,0.00110650474363406,0.126915421738529,0.112393420798298,"Mllt6/Kmt2d/Kmt2a/Kmt5c",4,"Down","TRN-DOM 70min"
"GO:0006402","mRNA catabolic process",0.0634920634920635,0.00843340043034636,0.00199062819401653,0.157686190511738,0.139643316166723,"Ago3/Smg1/Csdc2/Plekhn1",4,"Down","TRN-DOM 70min"
"GO:0018027","peptidyl-lysine dimethylation",0.0476190476190476,0.000867633789130284,2.2136129981056e-05,0.0245489681489911,0.0217400097603424,"Kmt2d/Kmt2a/Kmt5c",3,"Down","TRN-DOM 70min"
"GO:0018023","peptidyl-lysine trimethylation",0.0476190476190476,0.00201291039078226,0.000282083223780319,0.091780394186729,0.0812786367768195,"Kmt2d/Kmt2a/Kmt5c",3,"Down","TRN-DOM 70min"
"GO:0003091","renal water homeostasis",0.0317460317460317,0.00052058027347817,0.000485022969220271,0.0918178558022758,0.0813118119344344,"Inpp5k/Mllt6",2,"Down","TRN-DOM 70min"
"GO:0006833","water transport",0.0317460317460317,0.000659401679739016,0.000785454131816389,0.124438376026339,0.110199805260856,"Inpp5k/Mllt6",2,"Down","TRN-DOM 70min"
"GO:0021889","olfactory bulb interneuron differentiation",0.0317460317460317,0.000832928437565073,0.00125885449875908,0.126915421738529,0.112393420798298,"Robo1/Sall3",2,"Down","TRN-DOM 70min"
"GO:0080182","histone H3-K4 trimethylation",0.0317460317460317,0.000832928437565073,0.00125885449875908,0.126915421738529,0.112393420798298,"Kmt2d/Kmt2a",2,"Down","TRN-DOM 70min"
"GO:0035809","regulation of urine volume",0.0317460317460317,0.000937044492260707,0.00159418872285069,0.147329607803451,0.130471761264885,"Inpp5k/Mllt6",2,"Down","TRN-DOM 70min"
"GO:0042044","fluid transport",0.0317460317460317,0.00100645519539113,0.00183880873700168,0.156864529948836,0.13891567219616,"Inpp5k/Mllt6",2,"Down","TRN-DOM 70min"
"GO:0033865","nucleoside bisphosphate metabolic process",0.0689655172413793,0.00381758867217325,0.00548181176732515,0.157051664213224,0.114450605499516,"Mvk/Pank4",2,"Up","TRN-DOM 25hr"
"GO:0033875","ribonucleoside bisphosphate metabolic process",0.0689655172413793,0.00381758867217325,0.00548181176732515,0.157051664213224,0.114450605499516,"Mvk/Pank4",2,"Up","TRN-DOM 25hr"
"GO:0034032","purine nucleoside bisphosphate metabolic process",0.0689655172413793,0.00381758867217325,0.00548181176732515,0.157051664213224,0.114450605499516,"Mvk/Pank4",2,"Up","TRN-DOM 25hr"
"GO:0046165","alcohol biosynthetic process",0.0689655172413793,0.0048934545706948,0.00885306402982741,0.157051664213224,0.114450605499516,"Mvk/Nfkb1",2,"Up","TRN-DOM 25hr"
"GO:0050728","negative regulation of inflammatory response",0.0689655172413793,0.00499757062539044,0.00921800321635707,0.157051664213224,0.114450605499516,"Mvk/Nfkb1",2,"Up","TRN-DOM 25hr"
"GO:0006694","steroid biosynthetic process",0.0689655172413793,0.00586520441452072,0.0125142576766747,0.157051664213224,0.114450605499516,"Mvk/Nfkb1",2,"Up","TRN-DOM 25hr"
"GO:1901617","organic hydroxy compound biosynthetic process",0.0689655172413793,0.00812105226625946,0.0230849469716382,0.157051664213224,0.114450605499516,"Mvk/Nfkb1",2,"Up","TRN-DOM 25hr"
"GO:0031348","negative regulation of defense response",0.0689655172413793,0.00836398972721594,0.0243842705543534,0.157051664213224,0.114450605499516,"Mvk/Nfkb1",2,"Up","TRN-DOM 25hr"
"GO:0060828","regulation of canonical Wnt signaling pathway",0.0689655172413793,0.00864163253973763,0.0259053740201467,0.157051664213224,0.114450605499516,"Nfkb1/Mcc",2,"Up","TRN-DOM 25hr"
"GO:0060070","canonical Wnt signaling pathway",0.0689655172413793,0.0105504268758243,0.0373552036611049,0.157051664213224,0.114450605499516,"Nfkb1/Mcc",2,"Up","TRN-DOM 25hr"
"GO:0015937","coenzyme A biosynthetic process",0.0344827586206897,0.000347053515652114,0.0100206492179157,0.157051664213224,0.114450605499516,"Pank4",1,"Up","TRN-DOM 25hr"
"GO:0035646","endosome to melanosome transport",0.0344827586206897,0.000347053515652114,0.0100206492179157,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0043485","endosome to pigment granule transport",0.0344827586206897,0.000347053515652114,0.0100206492179157,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0048757","pigment granule maturation",0.0344827586206897,0.000347053515652114,0.0100206492179157,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0048840","otolith development",0.0344827586206897,0.000347053515652114,0.0100206492179157,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0032353","negative regulation of hormone biosynthetic process",0.0344827586206897,0.000381758867217325,0.0110173649925539,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0043482","cellular pigment accumulation",0.0344827586206897,0.000381758867217325,0.0110173649925539,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0032351","negative regulation of hormone metabolic process",0.0344827586206897,0.000416464218782536,0.0120131118388966,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0042362","fat-soluble vitamin biosynthetic process",0.0344827586206897,0.000416464218782536,0.0120131118388966,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0043476","pigment accumulation",0.0344827586206897,0.000416464218782536,0.0120131118388966,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0048070","regulation of developmental pigmentation",0.0344827586206897,0.000451169570347748,0.0130078906652517,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:0120305","regulation of pigmentation",0.0344827586206897,0.000451169570347748,0.0130078906652517,0.157051664213224,0.114450605499516,"Bloc1s5",1,"Up","TRN-DOM 25hr"
"GO:1902931","negative regulation of alcohol biosynthetic process",0.0344827586206897,0.000451169570347748,0.0130078906652517,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0030213","hyaluronan biosynthetic process",0.0344827586206897,0.000485874921912959,0.0140017023791055,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0032769","negative regulation of monooxygenase activity",0.0344827586206897,0.000485874921912959,0.0140017023791055,0.157051664213224,0.114450605499516,"Nfkb1",1,"Up","TRN-DOM 25hr"
"GO:0015936","coenzyme A metabolic process",0.0344827586206897,0.00052058027347817,0.0149945478871271,0.157051664213224,0.114450605499516,"Pank4",1,"Up","TRN-DOM 25hr"
"GO:0042182","ketone catabolic process",0.0344827586206897,0.00052058027347817,0.0149945478871271,0.157051664213224,0.114450605499516,"Nqo2",1,"Up","TRN-DOM 25hr"
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition",0.0344827586206897,0.00052058027347817,0.0149945478871271,0.157051664213224,0.114450605499516,"Cdc23",1,"Up","TRN-DOM 25hr"
