"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0015980","energy derivation by oxidation of organic compounds",0.0845070422535211,0.0108280696883459,5.22088695711058e-08,0.000120341444361399,0.000102384341064179,"Ppp1r2/Mt3/Ndufc2/Idh1/Chchd10/Ppp1cc/Slc25a33/Ugp2/Cox6a1/Ndufa8/Uqcc2/Ndufb8",12,"Up","TRN-SUB 70min"
"GO:0006091","generation of precursor metabolites and energy",0.0845070422535211,0.0151315332824322,1.83330358602829e-06,0.0010564411914488,0.000898801205465976,"Ppp1r2/Mt3/Ndufc2/Idh1/Chchd10/Ppp1cc/Slc25a33/Ugp2/Cox6a1/Ndufa8/Uqcc2/Ndufb8",12,"Up","TRN-SUB 70min"
"GO:0009060","aerobic respiration",0.0563380281690141,0.00572638300825987,1.70690395818492e-06,0.0010564411914488,0.000898801205465976,"Ndufc2/Idh1/Chchd10/Slc25a33/Cox6a1/Ndufa8/Uqcc2/Ndufb8",8,"Up","TRN-SUB 70min"
"GO:0045333","cellular respiration",0.0563380281690141,0.00773929339904213,1.56521459382423e-05,0.00618503175563151,0.00526211401335381,"Ndufc2/Idh1/Chchd10/Slc25a33/Cox6a1/Ndufa8/Uqcc2/Ndufb8",8,"Up","TRN-SUB 70min"
"GO:0046034","ATP metabolic process",0.0563380281690141,0.00912750746165059,5.06649278414025e-05,0.0145978323343041,0.0124195737590175,"Ndufc2/Chchd10/Slc25a33/Cox6a1/Ndufa8/Uqcc2/Atp5g3/Ndufb8",8,"Up","TRN-SUB 70min"
"GO:0042063","gliogenesis",0.0563380281690141,0.012146873047824,0.000358112052284531,0.0403666372286201,0.0343432104838083,"Plp1/Mal/Cnp/Dbi/Tgfb2/Mt3/Sox10/Ppp1cc",8,"Up","TRN-SUB 70min"
"GO:0070997","neuron death",0.0563380281690141,0.0152009439855626,0.00152684341645717,0.0826027882717715,0.0702769697683801,"Tac1/Esr1/Npy/Axl/Tgfb2/Mt3/Fam162a/Kcnip3",8,"Up","TRN-SUB 70min"
"GO:0001667","ameboidal-type cell migration",0.0563380281690141,0.0156868189074755,0.0018583452334637,0.0874180767986498,0.0743737308258406,"Tac1/Cap1/Adam9/Tgfb2/Sox10/Itga3/Anxa6/Sash1",8,"Up","TRN-SUB 70min"
"GO:0042391","regulation of membrane potential",0.0563380281690141,0.0162768098840841,0.0023346946306565,0.0888148734910412,0.0755621003830619,"Tac1/Glra2/Atp1a3/Cnih2/Gja1/Ndufc2/Chchd10/Slc25a33",8,"Up","TRN-SUB 70min"
"GO:0050808","synapse organization",0.0563380281690141,0.0171444436732144,0.00320391868095887,0.0888148734910412,0.0755621003830619,"Tanc1/Wnt7b/Tmeff1/Slitrk2/Nfia/Clstn2/Itga3/Chchd10",8,"Up","TRN-SUB 70min"
