"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0040029","regulation of gene expression, epigenetic",0.0386740331491713,0.0057957937113903,9.34498670130741e-05,0.183669497660085,0.177143992277292,"Klf2/Hat1/Sirt6/Ogt/H1f0/Samd1/Dnmt3a",7,"Up","ASC-DOM"
"GO:0031507","heterochromatin assembly",0.0276243093922652,0.00291524953147775,0.000191253212131634,0.183669497660085,0.177143992277292,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0045814","negative regulation of gene expression, epigenetic",0.0276243093922652,0.00315818699243423,0.000278086224402894,0.183669497660085,0.177143992277292,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0070828","heterochromatin organization",0.0276243093922652,0.00322759769556466,0.00030765409993314,0.183669497660085,0.177143992277292,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0466926070038911,0.0140903727354758,0.000315924340155156,0.145262011603341,0.139937855091884,"Tsr2/Eif4b/Rps6/Snrpd2/Rpl23a/Rpl3/Ddx18/Celf6/Efl1/Exosc9/Snrpg/Gtf3a",12,"Down","ASC-DOM"
"GO:0006865","amino acid transport",0.0311284046692607,0.00555285625043382,9.97993305050659e-05,0.126161142632864,0.12153707291479,"Nfe2l1/Lrrc8c/Slc25a22/Slc6a15/Rgs2/Slc38a7/Slc22a4/Lrrc8e",8,"Down","ASC-DOM"
"GO:0033108","mitochondrial respiratory chain complex assembly",0.0233463035019455,0.00322759769556466,0.000189306843113413,0.129420972727389,0.124677423419073,"Ndufaf8/Ndufb4/Ndufc1/Ndufs5/Cox18/Coa4",6,"Down","ASC-DOM"
"GO:0003333","amino acid transmembrane transport",0.0233463035019455,0.00333171375026029,0.000225177855985018,0.129420972727389,0.124677423419073,"Lrrc8c/Slc25a22/Rgs2/Slc38a7/Slc22a4/Lrrc8e",6,"Down","ASC-DOM"
"GO:0015810","aspartate transmembrane transport",0.0116731517509728,0.000381758867217325,0.000109753060141683,0.126161142632864,0.12153707291479,"Lrrc8c/Slc25a22/Lrrc8e",3,"Down","ASC-DOM"
"GO:0006644","phospholipid metabolic process",0.0604026845637584,0.0127368640244326,0.00013050353727113,0.0865568744183112,0.0803395769837967,"Alox8/Dgkg/Pigl/Gdpd1/Scarb1/Pign/Mtmr12/Ocrl/Becn1",9,"Up","DOM-SUB"
"GO:0006650","glycerophospholipid metabolic process",0.0536912751677852,0.00961338238356355,0.000101992514432493,0.0865568744183112,0.0803395769837967,"Dgkg/Pigl/Gdpd1/Scarb1/Pign/Mtmr12/Ocrl/Becn1",8,"Up","DOM-SUB"
"GO:0046486","glycerolipid metabolic process",0.0536912751677852,0.0132227389463455,0.000857727294058977,0.183685917372969,0.170491933757985,"Dgkg/Pigl/Gdpd1/Scarb1/Pign/Mtmr12/Ocrl/Becn1",8,"Up","DOM-SUB"
"GO:0035966","response to topologically incorrect protein",0.0335570469798658,0.00485874921912959,0.000823298893323307,0.183685917372969,0.170491933757985,"Rnf185/Ptpn2/Hspa13/Hsp90aa1/Ube2w",5,"Up","DOM-SUB"
"GO:0046488","phosphatidylinositol metabolic process",0.0335570469798658,0.00510168668008607,0.00102446133504166,0.183685917372969,0.170491933757985,"Pigl/Pign/Mtmr12/Ocrl/Becn1",5,"Up","DOM-SUB"
"GO:1903364","positive regulation of cellular protein catabolic process",0.0335570469798658,0.00510168668008607,0.00102446133504166,0.183685917372969,0.170491933757985,"Axin1/Tmem67/Rnf185/Hsp90aa1/Arih1",5,"Up","DOM-SUB"
"GO:1904754","positive regulation of vascular associated smooth muscle cell migration",0.0201342281879195,0.000694107031304227,0.000144824664392043,0.0865568744183112,0.0803395769837967,"Fgf9/Ssh1/Dock7",3,"Up","DOM-SUB"
"GO:1904752","regulation of vascular associated smooth muscle cell migration",0.0201342281879195,0.00107586589852155,0.000547732098381817,0.183685917372969,0.170491933757985,"Fgf9/Ssh1/Dock7",3,"Up","DOM-SUB"
"GO:1905898","positive regulation of response to endoplasmic reticulum stress",0.0201342281879195,0.00111057125008676,0.000602111752199694,0.183685917372969,0.170491933757985,"Tmem67/Rnf185/Ptpn2",3,"Up","DOM-SUB"
"GO:1904738","vascular associated smooth muscle cell migration",0.0201342281879195,0.0012146873047824,0.000785557891822386,0.183685917372969,0.170491933757985,"Fgf9/Ssh1/Dock7",3,"Up","DOM-SUB"
