"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0150063","visual system development",0.0492610837438424,0.0147150690636496,0.000905436216368314,0.189137308487669,0.181071332153162,"Fgfr2/Phactr4/Meis2/Pde6a/Itgam/Crx/Naglu/Pbx1/Nphp1/Smg9",10,"Up","ASC-DOM"
"GO:0048880","sensory system development",0.0492610837438424,0.0148538904699105,0.000971851782742961,0.189137308487669,0.181071332153162,"Fgfr2/Phactr4/Meis2/Pde6a/Itgam/Crx/Naglu/Pbx1/Nphp1/Smg9",10,"Up","ASC-DOM"
"GO:0040029","regulation of gene expression, epigenetic",0.0344827586206897,0.0057957937113903,0.000190023392915305,0.115468815562776,0.110544516168066,"Klf2/Hat1/Sirt6/Ogt/H1f0/Samd1/Dnmt3a",7,"Up","ASC-DOM"
"GO:0140053","mitochondrial gene expression",0.0295566502463054,0.00378288332060804,0.00012588472016291,0.115468815562776,0.110544516168066,"Tfb1m/Tefm/Polrmt/Mief1/Qrsl1/Fastk",6,"Up","ASC-DOM"
"GO:0031507","heterochromatin assembly",0.0246305418719212,0.00291524953147775,0.0003248180039916,0.115468815562776,0.110544516168066,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0045814","negative regulation of gene expression, epigenetic",0.0246305418719212,0.00315818699243423,0.000470234507406668,0.119504589005453,0.114408179447284,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0061515","myeloid cell development",0.0246305418719212,0.00319289234399944,0.000494446808190537,0.119504589005453,0.114408179447284,"Hba-a2/Hbb-b1/Hba-a1/Klf2/Itgam",5,"Up","ASC-DOM"
"GO:0070828","heterochromatin organization",0.0246305418719212,0.00322759769556466,0.000519585169588927,0.119504589005453,0.114408179447284,"Hat1/Sirt6/H1f0/Samd1/Dnmt3a",5,"Up","ASC-DOM"
"GO:0048821","erythrocyte development",0.0197044334975369,0.00159644617199972,0.000309589579028495,0.115468815562776,0.110544516168066,"Hba-a2/Hbb-b1/Hba-a1/Klf2",4,"Up","ASC-DOM"
"GO:0000959","mitochondrial RNA metabolic process",0.0197044334975369,0.00166585687513015,0.000365118784388225,0.115468815562776,0.110544516168066,"Tfb1m/Tefm/Polrmt/Fastk",4,"Up","ASC-DOM"
