"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000013275",0.813233275318697,0.391272312900707,"Slc41a1","1","solute carrier family 41, member 1","lightgreen"
"ENSMUSG00000021745",0.844797345348806,0.344768311472046,NA,NA,NA,"lightgreen"
"ENSMUSG00000021846",0.866549004003792,0.275054244135453,"Peli2","14","pellino 2","lightgreen"
"ENSMUSG00000023942",0.833786983703512,0.417554391828185,"Slc29a1","17","solute carrier family 29 (nucleoside transporters), member 1","lightgreen"
"ENSMUSG00000025969",0.866808073051954,0.253358403320073,"Nrp2","1","neuropilin 2","lightgreen"
"ENSMUSG00000031557",0.910161833378753,0.209711826644921,"Plekha2","8","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2","lightgreen"
"ENSMUSG00000031618",0.817362129381984,0.241049045289061,"Nr3c2","8","nuclear receptor subfamily 3, group C, member 2","lightgreen"
"ENSMUSG00000032368",0.810436219051084,0.309429086841749,"Zic1","9","zinc finger protein of the cerebellum 1","lightgreen"
"ENSMUSG00000049001",0.828057905547463,0.309432140185426,"Ndnf","6","neuron-derived neurotrophic factor","lightgreen"
"ENSMUSG00000052387",0.822295493856368,0.277119455288288,"Trpm3","19","transient receptor potential cation channel, subfamily M, member 3","lightgreen"
"ENSMUSG00000005583",0.82535559216714,-0.250330391613267,"Mef2c","13","myocyte enhancer factor 2C","lightcyan"
"ENSMUSG00000007207",0.900090403560651,-0.304173307843782,"Stx1a","5","syntaxin 1A (brain)","lightcyan"
"ENSMUSG00000015882",0.878225886994091,-0.389668628055347,"Lcorl","5","ligand dependent nuclear receptor corepressor-like","lightcyan"
"ENSMUSG00000021217",0.927307944993281,-0.292555838964335,"Tshz3","7","teashirt zinc finger family member 3","lightcyan"
"ENSMUSG00000021301",0.903310530386132,-0.206065040669964,"Hecw1","13","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","lightcyan"
"ENSMUSG00000024256",0.82266198160504,-0.570148639994164,"Adcyap1","17","adenylate cyclase activating polypeptide 1","lightcyan"
"ENSMUSG00000024261",0.812216669748307,-0.280222769434961,"Syt4","18","synaptotagmin IV","lightcyan"
"ENSMUSG00000028266",0.941909840010056,-0.460629585409654,"Lmo4","3","LIM domain only 4","lightcyan"
"ENSMUSG00000030067",0.856004702824607,-0.220841710211015,"Foxp1","6","forkhead box P1","lightcyan"
"ENSMUSG00000030199",0.841668214011164,-0.325729592764348,"Etv6","6","ets variant 6","lightcyan"
"ENSMUSG00000030518",0.829150188019366,-0.492043768649029,"Fam189a1","7","family with sequence similarity 189, member A1","lightcyan"
"ENSMUSG00000030616",0.867825818812063,-0.431704390731775,"Sytl2","7","synaptotagmin-like 2","lightcyan"
"ENSMUSG00000030792",0.809593625017193,-0.243190521009699,"Dkkl1","7","dickkopf-like 1","lightcyan"
"ENSMUSG00000030839",0.870380918709626,-0.35193791846097,"Sergef","7","secretion regulating guanine nucleotide exchange factor","lightcyan"
"ENSMUSG00000030854",0.809016020430594,-0.390450432273752,"Ptpn5","7","protein tyrosine phosphatase, non-receptor type 5","lightcyan"
"ENSMUSG00000032890",0.934795740832552,-0.248541982964403,"Rims3","4","regulating synaptic membrane exocytosis 3","lightcyan"
"ENSMUSG00000034295",0.832517362991703,-0.305442986547136,"Fhod3","18","formin homology 2 domain containing 3","lightcyan"
"ENSMUSG00000037279",0.892600382922444,-0.388652367161657,"Ovol2","2","ovo like zinc finger 2","lightcyan"
"ENSMUSG00000037826",0.821345606483834,-0.396625160453926,"Ppm1k","6","protein phosphatase 1K (PP2C domain containing)","lightcyan"
"ENSMUSG00000038026",0.820513656267023,-0.356392422600372,"Kcnj9","1","potassium inwardly-rectifying channel, subfamily J, member 9","lightcyan"
"ENSMUSG00000038530",0.938193980628536,-0.30576236080164,"Rgs4","1","regulator of G-protein signaling 4","lightcyan"
"ENSMUSG00000039913",0.8415658973566,-0.412773297485585,"Pak5","2","p21 (RAC1) activated kinase 5","lightcyan"
"ENSMUSG00000039953",0.847320163546948,-0.200036112302008,"Clstn1","4","calsyntenin 1","lightcyan"
"ENSMUSG00000040536",0.88830718996946,-0.419437412568705,"Necab1","4","N-terminal EF-hand calcium binding protein 1","lightcyan"
"ENSMUSG00000041889",0.831526006009647,-0.279227815220808,"Shisa4","1","shisa family member 4","lightcyan"
"ENSMUSG00000048978",0.858316500918822,-0.242616718011393,"Nrsn1","13","neurensin 1","lightcyan"
"ENSMUSG00000049100",0.878200046517973,-0.387332001476881,"Pcdh10","3","protocadherin 10","lightcyan"
"ENSMUSG00000049556",0.867269292696182,-0.313039511216637,"Lingo1","9","leucine rich repeat and Ig domain containing 1","lightcyan"
"ENSMUSG00000053310",0.828398583967182,-0.334724928103575,"Nrgn","9","neurogranin","lightcyan"
"ENSMUSG00000066392",0.812000614191478,-0.41030149334313,"Nrxn3","12","neurexin III","lightcyan"
"ENSMUSG00000071369",0.837908982794102,-0.415842249618153,"Map3k5","10","mitogen-activated protein kinase kinase kinase 5","lightcyan"
"ENSMUSG00000013523",0.893389851569285,-0.248560529277378,"Bcas1","2","brain enriched myelin associated protein 1","tan"
"ENSMUSG00000018589",0.817469501414949,-0.367490039645319,"Glra2","X","glycine receptor, alpha 2 subunit","tan"
"ENSMUSG00000026830",0.929723655333722,-0.253562294960722,"Ermn","2","ermin, ERM-like protein","tan"
"ENSMUSG00000027858",0.850359817968975,-0.235857204613554,"Tspan2","3","tetraspanin 2","tan"
"ENSMUSG00000030701",0.839349019055273,-0.230299026701558,"Plekhb1","7","pleckstrin homology domain containing, family B (evectins) member 1","tan"
"ENSMUSG00000002475",0.863675695045499,-0.351173604578613,"Abhd3","18","abhydrolase domain containing 3","turquoise"
"ENSMUSG00000002844",0.811840664788212,-0.380090836900142,"Adprh","16","ADP-ribosylarginine hydrolase","turquoise"
"ENSMUSG00000005683",0.843886395505104,-0.489820069096497,"Cs","10","citrate synthase","turquoise"
"ENSMUSG00000005873",0.800742383788947,-0.514821664195104,"Reep5","18","receptor accessory protein 5","turquoise"
"ENSMUSG00000005881",0.862694047793094,-0.549418333626186,"Ergic3","2","ERGIC and golgi 3","turquoise"
"ENSMUSG00000006315",0.815477501059201,-0.412392638702657,"Tmem147","7","transmembrane protein 147","turquoise"
"ENSMUSG00000006373",0.857367430250563,-0.445893234913298,"Pgrmc1","X","progesterone receptor membrane component 1","turquoise"
"ENSMUSG00000006699",0.914307105532069,-0.395291884063563,"Cdc42","4","cell division cycle 42","turquoise"
"ENSMUSG00000007458",0.816149536104733,-0.468134770658363,"M6pr","6","mannose-6-phosphate receptor, cation dependent","turquoise"
"ENSMUSG00000009013",0.86322140008243,-0.599609047648553,"Dynll1","5","dynein light chain LC8-type 1","turquoise"
"ENSMUSG00000009549",0.84745164869067,-0.277459905285987,"Srp14","2","signal recognition particle 14","turquoise"
"ENSMUSG00000010517",0.800617050470828,-0.205709772468918,"Faf1","4","Fas-associated factor 1","turquoise"
"ENSMUSG00000016427",0.906325834815903,-0.301663839930823,"Ndufa1","X","NADH:ubiquinone oxidoreductase subunit A1","turquoise"
"ENSMUSG00000017778",0.847125860137162,-0.254430147959302,"Cox7c","13","cytochrome c oxidase subunit 7C","turquoise"
"ENSMUSG00000018286",0.846036367636895,-0.231091582822917,"Psmb6","11","proteasome (prosome, macropain) subunit, beta type 6","turquoise"
"ENSMUSG00000018446",0.835271876518904,-0.252034850623155,"C1qbp","11","complement component 1, q subcomponent binding protein","turquoise"
"ENSMUSG00000018770",0.966779740975653,-0.417235764252769,"Atp5g3","2","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)","turquoise"
"ENSMUSG00000019179",0.917005603498724,-0.455345326025946,"Mdh2","5","malate dehydrogenase 2, NAD (mitochondrial)","turquoise"
"ENSMUSG00000019923",0.825489833525685,-0.498371742151453,"Zwint","10","ZW10 interactor","turquoise"
"ENSMUSG00000020149",0.844086695490877,-0.44473046744851,"Rab1a","11","RAB1A, member RAS oncogene family","turquoise"
"ENSMUSG00000020297",0.838123578845604,-0.4580951259273,"Nsg2","11","neuron specific gene family member 2","turquoise"
"ENSMUSG00000020321",0.826296825632494,-0.215352375922899,"Mdh1","11","malate dehydrogenase 1, NAD (soluble)","turquoise"
"ENSMUSG00000020402",0.931742026002443,-0.393845676127427,"Vdac1","11","voltage-dependent anion channel 1","turquoise"
"ENSMUSG00000020738",0.865094179512652,-0.367481165807364,"Sumo2","11","small ubiquitin-like modifier 2","turquoise"
"ENSMUSG00000021131",0.845372505526863,-0.214983873918694,"Erh","12","ERH mRNA splicing and mitosis factor","turquoise"
"ENSMUSG00000021270",0.819012168162573,-0.512529986053977,"Hsp90aa1","12","heat shock protein 90, alpha (cytosolic), class A member 1","turquoise"
