"ensgene","log2FoldChange","pvalue","padj","contrast","symbol","description","region"
"ENSMUSG00000100241",4.17242527450973,0.000146835678822957,0.0123558886555,"DOM - DES","Slc18a3","solute carrier family 18 (vesicular monoamine), member 3 [Source:MGI Symbol;Acc:MGI:1101061]","MeA"
"ENSMUSG00000096225",3.07319092596424,0.0019951458425136,0.0586272022373541,"DOM - DES","Lhx8","LIM homeobox protein 8 [Source:MGI Symbol;Acc:MGI:1096343]","MeA"
"ENSMUSG00000095547",2.99281550850376,0.00112687884562011,0.0451056100098212,"DOM - DES","Gm10719","predicted gene 10719 [Source:MGI Symbol;Acc:MGI:3641690]","MeA"
"ENSMUSG00000046480",2.26021693528535,3.59588802999818e-07,0.000474687323190435,"DOM - DES","Scn4b","sodium channel, type IV, beta [Source:MGI Symbol;Acc:MGI:2687406]","MeA"
"ENSMUSG00000041453",2.16714490089404,1.83466828012061e-05,0.0680340864975727,"CDOM - DES","Rpl21","ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:1278340]","mPFC"
"ENSMUSG00000029219",2.07636461386903,0.00117951278114717,0.0458231308784033,"DOM - DES","Slc10a4","solute carrier family 10 (sodium/bile acid cotransporter family), member 4 [Source:MGI Symbol;Acc:MGI:3606480]","MeA"
"ENSMUSG00000045871",2.03023285113433,5.33145403760975e-05,0.00657990285808337,"DOM - DES","Slitrk6","SLIT and NTRK-like family, member 6 [Source:MGI Symbol;Acc:MGI:2443198]","MeA"
"ENSMUSG00000026837",1.85023150161241,0.000620619672351991,0.0919832098795263,"CDOM - DOM","Col5a1","collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]","MeA"
"ENSMUSG00000037280",1.81032794904649,2.62934528788233e-05,0.00456294851878541,"DOM - DES","Galnt6","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 [Source:MGI Symbol;Acc:MGI:1891640]","MeA"
"ENSMUSG00000026452",1.72195418570099,2.3370122826507e-05,0.00412037522691153,"DOM - DES","Syt2","synaptotagmin II [Source:MGI Symbol;Acc:MGI:99666]","MeA"
"ENSMUSG00000015112",1.71014033224984,0.000289755858278443,0.019070224761464,"DOM - DES","Slc25a13","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 [Source:MGI Symbol;Acc:MGI:1354721]","MeA"
"ENSMUSG00000044734",1.69663472180988,3.84621733847753e-07,0.000474687323190435,"DOM - DES","Serpinb1a","serine (or cysteine) peptidase inhibitor, clade B, member 1a [Source:MGI Symbol;Acc:MGI:1913472]","MeA"
"ENSMUSG00000107272",1.6813982830239,0.00291617224606672,0.0736463078934973,"DOM - DES","Gm34583","predicted gene, 34583 [Source:MGI Symbol;Acc:MGI:5593742]","MeA"
"ENSMUSG00000027750",1.67681122549554,0.00215939191569484,0.061619642141504,"DOM - DES","Postn","periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]","MeA"
