"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000002808",0.807608808012624,0.224957897891877,"Epdr1","13","ependymin related protein 1 (zebrafish)","black"
"ENSMUSG00000037916",0.828741796589818,0.261807668258303,"Ndufv1","19","NADH:ubiquinone oxidoreductase core subunit V1","black"
"ENSMUSG00000000308",0.827422319647189,0.234732062355287,"Ckmt1","2","creatine kinase, mitochondrial 1, ubiquitous","blue"
"ENSMUSG00000001472",0.858509268528077,0.498726495062864,"Tcf25","8","transcription factor 25 (basic helix-loop-helix)","blue"
"ENSMUSG00000001833",0.8646223171624,0.236932491899109,"Septin7","9","septin 7","blue"
"ENSMUSG00000002768",0.869907289836618,0.201790195254065,"Mea1","17","male enhanced antigen 1","blue"
"ENSMUSG00000003948",0.881845593940164,0.271203212952323,"Mmd","11","monocyte to macrophage differentiation-associated","blue"
"ENSMUSG00000004366",0.849374576424005,0.293640203350716,"Sst","16","somatostatin","blue"
"ENSMUSG00000004771",0.81695903624591,0.28073593068331,"Rab11a","9","RAB11A, member RAS oncogene family","blue"
"ENSMUSG00000004961",0.953734032046412,0.207493506928427,"Syt5","7","synaptotagmin V","blue"
"ENSMUSG00000005045",0.807691791185536,0.230694446382914,"Chd5","4","chromodomain helicase DNA binding protein 5","blue"
"ENSMUSG00000005779",0.854177958597163,0.299525453662338,"Psmb4","3","proteasome (prosome, macropain) subunit, beta type 4","blue"
"ENSMUSG00000005986",0.884435696530549,0.315266211770064,"Ankrd13d","19","ankyrin repeat domain 13 family, member D","blue"
"ENSMUSG00000006273",0.877268111114821,0.263765293815786,"Atp6v1b2","8","ATPase, H+ transporting, lysosomal V1 subunit B2","blue"
"ENSMUSG00000007021",0.822251313372795,0.301093991034775,"Syngr3","17","synaptogyrin 3","blue"
"ENSMUSG00000007656",0.813452273867508,0.273391514929983,"Arpp19","9","cAMP-regulated phosphoprotein 19","blue"
"ENSMUSG00000009894",0.916762698707788,0.202392331099403,"Snap47","11","synaptosomal-associated protein, 47","blue"
"ENSMUSG00000014226",0.814935450741124,0.307177642377269,"Cacybp","1","calcyclin binding protein","blue"
"ENSMUSG00000015094",0.8467900460979,0.414541041941985,"Npdc1","2","neural proliferation, differentiation and control 1","blue"
"ENSMUSG00000017843",0.814568525696827,0.291392665190571,"Ppp2r5c","12","protein phosphatase 2, regulatory subunit B', gamma","blue"
"ENSMUSG00000018411",0.80121007277916,0.291535487578383,"Mapt","11","microtubule-associated protein tau","blue"
"ENSMUSG00000019082",0.814813898916323,0.297896673616203,"Slc25a22","7","solute carrier family 25 (mitochondrial carrier, glutamate), member 22","blue"
"ENSMUSG00000019194",0.805917376414473,0.260135371709089,"Scn1b","7","sodium channel, voltage-gated, type I, beta","blue"
"ENSMUSG00000019302",0.801933740113223,0.217043683843667,"Atp6v0a1","11","ATPase, H+ transporting, lysosomal V0 subunit A1","blue"
"ENSMUSG00000019370",0.871776396131821,0.423755372088863,"Calm3","7","calmodulin 3","blue"
"ENSMUSG00000019428",0.879173672258498,0.294151258056988,"Fkbp8","8","FK506 binding protein 8","blue"
"ENSMUSG00000019590",0.883726953119868,0.241533023449103,"Cyb561","11","cytochrome b-561","blue"
"ENSMUSG00000019877",0.844636452950236,0.249809366573421,"Serinc1","10","serine incorporator 1","blue"
