"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000020077",0.821578181067302,0.245001132189555,"Srgn","10","serglycin","grey60"
"ENSMUSG00000020932",0.96255169065214,0.393968238858032,"Gfap","11","glial fibrillary acidic protein","grey60"
"ENSMUSG00000022952",0.827683335855065,0.20846441168852,"Runx1","16","runt related transcription factor 1","grey60"
"ENSMUSG00000025351",0.814102682242071,0.255111054258536,"Cd63","10","CD63 antigen","grey60"
"ENSMUSG00000026701",0.814761469623344,0.275433726713519,"Prdx6","1","peroxiredoxin 6","grey60"
"ENSMUSG00000026728",0.886099351699544,0.230044130163065,"Vim","2","vimentin","grey60"
"ENSMUSG00000028517",0.812255798542462,0.401464409399491,"Plpp3","4","phospholipid phosphatase 3","grey60"
"ENSMUSG00000028583",0.900556320399917,0.243622836869853,"Pdpn","4","podoplanin","grey60"
"ENSMUSG00000030111",0.83465194838862,0.372474556578555,"A2m","6","alpha-2-macroglobulin","grey60"
"ENSMUSG00000030341",0.821536442771798,0.219256514054739,"Tnfrsf1a","6","tumor necrosis factor receptor superfamily, member 1a","grey60"
"ENSMUSG00000031207",0.852667316317545,0.241781423196638,"Msn","X","moesin","grey60"
"ENSMUSG00000031762",0.866073375470232,0.318898906020517,"Mt2","8","metallothionein 2","grey60"
"ENSMUSG00000031765",0.831961432766714,0.303581802489975,"Mt1","8","metallothionein 1","grey60"
"ENSMUSG00000036896",0.836058044896964,0.208202731700013,"C1qc","4","complement component 1, q subcomponent, C chain","grey60"
"ENSMUSG00000042613",0.851416209882437,0.406405541524841,"Pbxip1","3","pre B cell leukemia transcription factor interacting protein 1","grey60"
"ENSMUSG00000051439",0.806816452150379,0.285077924268482,"Cd14","18","CD14 antigen","grey60"
"ENSMUSG00000071637",0.860736556272233,0.3324529900572,"Cebpd","16","CCAAT/enhancer binding protein (C/EBP), delta","grey60"
"ENSMUSG00000005034",0.845247757851404,-0.354001814644316,"Prkacb","3","protein kinase, cAMP dependent, catalytic, beta","red"
"ENSMUSG00000015882",0.837440704215481,-0.290858024658338,"Lcorl","5","ligand dependent nuclear receptor corepressor-like","red"
"ENSMUSG00000017412",0.826960567536194,-0.306179290623637,"Cacnb4","2","calcium channel, voltage-dependent, beta 4 subunit","red"
"ENSMUSG00000020173",0.913827389983534,-0.427738004524283,"Cobl","11","cordon-bleu WH2 repeat","red"
"ENSMUSG00000021217",0.908296148893215,-0.360793074997846,"Tshz3","7","teashirt zinc finger family member 3","red"
"ENSMUSG00000021301",0.891542868543967,-0.434783280985296,"Hecw1","13","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","red"
"ENSMUSG00000022377",0.836140973776746,-0.37229495954574,"Asap1","15","ArfGAP with SH3 domain, ankyrin repeat and PH domain1","red"
"ENSMUSG00000023192",0.801066405533442,-0.261119830016486,"Grm2","9","glutamate receptor, metabotropic 2","red"
"ENSMUSG00000024256",0.830844090979441,-0.472036405051704,"Adcyap1","17","adenylate cyclase activating polypeptide 1","red"
"ENSMUSG00000024261",0.873368728903131,-0.40545379567231,"Syt4","18","synaptotagmin IV","red"
"ENSMUSG00000024517",0.828586174889793,-0.239860146101892,"Grp","18","gastrin releasing peptide","red"
"ENSMUSG00000025986",0.860612545063566,-0.392395932371495,"Slc39a10","1","solute carrier family 39 (zinc transporter), member 10","red"
"ENSMUSG00000026463",0.849332002732164,-0.329479658110851,"Atp2b4","1","ATPase, Ca++ transporting, plasma membrane 4","red"
"ENSMUSG00000026883",0.845249186325925,-0.277484151217875,"Dab2ip","2","disabled 2 interacting protein","red"
"ENSMUSG00000027188",0.810832940358374,-0.337155580975019,"Pamr1","2","peptidase domain containing associated with muscle regeneration 1","red"
"ENSMUSG00000028266",0.862256730233476,-0.534683070348079,"Lmo4","3","LIM domain only 4","red"
"ENSMUSG00000029780",0.831383447618859,-0.368145197142442,"Nt5c3","6","5'-nucleotidase, cytosolic III","red"
"ENSMUSG00000030067",0.912242349513934,-0.322268302888518,"Foxp1","6","forkhead box P1","red"
"ENSMUSG00000030616",0.81560327530894,-0.395490627926783,"Sytl2","7","synaptotagmin-like 2","red"
"ENSMUSG00000030772",0.88337752632742,-0.338491615223778,"Dkk3","7","dickkopf WNT signaling pathway inhibitor 3","red"
"ENSMUSG00000030792",0.819614637105669,-0.559475439129502,"Dkkl1","7","dickkopf-like 1","red"
"ENSMUSG00000030898",0.859428848704642,-0.518820872260017,"Cckbr","7","cholecystokinin B receptor","red"
"ENSMUSG00000032890",0.922411866513101,-0.323092610703747,"Rims3","4","regulating synaptic membrane exocytosis 3","red"
"ENSMUSG00000034810",0.844873798602912,-0.385129834232162,"Scn7a","2","sodium channel, voltage-gated, type VII, alpha","red"
"ENSMUSG00000036856",0.828159722124452,-0.412492459172394,"Wnt4","4","wingless-type MMTV integration site family, member 4","red"
"ENSMUSG00000038026",0.835111070717469,-0.2898752541046,"Kcnj9","1","potassium inwardly-rectifying channel, subfamily J, member 9","red"
"ENSMUSG00000038065",0.846675900785613,-0.32445551584156,"Mturn","6","maturin, neural progenitor differentiation regulator homolog (Xenopus)","red"
"ENSMUSG00000038331",0.847268708821854,-0.273056517155391,"Satb2","1","special AT-rich sequence binding protein 2","red"
"ENSMUSG00000038530",0.860508943667706,-0.454102432038399,"Rgs4","1","regulator of G-protein signaling 4","red"
"ENSMUSG00000038807",0.868486143238982,-0.410660670800274,"Rap1gap2","11","RAP1 GTPase activating protein 2","red"
"ENSMUSG00000039913",0.874948098197806,-0.376144350720266,"Pak5","2","p21 (RAC1) activated kinase 5","red"
"ENSMUSG00000040536",0.936068710214429,-0.311447677984459,"Necab1","4","N-terminal EF-hand calcium binding protein 1","red"
"ENSMUSG00000040785",0.803594656601268,-0.26911388030622,"Ttc3","16","tetratricopeptide repeat domain 3","red"
"ENSMUSG00000041889",0.833029579057494,-0.303916579152865,"Shisa4","1","shisa family member 4","red"
