"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000008489",0.807709719210187,0.131599544689427,"Elavl2","4","ELAV like RNA binding protein 1","royalblue"
"ENSMUSG00000023927",0.846586067537536,0.0434787390720518,"Satb1","17","special AT-rich sequence binding protein 1","royalblue"
"ENSMUSG00000034593",0.817850246561233,0.187565895928492,"Myo5a","9","myosin VA","royalblue"
"ENSMUSG00000034636",0.824451811603746,0.292899801520638,"Zyg11b","4","zyg-ll family member B, cell cycle regulator","royalblue"
"ENSMUSG00000036452",0.80255612206584,0.0745663089765811,"Arhgap26","18","Rho GTPase activating protein 26","royalblue"
"ENSMUSG00000038473",0.844500034918247,0.178045332369538,"Nos1ap","1","nitric oxide synthase 1 (neuronal) adaptor protein","royalblue"
"ENSMUSG00000041439",0.842842956107065,0.340380938509055,"Mfsd6","1","major facilitator superfamily domain containing 6","royalblue"
"ENSMUSG00000041836",0.826127155645777,0.328190991928199,"Ptpre","7","protein tyrosine phosphatase, receptor type, E","royalblue"
"ENSMUSG00000021123",0.814158276234121,-0.00582895601018641,"Rdh12","12","retinol dehydrogenase 12","lightgreen"
"ENSMUSG00000027810",0.821008333776199,-0.130916949205632,"Eif2a","3","eukaryotic translation initiation factor 2A","lightgreen"
"ENSMUSG00000049758",0.809218225610303,-0.0207058796142404,"Olfr1318","2","olfactory receptor 1318","lightgreen"
"ENSMUSG00000057440",0.85435563053207,-0.149359386932015,"Mpp7","18","membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)","lightgreen"
"ENSMUSG00000090799",0.936809927389044,-0.0387384678243716,"Klhl33","14","kelch-like 33","lightgreen"
"ENSMUSG00000094588",0.808371500506497,-0.0875815998306628,"Olfr898","9","olfactory receptor 898","lightgreen"
"ENSMUSG00000094672",0.846275740633387,-0.0997487527597826,"Vmn2r25","6","vomeronasal 2, receptor 25","lightgreen"
"ENSMUSG00000115744",0.908089695552004,-0.0945872077370555,"Vmn1r80","7","vomeronasal 1 receptor 80","lightgreen"
"ENSMUSG00000000600",0.881528275781975,-0.0195142519007678,"Krit1","5","KRIT1, ankyrin repeat containing","midnightblue"
"ENSMUSG00000024290",0.89176306969375,0.007776412125964,"Rock1","18","Rho-associated coiled-coil containing protein kinase 1","midnightblue"
"ENSMUSG00000025326",0.873238852291168,0.143812439750634,"Ube3a","7","ubiquitin protein ligase E3A","midnightblue"
"ENSMUSG00000029253",0.819797626291061,-0.0553170775649171,"Cenpc1","5","centromere protein C1","midnightblue"
"ENSMUSG00000037112",0.942682426137003,-0.0556155072492036,"Sik2","9","salt inducible kinase 2","midnightblue"
"ENSMUSG00000038879",0.93557665566421,-0.0547512971272985,"Nipal2","15","NIPA-like domain containing 2","midnightblue"
"ENSMUSG00000039531",0.915694052739395,-0.0594071359430898,"Zup1","10","zinc finger containing ubiquitin peptidase 1","midnightblue"
"ENSMUSG00000081945",0.911684871337349,-0.0144891603857891,"Olfr607","7","olfactory receptor 607","midnightblue"
"ENSMUSG00000101578",0.804557559934642,-0.046803772572093,"Vmn1r206","13","vomeronasal 1 receptor 206","midnightblue"
"ENSMUSG00000106529",0.842770260909633,0.0378996949583625,"Gm18451","5","predicted gene, 18451","midnightblue"
"ENSMUSG00000111696",0.853295876710335,-0.0821957091528215,"Gm47932","9","predicted gene, 47932","midnightblue"
"ENSMUSG00000000167",0.888116947110851,-0.0233094975871421,"Pih1d2","9","PIH1 domain containing 2","blue"
"ENSMUSG00000000276",0.914976688203321,0.0308690691879525,"Dgke","11","diacylglycerol kinase, epsilon","blue"
"ENSMUSG00000000320",0.848604651924892,0.0138102583659173,"Alox12","11","arachidonate 12-lipoxygenase","blue"
"ENSMUSG00000000562",0.806770480875417,0.110047918443083,"Adora3","3","adenosine A3 receptor","blue"
"ENSMUSG00000000739",0.866439866537178,0.00749538881713886,"Sult5a1","8","sulfotransferase family 5A, member 1","blue"
"ENSMUSG00000000861",0.836414588835493,-0.0106142424526007,"Bcl11a","11","B cell CLL/lymphoma 11A (zinc finger protein)","blue"
"ENSMUSG00000000915",0.878760473275795,0.0246509206349244,"Hip1r","5","huntingtin interacting protein 1 related","blue"
"ENSMUSG00000000948",0.951007105447692,0.0841591838610495,"Gm38393","7","predicted gene, 38393","blue"
"ENSMUSG00000000957",0.8138433359716,-0.0245924924854098,"Mmp14","14","matrix metallopeptidase 14 (membrane-inserted)","blue"
"ENSMUSG00000001376",0.881468492474091,-0.115283341054023,"Vps50","6","VPS50 EARP/GARPII complex subunit","blue"
"ENSMUSG00000001521",0.939705598652038,0.0866667740430276,"Tulp3","6","tubby-like protein 3","blue"
"ENSMUSG00000001569",0.914145113202967,-0.107887260007033,"Nom1","5","nucleolar protein with MIF4G domain 1","blue"
"ENSMUSG00000001622",0.826764546861956,-0.0414914899432543,"Csn3","5","casein kappa","blue"
"ENSMUSG00000001998",0.924610321490958,-0.0472273542184496,"Ap4e1","2","adaptor-related protein complex AP-4, epsilon 1","blue"
"ENSMUSG00000002221",0.832359152100952,-0.0526243963727929,"Paxip1","5","PAX interacting (with transcription-activation domain) protein 1","blue"
"ENSMUSG00000002413",0.913025081111078,-0.0229474860860796,"Braf","6","Braf transforming gene","blue"
"ENSMUSG00000002428",0.835199844697165,-0.129081048601647,"Hltf","3","helicase-like transcription factor","blue"
"ENSMUSG00000002603",0.959405407790065,-0.0573845086916952,"Tgfb1","7","transforming growth factor, beta 1","blue"
"ENSMUSG00000002781",0.851575621144372,0.083854227543679,"Tmem143","7","transmembrane protein 143","blue"
"ENSMUSG00000002833",0.872498479364052,0.0265834366434678,"Hdgfl2","17","HDGF like 2","blue"
"ENSMUSG00000002968",0.814229227974076,0.0638627448631835,"Med25","7","mediator complex subunit 25","blue"
"ENSMUSG00000003119",0.929312692838171,-0.00970850170009066,"Cdk12","11","cyclin-dependent kinase 12","blue"
"ENSMUSG00000003273",0.809366695422635,-0.00136758350792822,"Car11","7","carbonic anhydrase 11","blue"
"ENSMUSG00000003355",0.843238026204038,0.0859082684885856,"Fkbp11","15","FK506 binding protein 11","blue"
"ENSMUSG00000003452",0.891335875698617,0.116040355645294,"Bicd1","6","BICD cargo adaptor 1","blue"
"ENSMUSG00000003752",0.922135075907693,-0.0517373882452117,"Itpkc","7","inositol 1,4,5-trisphosphate 3-kinase C","blue"
"ENSMUSG00000003847",0.881854226594349,-0.00735227307228817,"Nfat5","8","nuclear factor of activated T cells 5","blue"
"ENSMUSG00000003949",0.815582823902292,-0.116306125118686,"Hlf","11","hepatic leukemia factor","blue"
"ENSMUSG00000004561",0.839886799065839,-0.0759623650955079,"Mettl17","14","methyltransferase like 17","blue"
"ENSMUSG00000004591",0.887347244979658,-0.0637486793903834,"Pkn2","3","protein kinase N2","blue"
"ENSMUSG00000004642",0.853027112658055,-0.0230061884440481,"Slbp","5","stem-loop binding protein","blue"
"ENSMUSG00000004651",0.801567918157593,-0.0380037413966897,"Tyr","7","tyrosinase","blue"
"ENSMUSG00000004846",0.894665956352918,0.0163477486385081,"Plod3","5","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3","blue"
"ENSMUSG00000004996",0.843126843095153,-0.0309016468502382,"Mri1","8","methylthioribose-1-phosphate isomerase 1","blue"
"ENSMUSG00000005267",0.92568645948022,0.0423163831292706,"Zfp287","11","zinc finger protein 287","blue"
"ENSMUSG00000005469",0.80178137139331,0.00310303822191095,"Prkaca","8","protein kinase, cAMP dependent, catalytic, alpha","blue"
"ENSMUSG00000005493",0.818677054874377,0.0800388410505579,"Msh4","3","mutS homolog 4","blue"
"ENSMUSG00000005514",0.822071242901111,0.0629330246226908,"Por","5","cytochrome p450 oxidoreductase","blue"
"ENSMUSG00000005533",0.847348317600568,0.0171507184839634,"Igf1r","7","insulin-like growth factor I receptor","blue"
"ENSMUSG00000005580",0.808241315349792,0.229836359709118,"Adcy9","16","adenylate cyclase 9","blue"
