"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000002010",0.830873633365118,0.390575163105405,"Idh3g","X","isocitrate dehydrogenase 3 (NAD+), gamma","grey60"
"ENSMUSG00000003072",0.840049847014676,0.474434016525485,"Atp5d","10","ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","grey60"
"ENSMUSG00000003131",0.853362231697011,0.529436338216249,"Pafah1b2","9","platelet-activating factor acetylhydrolase, isoform 1b, subunit 2","grey60"
"ENSMUSG00000007944",0.838726157895266,0.346732032381153,"Ttc9b","7","tetratricopeptide repeat domain 9B","grey60"
"ENSMUSG00000008892",0.861964259065049,0.316201839084339,"Vdac3","8","voltage-dependent anion channel 3","grey60"
"ENSMUSG00000019194",0.907239610515399,0.335510321215717,"Scn1b","7","sodium channel, voltage-gated, type I, beta","grey60"
"ENSMUSG00000019210",0.865406093981734,0.376600020903671,"Atp6v1e1","6","ATPase, H+ transporting, lysosomal V1 subunit E1","grey60"
"ENSMUSG00000019494",0.807333151646386,0.229630011789299,"Cops6","5","COP9 signalosome subunit 6","grey60"
"ENSMUSG00000021486",0.810769771171403,0.419491526799348,"Prelid1","13","PRELI domain containing 1","grey60"
"ENSMUSG00000022174",0.881220059040957,0.338210549439824,"Dad1","14","defender against cell death 1","grey60"
"ENSMUSG00000024962",0.853346190596239,0.504658108299654,"Vegfb","19","vascular endothelial growth factor B","grey60"
"ENSMUSG00000025868",0.857843421307549,0.379083125030188,"Higd2a","13","HIG1 domain family, member 2A","grey60"
"ENSMUSG00000029462",0.822940184774343,0.537975176715004,"Vps29","5","VPS29 retromer complex component","grey60"
"ENSMUSG00000029623",0.813135259354612,0.326450929473502,"Pdap1","5","PDGFA associated protein 1","grey60"
"ENSMUSG00000031708",0.855905647224919,0.232362572739211,"Tecr","8","trans-2,3-enoyl-CoA reductase","grey60"
"ENSMUSG00000032171",0.85973952633966,0.458946141601833,"Pin1","9","protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1","grey60"
"ENSMUSG00000035885",0.91308131507365,0.33796627122616,"Cox8a","19","cytochrome c oxidase subunit 8A","grey60"
"ENSMUSG00000036438",0.881982009715661,0.33440824790447,"Calm2","17","calmodulin 2","grey60"
"ENSMUSG00000037601",0.806676721751935,0.410033517405353,"Nme1","11","NME/NM23 nucleoside diphosphate kinase 1","grey60"
"ENSMUSG00000038055",0.815990496947063,0.275281426895544,"Dexi","16","dexamethasone-induced transcript","grey60"
"ENSMUSG00000049422",0.867205439404024,0.421660806789559,"Chchd10","10","coiled-coil-helix-coiled-coil-helix domain containing 10","grey60"
"ENSMUSG00000063253",0.859618455241732,0.481195883003656,"Scoc","8","short coiled-coil protein","grey60"
"ENSMUSG00000067736",0.882708634134187,0.564262331834106,"Gm10222","1","predicted gene 10222","grey60"
"ENSMUSG00000082884",0.863508980869987,0.458883013189699,"Gm13339","2","predicted gene 13339","grey60"
"ENSMUSG00000083076",0.893767857784304,0.53872301140836,"Gm11408","4","predicted gene 11408","grey60"
"ENSMUSG00000083219",0.928486149496491,0.421583859871243,"Gm11410","4","predicted gene 11410","grey60"
"ENSMUSG00000096449",0.869278041886984,0.533674329500184,"Gm4076","13","predicted gene 4076","grey60"
"ENSMUSG00000099383",0.859162195716169,0.520494192304874,"Gm28925","1","predicted gene 28925","grey60"
"ENSMUSG00000100131",0.838999575613548,0.578765265675589,"Gm28439","1","predicted gene 28439","grey60"
"ENSMUSG00000100862",0.861746012803993,0.343231977854828,"Gm10925","1","predicted gene 10925","grey60"
"ENSMUSG00000101111",0.885002503348702,0.395836120965902,"Gm28437","1","predicted gene 28437","grey60"
"ENSMUSG00000101939",0.891544820728506,0.438565652608425,"Gm28438","1","predicted gene 28438","grey60"
"ENSMUSG00000102070",0.822012186822833,0.336389632608036,"Gm28661","1","predicted gene 28661","grey60"
"ENSMUSG00000113902",0.856911542570148,0.325214528955279,"Ndufb1","12","NADH:ubiquinone oxidoreductase subunit B1","grey60"
"ENSMUSG00000015944",0.80046830154576,-0.481022263203945,"Castor2","5","cytosolic arginine sensor for mTORC1 subunit 2","magenta"
"ENSMUSG00000022822",0.841342161921233,-0.217319720669182,"Abcc5","16","ATP-binding cassette, sub-family C (CFTR/MRP), member 5","magenta"
"ENSMUSG00000029869",0.939718546368606,-0.215332822749114,"Ephb6","6","Eph receptor B6","magenta"
"ENSMUSG00000041552",0.804721165696122,-0.301356141566132,"Ptchd1","X","patched domain containing 1","magenta"
"ENSMUSG00000041757",0.812632033833652,-0.327261095236073,"Plekha6","1","pleckstrin homology domain containing, family A member 6","magenta"
"ENSMUSG00000061887",0.862554103899367,-0.25268482366211,"Ssbp3","4","single-stranded DNA binding protein 3","magenta"
"ENSMUSG00000066705",0.81645784232105,-0.249663399359898,"Fxyd6","9","FXYD domain-containing ion transport regulator 6","magenta"
"ENSMUSG00000002028",0.95908263577087,-0.23727526644145,"Kmt2a","9","lysine (K)-specific methyltransferase 2A","purple"
"ENSMUSG00000016763",0.819449922506518,-0.404490720464952,"Scube1","15","signal peptide, CUB domain, EGF-like 1","purple"
"ENSMUSG00000021338",0.827669493255769,-0.338740247945171,"Carmil1","13","capping protein regulator and myosin 1 linker 1","purple"
"ENSMUSG00000022791",0.831156419545807,-0.334953860707049,"Tnk2","16","tyrosine kinase, non-receptor, 2","purple"
"ENSMUSG00000028053",0.825293643225266,-0.287686826620431,"Ash1l","3","ASH1 like histone lysine methyltransferase","purple"
"ENSMUSG00000030067",0.88181838827879,-0.24899707497191,"Foxp1","6","forkhead box P1","purple"
"ENSMUSG00000034731",0.800829564361662,-0.322041456130038,"Dgkh","14","diacylglycerol kinase, eta","purple"
"ENSMUSG00000040209",0.80447844099647,-0.473447642338557,"Zfp704","3","zinc finger protein 704","purple"
"ENSMUSG00000040265",0.849628144309003,-0.304719271674586,"Dnm3","1","dynamin 3","purple"
"ENSMUSG00000040543",0.833197099321644,-0.214905502349973,"Pitpnm3","11","PITPNM family member 3","purple"
"ENSMUSG00000052613",0.863833423486445,-0.29215674758197,"Pcdh15","10","protocadherin 15","purple"
"ENSMUSG00000061601",0.821517385870425,-0.265051437619102,"Pclo","5","piccolo (presynaptic cytomatrix protein)","purple"
"ENSMUSG00000062991",0.83585929864324,-0.271556645383359,"Nrg1","8","neuregulin 1","purple"
"ENSMUSG00000068036",0.93482791772347,-0.353561509096023,"Afdn","17","afadin, adherens junction formation factor","purple"
