"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000018565",0.832401652656717,0.23959644654507,"Elp5","11","elongator acetyltransferase complex subunit 5","red"
"ENSMUSG00000022044",0.843663917426926,-0.268630227755561,"Stmn4","14","stathmin-like 4","red"
"ENSMUSG00000025290",0.830543552271757,0.309935040548133,"Rps24","14","ribosomal protein S24","red"
"ENSMUSG00000028445",0.817524552282664,0.203923853141655,"Enho","4","energy homeostasis associated","red"
"ENSMUSG00000063576",0.840326691463518,-0.25998039066951,"Klhdc3","17","kelch domain containing 3","red"
"ENSMUSG00000070697",0.834179625099793,0.233194923260578,"Utp3","5","UTP3 small subunit processome component","red"
"ENSMUSG00000078572",0.862043739733479,-0.311922811835612,"Ndufaf8","11","NADH:ubiquinone oxidoreductase complex assembly factor 8","red"
"ENSMUSG00000018459",0.818241438080858,0.713407971791417,"Slc13a3","2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3","cyan"
"ENSMUSG00000021390",0.845705529582707,0.602544193700959,"Ogn","13","osteoglycin","cyan"
"ENSMUSG00000024650",0.821146320508102,0.568204607283896,"Slc22a6","19","solute carrier family 22 (organic anion transporter), member 6","cyan"
"ENSMUSG00000041559",0.875547525042502,0.658259066459544,"Fmod","1","fibromodulin","cyan"
"ENSMUSG00000001300",0.821168393895853,-0.299813494317617,"Efnb2","8","ephrin B2","royalblue"
"ENSMUSG00000004383",0.801145322450029,-0.272915640895709,"Large1","8","LARGE xylosyl- and glucuronyltransferase 1","royalblue"
"ENSMUSG00000007617",0.872408550429072,-0.2905120225769,"Homer1","13","homer scaffolding protein 1","royalblue"
"ENSMUSG00000015501",0.876436095090322,-0.353278172707908,"Hivep2","10","human immunodeficiency virus type I enhancer binding protein 2","royalblue"
"ENSMUSG00000019790",0.848140868811667,-0.218246254765825,"Stxbp5","10","syntaxin binding protein 5 (tomosyn)","royalblue"
"ENSMUSG00000024539",0.89674302055869,-0.377984528074392,"Ptpn2","18","protein tyrosine phosphatase, non-receptor type 2","royalblue"
"ENSMUSG00000030729",0.895458039551095,-0.302963315651316,"Pgm2l1","7","phosphoglucomutase 2-like 1","royalblue"
"ENSMUSG00000034164",0.871447159108398,-0.292122661831975,"Emid1","11","EMI domain containing 1","royalblue"
"ENSMUSG00000039579",0.846496822211885,-0.294151855038565,"Grin3a","4","glutamate receptor ionotropic, NMDA3A","royalblue"
"ENSMUSG00000052384",0.844735717137793,-0.48375671769719,"Nrros","16","negative regulator of reactive oxygen species","royalblue"
"ENSMUSG00000074305",0.83717385122014,-0.245907282888433,"Peak1","9","pseudopodium-enriched atypical kinase 1","royalblue"
"ENSMUSG00000078816",0.851768669574028,-0.243366272155188,"Prkcg","7","protein kinase C, gamma","royalblue"
