"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000000247",0.880696942955915,-0.605828287721657,"Lhx2","2","LIM homeobox protein 2","red"
"ENSMUSG00000000632",0.919338493159283,-0.651320619973416,"Sez6","11","seizure related gene 6","red"
"ENSMUSG00000001763",0.829159892159227,-0.485448991518296,"Tspan33","6","tetraspanin 33","red"
"ENSMUSG00000001911",0.90733823270686,-0.569704009204462,"Nfix","8","nuclear factor I/X","red"
"ENSMUSG00000003949",0.90050353804394,-0.608252766254858,"Hlf","11","hepatic leukemia factor","red"
"ENSMUSG00000004843",0.858987831940757,-0.35927148817464,"Chmp2b","16","charged multivesicular body protein 2B","red"
"ENSMUSG00000005533",0.848743261830732,-0.598432971404157,"Igf1r","7","insulin-like growth factor I receptor","red"
"ENSMUSG00000006476",0.940617527143392,-0.624424531030993,"Nsmf","2","NMDA receptor synaptonuclear signaling and neuronal migration factor","red"
"ENSMUSG00000008475",0.906285706043468,-0.478329289322862,"Arpc5","1","actin related protein 2/3 complex, subunit 5","red"
"ENSMUSG00000008575",0.928300071712347,-0.616858654980565,"Nfib","4","nuclear factor I/B","red"
"ENSMUSG00000015568",0.906929227716433,-0.62453000585336,"Lpl","8","lipoprotein lipase","red"
"ENSMUSG00000018334",0.834276526271999,-0.480912402652906,"Ksr1","11","kinase suppressor of ras 1","red"
"ENSMUSG00000019726",0.897640802162962,-0.532401565421185,"Lyst","13","lysosomal trafficking regulator","red"
"ENSMUSG00000019966",0.915377378129194,-0.644330118728988,"Kitl","10","kit ligand","red"
"ENSMUSG00000020027",0.864650410701698,-0.638688572969065,"Socs2","10","suppressor of cytokine signaling 2","red"
"ENSMUSG00000020061",0.930419802376702,-0.662563976765797,"Mybpc1","10","myosin binding protein C, slow-type","red"
"ENSMUSG00000020134",0.825709936478687,-0.587068868029336,"Peli1","11","pellino 1","red"
"ENSMUSG00000020431",0.926281602098633,-0.706928193427008,"Adcy1","11","adenylate cyclase 1","red"
"ENSMUSG00000021136",0.837835850423013,-0.434019307206076,"Smoc1","12","SPARC related  modular calcium binding 1","red"
"ENSMUSG00000021313",0.839139877414352,-0.558811070815629,"Ryr2","13","ryanodine receptor 2, cardiac","red"
"ENSMUSG00000021385",0.853305737956235,-0.582337789654502,"Ippk","13","inositol 1,3,4,5,6-pentakisphosphate 2-kinase","red"
"ENSMUSG00000021752",0.815259791040391,-0.595909359188834,"Kctd6","14","potassium channel tetramerisation domain containing 6","red"
"ENSMUSG00000021779",0.911007920285957,-0.536784878043488,"Thrb","14","thyroid hormone receptor beta","red"
"ENSMUSG00000022306",0.82030439094844,-0.549219972051093,"Zfpm2","15","zinc finger protein, multitype 2","red"
"ENSMUSG00000022708",0.912883652966741,-0.527402180548821,"Zbtb20","16","zinc finger and BTB domain containing 20","red"
"ENSMUSG00000022861",0.922086339184319,-0.590340370049758,"Dgkg","16","diacylglycerol kinase, gamma","red"
"ENSMUSG00000023019",0.835776158178139,-0.581231299648028,"Gpd1","15","glycerol-3-phosphate dehydrogenase 1 (soluble)","red"
"ENSMUSG00000024883",0.802140393975158,-0.705869340237353,"Rin1","19","Ras and Rab interactor 1","red"
"ENSMUSG00000025582",0.911899435904863,-0.566905761343697,"Nptx1","11","neuronal pentraxin 1","red"
"ENSMUSG00000025790",0.836038229158561,-0.560642815663399,"Slco3a1","7","solute carrier organic anion transporter family, member 3a1","red"
"ENSMUSG00000025867",0.832573485357141,-0.576824441830417,"Cplx2","13","complexin 2","red"
"ENSMUSG00000026826",0.857969655438227,-0.849485377309576,"Nr4a2","2","nuclear receptor subfamily 4, group A, member 2","red"
"ENSMUSG00000027296",0.887209082969382,-0.678177898621487,"Itpka","2","inositol 1,4,5-trisphosphate 3-kinase A","red"
"ENSMUSG00000027895",0.945426500814098,-0.60822383917115,"Kcnc4","3","potassium voltage gated channel, Shaw-related subfamily, member 4","red"
"ENSMUSG00000028967",0.847368922550707,-0.58949396109046,"Errfi1","4","ERBB receptor feedback inhibitor 1","red"
"ENSMUSG00000029050",0.810086560220161,-0.59402095620415,"Ski","4","ski sarcoma viral oncogene homolog (avian)","red"
"ENSMUSG00000029359",0.817835227277958,-0.665157600905717,"Tesc","5","tescalcin","red"
"ENSMUSG00000029392",0.909705143826127,-0.701966951261023,"Rilpl1","5","Rab interacting lysosomal protein-like 1","red"
"ENSMUSG00000029406",0.906898621935249,-0.675386839746984,"Pitpnm2","5","phosphatidylinositol transfer protein, membrane-associated 2","red"
"ENSMUSG00000029673",0.903115212473447,-0.543843539194757,"Auts2","5","autism susceptibility candidate 2","red"
"ENSMUSG00000029772",0.84196490833019,-0.467530287298398,"Ahcyl2","6","S-adenosylhomocysteine hydrolase-like 2","red"
"ENSMUSG00000030209",0.851300553430315,-0.515818776315893,"Grin2b","6","glutamate receptor, ionotropic, NMDA2B (epsilon 2)","red"
"ENSMUSG00000030465",0.880775858957725,-0.46501033079768,"Psd3","8","pleckstrin and Sec7 domain containing 3","red"
"ENSMUSG00000030707",0.833263065662208,-0.704944138367293,"Coro1a","7","coronin, actin binding protein 1A","red"
"ENSMUSG00000030905",0.852569613845357,-0.589578094726013,"Crym","7","crystallin, mu","red"
"ENSMUSG00000031988",0.80548972195786,-0.68313176006538,"Vps26b","9","VPS26 retromer complex component B","red"
"ENSMUSG00000032012",0.839761570362752,-0.509436592376372,"Nectin1","9","nectin cell adhesion molecule 1","red"
"ENSMUSG00000032373",0.847853298007735,-0.536733428567651,"Car12","9","carbonic anhydrase 12","red"
"ENSMUSG00000032384",0.800406374742512,-0.532264819613596,"Csnk1g1","9","casein kinase 1, gamma 1","red"
"ENSMUSG00000032966",0.888868875563525,-0.648695023107557,"Fkbp1a","2","FK506 binding protein 1a","red"
"ENSMUSG00000033066",0.816006153271976,-0.5630321089041,"Gas7","11","growth arrest specific 7","red"
"ENSMUSG00000033377",0.849405804093096,-0.700721255427463,"Palmd","3","palmdelphin","red"
"ENSMUSG00000033594",0.83107987003563,-0.772561796188257,"Spata2l","8","spermatogenesis associated 2-like","red"
"ENSMUSG00000033717",0.829288578726988,-0.359525299631947,"Adra2a","19","adrenergic receptor, alpha 2a","red"
"ENSMUSG00000033730",0.800465443201511,-0.669274501730613,"Egr3","14","early growth response 3","red"
"ENSMUSG00000035168",0.852445261684744,-0.491311841044834,"Tanc1","2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","red"
"ENSMUSG00000035566",0.924411616091903,-0.620836795362821,"Pcdh17","14","protocadherin 17","red"
"ENSMUSG00000036356",0.867486716512637,-0.516783858994295,"Csgalnact1","8","chondroitin sulfate N-acetylgalactosaminyltransferase 1","red"
"ENSMUSG00000039458",0.817567790637988,-0.65901911072449,"Mtmr12","15","myotubularin related protein 12","red"
"ENSMUSG00000039634",0.860970719061134,-0.610696874348184,"Zfp189","4","zinc finger protein 189","red"
"ENSMUSG00000040164",0.831075654927419,-0.538608975629974,"Kcns1","2","K+ voltage-gated channel, subfamily S, 1","red"
"ENSMUSG00000040640",0.97165389501753,-0.658197151559474,"Erc2","14","ELKS/RAB6-interacting/CAST family member 2","red"
"ENSMUSG00000042599",0.897022026152338,-0.70723624937613,"Kdm7a","6","lysine (K)-specific demethylase 7A","red"
"ENSMUSG00000044167",0.825066134899521,-0.391763070802445,"Foxo1","3","forkhead box O1","red"
"ENSMUSG00000044352",0.851307784637912,-0.577085675132203,"Sowaha","11","sosondowah ankyrin repeat domain family member A","red"
"ENSMUSG00000044707",0.906306067737199,-0.583484512305344,"Ccnjl","11","cyclin J-like","red"
"ENSMUSG00000045733",0.911666583522773,-0.619889565556533,"Sprn","7","shadow of prion protein","red"
"ENSMUSG00000045969",0.825408040980676,-0.44076394486853,"Ing1","8","inhibitor of growth family, member 1","red"
"ENSMUSG00000047446",0.848340076955561,-0.526512076235278,"Arl4a","12","ADP-ribosylation factor-like 4A","red"
"ENSMUSG00000047714",0.804562288238964,-0.652508919804193,"Ppp1r2","16","protein phosphatase 1, regulatory inhibitor subunit 2","red"
"ENSMUSG00000048490",0.821669978454172,-0.436216672178844,"Nrip1","16","nuclear receptor interacting protein 1","red"
"ENSMUSG00000049076",0.83787457300094,-0.630261768847199,"Acap2","16","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","red"
