"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000001995",0.800691116248628,0.212580166390017,"Sipa1l2","8","signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]","red"
"ENSMUSG00000003657",0.877830704462711,0.388314402421974,"Calb2","8","calbindin 2 [Source:MGI Symbol;Acc:MGI:101914]","red"
"ENSMUSG00000008206",0.942260523509779,0.336443206730176,"Cers4","8","ceramide synthase 4 [Source:MGI Symbol;Acc:MGI:1914510]","red"
"ENSMUSG00000020176",0.801311149631004,0.264743648203818,"Grb10","11","growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]","red"
"ENSMUSG00000020863",0.824038874553136,0.386904098821102,"Luc7l3","11","LUC7-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914934]","red"
"ENSMUSG00000020926",0.837334801884127,0.229064424995304,"Adam11","11","a disintegrin and metallopeptidase domain 11 [Source:MGI Symbol;Acc:MGI:1098667]","red"
"ENSMUSG00000020978",0.87011700156611,0.368508411625685,"Klhdc2","12","kelch domain containing 2 [Source:MGI Symbol;Acc:MGI:1916804]","red"
"ENSMUSG00000021303",0.933220125475337,0.249959799396081,"Gng4","13","guanine nucleotide binding protein (G protein), gamma 4 [Source:MGI Symbol;Acc:MGI:102703]","red"
"ENSMUSG00000021534",0.804951764791482,0.222761266707301,"1700001L19Rik","13","RIKEN cDNA 1700001L19 gene [Source:MGI Symbol;Acc:MGI:1916565]","red"
"ENSMUSG00000024304",0.839630847161906,0.276381847908073,"Cdh2","18","cadherin 2 [Source:MGI Symbol;Acc:MGI:88355]","red"
"ENSMUSG00000027091",0.800479869800029,0.376388840175007,"Zc3h15","2","zinc finger CCCH-type containing 15 [Source:MGI Symbol;Acc:MGI:1919747]","red"
"ENSMUSG00000027584",0.907212437262559,0.278850008329573,"Oprl1","2","opioid receptor-like 1 [Source:MGI Symbol;Acc:MGI:97440]","red"
"ENSMUSG00000028871",0.853451310479017,0.231374069954734,"Rspo1","4","R-spondin 1 [Source:MGI Symbol;Acc:MGI:2183426]","red"
"ENSMUSG00000030084",0.842944916068518,0.231905083131058,"Plxna1","6","plexin A1 [Source:MGI Symbol;Acc:MGI:107685]","red"
"ENSMUSG00000030500",0.961514966233806,0.397866241348901,"Slc17a6","7","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6 [Source:MGI Symbol;Acc:MGI:2156052]","red"
"ENSMUSG00000031066",0.870180176787587,0.488324125482041,"Usp11","X","ubiquitin specific peptidase 11 [Source:MGI Symbol;Acc:MGI:2384312]","red"
"ENSMUSG00000031314",0.87980012288412,0.336392269296836,"Taf1","X","TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:1336878]","red"
"ENSMUSG00000031428",0.893456983836435,0.281004267419405,"Zcchc18","X","zinc finger, CCHC domain containing 18 [Source:MGI Symbol;Acc:MGI:1914245]","red"
"ENSMUSG00000032511",0.852513288308922,0.326943920252503,"Scn5a","9","sodium channel, voltage-gated, type V, alpha [Source:MGI Symbol;Acc:MGI:98251]","red"
"ENSMUSG00000032735",0.880988007025325,0.382954609301525,"Ablim3","18","actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]","red"
"ENSMUSG00000033061",0.932368194378624,0.423360938123258,"Resp18","1","regulated endocrine-specific protein 18 [Source:MGI Symbol;Acc:MGI:1098222]","red"
"ENSMUSG00000033352",0.872670817028472,0.213148170381196,"Map2k4","11","mitogen-activated protein kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1346869]","red"
"ENSMUSG00000033361",0.88606794363217,0.234530302203167,"Prrg3","X","proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) [Source:MGI Symbol;Acc:MGI:2685214]","red"
"ENSMUSG00000033585",0.836083819225021,0.419065718185612,"Ndn","7","necdin [Source:MGI Symbol;Acc:MGI:97290]","red"
"ENSMUSG00000034403",0.904410832753181,0.284500961349131,"Pja1","X","praja ring finger ubiquitin ligase 1 [Source:MGI Symbol;Acc:MGI:1101765]","red"
"ENSMUSG00000034723",0.865033411161066,0.554409900675665,"Tmx4","2","thioredoxin-related transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:106558]","red"
"ENSMUSG00000036760",0.848545407451655,0.203347878206697,"Kcnk9","15","potassium channel, subfamily K, member 9 [Source:MGI Symbol;Acc:MGI:3521816]","red"
"ENSMUSG00000038116",0.839564962162633,0.304816395274348,"Phf20","2","PHD finger protein 20 [Source:MGI Symbol;Acc:MGI:2444148]","red"
"ENSMUSG00000039089",0.851354208038134,0.340656225988556,"L3mbtl3","10","l(3)mbt-like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2143628]","red"
"ENSMUSG00000039697",0.813571475502324,0.216935026279066,"Ncoa7","10","nuclear receptor coactivator 7 [Source:MGI Symbol;Acc:MGI:2444847]","red"
"ENSMUSG00000040785",0.952082239832275,0.330211857684281,"Ttc3","16","tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539]","red"
"ENSMUSG00000041645",0.803512275631157,0.526536291145752,"Ddx24","12","DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 [Source:MGI Symbol;Acc:MGI:1351337]","red"
"ENSMUSG00000042750",0.816938922249539,0.218839464869644,"Bex2","X","brain expressed X-linked 2 [Source:MGI Symbol;Acc:MGI:1338017]","red"
"ENSMUSG00000043004",0.932735795986686,0.295829546165355,"Gng2","14","guanine nucleotide binding protein (G protein), gamma 2 [Source:MGI Symbol;Acc:MGI:102705]","red"
"ENSMUSG00000043384",0.941764082646833,0.336088042715446,"Gprasp1","X","G protein-coupled receptor associated sorting protein 1 [Source:MGI Symbol;Acc:MGI:1917418]","red"
"ENSMUSG00000043388",0.861932997861647,0.400642389481358,"Tmem130","5","transmembrane protein 130 [Source:MGI Symbol;Acc:MGI:3607706]","red"
"ENSMUSG00000045284",0.817108406807567,0.296865916118751,"Dcaf12l1","X","DDB1 and CUL4 associated factor 12-like 1 [Source:MGI Symbol;Acc:MGI:2444462]","red"
"ENSMUSG00000045763",0.801545344863772,0.243673262736572,"Basp1","15","brain abundant, membrane attached signal protein 1 [Source:MGI Symbol;Acc:MGI:1917600]","red"
"ENSMUSG00000046287",0.809631664174644,0.33587922987266,"Pnma3","X","paraneoplastic antigen MA3 [Source:MGI Symbol;Acc:MGI:2180565]","red"
"ENSMUSG00000046449",0.883788433696223,0.260644521545371,"C77370","X","expressed sequence C77370 [Source:MGI Symbol;Acc:MGI:2148050]","red"
"ENSMUSG00000046593",0.884933133495462,0.210458468378486,"Tmem215","4","transmembrane protein 215 [Source:MGI Symbol;Acc:MGI:2444167]","red"
"ENSMUSG00000047261",0.885983543737676,0.463971764543582,"Gap43","16","growth associated protein 43 [Source:MGI Symbol;Acc:MGI:95639]","red"
"ENSMUSG00000048281",0.87706168983767,0.41280482939606,"Dleu7","14","deleted in lymphocytic leukemia, 7 [Source:MGI Symbol;Acc:MGI:2447771]","red"
"ENSMUSG00000050272",0.84820296771475,0.46681950774918,"Dscam","16","DS cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1196281]","red"
"ENSMUSG00000050711",0.8375097235948,0.314666618660283,"Scg2","1","secretogranin II [Source:MGI Symbol;Acc:MGI:103033]","red"
"ENSMUSG00000050890",0.82808628352588,0.337979507007513,"Pdik1l","4","PDLIM1 interacting kinase 1 like [Source:MGI Symbol;Acc:MGI:2385213]","red"
"ENSMUSG00000051146",0.859782776540838,0.353534914377752,"Camk2n2","16","calcium/calmodulin-dependent protein kinase II inhibitor 2 [Source:MGI Symbol;Acc:MGI:1920297]","red"
"ENSMUSG00000051359",0.819171205031367,0.350444506877679,"Ncald","15","neurocalcin delta [Source:MGI Symbol;Acc:MGI:1196326]","red"
"ENSMUSG00000051527",0.87498540200077,0.245136214669872,"Usp29","7","ubiquitin specific peptidase 29 [Source:MGI Symbol;Acc:MGI:1888998]","red"
"ENSMUSG00000051674",0.803466057234602,0.217350278555702,"Dcun1d4","5","DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140972]","red"
"ENSMUSG00000054459",0.904066531163914,0.402304330476485,"Vsnl1","12","visinin-like 1 [Source:MGI Symbol;Acc:MGI:1349453]","red"
