"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000015882",0.837440704215481,0.356177689336088,"Lcorl","5","ligand dependent nuclear receptor corepressor-like","green"
"ENSMUSG00000017412",0.826960567536194,0.268607423666199,"Cacnb4","2","calcium channel, voltage-dependent, beta 4 subunit","green"
"ENSMUSG00000021217",0.908296148893215,0.33023532245577,"Tshz3","7","teashirt zinc finger family member 3","green"
"ENSMUSG00000021301",0.891542868543967,0.23266991988541,"Hecw1","13","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","green"
"ENSMUSG00000021779",0.862166855572301,0.378601744553429,"Thrb","14","thyroid hormone receptor beta","green"
"ENSMUSG00000022419",0.81221646155086,0.386695857724179,"Deptor","15","DEP domain containing MTOR-interacting protein","green"
"ENSMUSG00000024517",0.828586174889793,0.284171418249181,"Grp","18","gastrin releasing peptide","green"
"ENSMUSG00000026463",0.849332002732164,0.307948775077861,"Atp2b4","1","ATPase, Ca++ transporting, plasma membrane 4","green"
"ENSMUSG00000026883",0.845249186325925,0.246804932138363,"Dab2ip","2","disabled 2 interacting protein","green"
"ENSMUSG00000030067",0.912242349513934,0.255526105294885,"Foxp1","6","forkhead box P1","green"
"ENSMUSG00000032890",0.922411866513101,0.31901495943893,"Rims3","4","regulating synaptic membrane exocytosis 3","green"
"ENSMUSG00000038026",0.835111070717469,0.352976307295821,"Kcnj9","1","potassium inwardly-rectifying channel, subfamily J, member 9","green"
"ENSMUSG00000038065",0.846675900785613,0.221699343822149,"Mturn","6","maturin, neural progenitor differentiation regulator homolog (Xenopus)","green"
"ENSMUSG00000038331",0.847268708821854,0.337265045768718,"Satb2","1","special AT-rich sequence binding protein 2","green"
"ENSMUSG00000040536",0.936068710214429,0.257636363612596,"Necab1","4","N-terminal EF-hand calcium binding protein 1","green"
"ENSMUSG00000040785",0.803594656601268,0.272009656895109,"Ttc3","16","tetratricopeptide repeat domain 3","green"
"ENSMUSG00000044252",0.816873363603182,0.260979857005338,"Osbpl1a","18","oxysterol binding protein-like 1A","green"
"ENSMUSG00000046844",0.815411570223625,0.394184519939884,"Vat1l","8","vesicle amine transport protein 1 like","green"
"ENSMUSG00000049100",0.879163145299651,0.237932175468243,"Pcdh10","3","protocadherin 10","green"
"ENSMUSG00000001056",0.834585850554845,-0.409012262033875,"Nhp2","11","NHP2 ribonucleoprotein","black"
"ENSMUSG00000003380",0.839856291819292,-0.265121428949496,"Rabac1","7","Rab acceptor 1 (prenylated)","black"
"ENSMUSG00000019494",0.801609101342537,-0.304950057201574,"Cops6","5","COP9 signalosome subunit 6","black"
"ENSMUSG00000023175",0.813241944239724,-0.391123778848483,"Bsg","10","basigin","black"
"ENSMUSG00000027223",0.803341922210074,-0.287161203259084,"Mapk8ip1","2","mitogen-activated protein kinase 8 interacting protein 1","black"
"ENSMUSG00000030120",0.878640886783286,-0.326791955403958,"Mlf2","6","myeloid leukemia factor 2","black"
"ENSMUSG00000044894",0.816861953561383,-0.328854900163556,"Uqcrq","11","ubiquinol-cytochrome c reductase, complex III subunit VII","black"
"ENSMUSG00000049760",0.824719461594666,-0.276051340012656,"Micos13","17","mitochondrial contact site and cristae organizing system subunit 13","black"
"ENSMUSG00000057863",0.892793189336013,-0.204340482249353,"Rpl36","17","ribosomal protein L36","black"
"ENSMUSG00000059355",0.846585026494408,-0.302400762203854,"Wdr83os","8","WD repeat domain 83 opposite strand","black"
"ENSMUSG00000067288",0.837451330519526,-0.335763624591474,"Rps28","17","ribosomal protein S28","black"
"ENSMUSG00000070394",0.846499202525176,-0.366121121086767,"Tmem256","11","transmembrane protein 256","black"
"ENSMUSG00000091537",0.833328119856732,-0.313315830066018,"Tma7","9","translational machinery associated 7","black"
