MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
76826,80224,Nubpl,2410170E07Rik,nucleotide binding protein-like,MitoCarta3.0,"literature, targetP signal, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+",Matrix,OXPHOS > Complex I > CI assembly factors | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS assembly factors,Tmito,17.1587,0.003,1,"literature, targetP signal, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70397,54968,Tmem70,1110020A09Rik|2210416J16Rik,transmembrane protein 70,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,22.7888,0.005,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68493,29078,Ndufaf4,1110007M04Rik|3000003G13Rik|AW214064,NADH:ubiquinone oxidoreductase complex assembly factor 4,MitoCarta3.0,"APEX_matrix, GFP, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.1417,0.004,1,"APEX_matrix, GFP, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69487,79133,Ndufaf5,2310003L22Rik,NADH:ubiquinone oxidoreductase complex assembly factor 5,MitoCarta3.0,"literature, APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,25.0201,0.003,1,"literature, APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66271,84233,Tmem126a,1810020E01Rik,transmembrane protein 126A,MitoCarta3.0,"literature, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,23.7058,0.005,1,"literature, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69702,51103,Ndufaf1,2410001M24Rik|CGI-6|CGI-65|CIA|CIA30,NADH:ubiquinone oxidoreductase complex assembly factor 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,22.6443,0.005,1,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76947,137682,Ndufaf6,2310030N02Rik,NADH:ubiquinone oxidoreductase complex assembly factor 6,MitoCarta3.0,"literature, targetP signal, mito protein domain, induction, coexpression++, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,19.4096,0.003,1,"literature, targetP signal, mito protein domain, induction, coexpression++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73694,55471,Ndufaf7,2410091C18Rik|AL033374|PRO1853,NADH:ubiquinone oxidoreductase complex assembly factor 7,MitoCarta3.0,"APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain+, coexpression, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,18.3587,0.003,1,"APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain+, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229211,28976,Acad9,2600017P15Rik|4732402K02|C630012L17Rik|NPD0|NPD002,"acyl-Coenzyme A dehydrogenase family, member 9",MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain+, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,18.3535,0.003,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108755,57226,Lyrm2,2610208E05Rik,LYR motif containing 2,MitoCarta3.0,"APEX_matrix, GFP, targetP signal+, mito protein domain+, coexpression, MS/MS",Matrix,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,15.022,0.008,1,"APEX_matrix, GFP, targetP signal+, mito protein domain+, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
