"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000072941",0.832336349935552,-0.347761852599202,"Sod3","5","superoxide dismutase 3, extracellular","sienna3"
"ENSMUSG00000020863",0.835672165602746,0.419370414470935,"Luc7l3","11","LUC7-like 3 (S. cerevisiae)","violet"
"ENSMUSG00000034243",0.818446246054345,0.37322804732147,"Golgb1","16","golgi autoantigen, golgin subfamily b, macrogolgin 1","violet"
"ENSMUSG00000061755",0.804541351315965,0.540484638834724,"Bod1l","5","biorientation of chromosomes in cell division 1-like","violet"
"ENSMUSG00000013155",0.836011371844556,0.332075589752153,"Enkd1","8","enkurin domain containing 1","darkmagenta"
"ENSMUSG00000028664",0.807530880379212,0.482498557545395,"Ephb2","4","Eph receptor B2","darkmagenta"
"ENSMUSG00000036760",0.816108582713481,0.345562789396293,"Kcnk9","15","potassium channel, subfamily K, member 9","darkmagenta"
"ENSMUSG00000040151",0.826217024383288,0.283213216545336,"Hs2st1","3","heparan sulfate 2-O-sulfotransferase 1","darkmagenta"
"ENSMUSG00000005034",0.875974340998996,0.263443793754005,"Prkacb","3","protein kinase, cAMP dependent, catalytic, beta","cyan"
"ENSMUSG00000021534",0.892082687625176,0.213690218278184,"1700001L19Rik","13","RIKEN cDNA 1700001L19 gene","cyan"
"ENSMUSG00000022822",0.854080183892964,0.293012030366343,"Abcc5","16","ATP-binding cassette, sub-family C (CFTR/MRP), member 5","cyan"
"ENSMUSG00000026203",0.812682916535639,0.235989679873441,"Dnajb2","1","DnaJ heat shock protein family (Hsp40) member B2","cyan"
"ENSMUSG00000032076",0.833143125025106,0.302267569250848,"Cadm1","9","cell adhesion molecule 1","cyan"
"ENSMUSG00000034377",0.802162876906668,0.318092659976075,"Tulp4","17","tubby like protein 4","cyan"
"ENSMUSG00000040649",0.8137805031447,0.330959579807001,"Rimklb","6","ribosomal modification protein rimK-like family member B","cyan"
"ENSMUSG00000041757",0.832704060624209,0.355099117923921,"Plekha6","1","pleckstrin homology domain containing, family A member 6","cyan"
"ENSMUSG00000061080",0.901522613343105,0.303536009584839,"Lsamp","16","limbic system-associated membrane protein","cyan"
"ENSMUSG00000061288",0.87821616440991,0.32628486382793,"Taok3","5","TAO kinase 3","cyan"
"ENSMUSG00000027091",0.842235514278847,-0.364735292656082,"Zc3h15","2","zinc finger CCCH-type containing 15","floralwhite"
"ENSMUSG00000030763",0.820728636829522,-0.275505988968142,"Lcmt1","7","leucine carboxyl methyltransferase 1","floralwhite"
"ENSMUSG00000035376",0.816576939443702,-0.408524330702453,"Hacd2","16","3-hydroxyacyl-CoA dehydratase 2","floralwhite"
"ENSMUSG00000036678",0.858910271665784,-0.395139753779847,"Aaas","15","achalasia, adrenocortical insufficiency, alacrimia","floralwhite"
"ENSMUSG00000014245",0.835003697483294,-0.301137461989457,"Pigl","11","phosphatidylinositol glycan anchor biosynthesis, class L","midnightblue"
"ENSMUSG00000016319",0.833068139160265,-0.463640021612096,"Slc25a5","X","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5","midnightblue"
"ENSMUSG00000020458",0.929434609898192,-0.346961657533348,"Rtn4","11","reticulon 4","midnightblue"
"ENSMUSG00000020475",0.835744236711633,-0.242232245798701,"Pgam2","11","phosphoglycerate mutase 2","midnightblue"
"ENSMUSG00000022636",0.904843342164788,-0.38566650567905,"Alcam","16","activated leukocyte cell adhesion molecule","midnightblue"
"ENSMUSG00000024524",0.87930804154897,-0.476829782435965,"Gnal","18","guanine nucleotide binding protein, alpha stimulating, olfactory type","midnightblue"
"ENSMUSG00000025370",0.867325435726998,-0.314399503572828,"Cdh9","15","cadherin 9","midnightblue"
"ENSMUSG00000026749",0.837648136832572,-0.425445793905633,"Nek6","2","NIMA (never in mitosis gene a)-related expressed kinase 6","midnightblue"
"ENSMUSG00000027346",0.80221759652542,-0.299175847843162,"Gpcpd1","2","glycerophosphocholine phosphodiesterase 1","midnightblue"
"ENSMUSG00000027971",0.897218727200326,-0.219988334317835,"Ndst4","3","N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4","midnightblue"
"ENSMUSG00000029672",0.923421284353423,-0.344239249618393,"Fam3c","6","FAM3 metabolism regulating signaling molecule C","midnightblue"
"ENSMUSG00000031557",0.916080407783567,-0.298893009121694,"Plekha2","8","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2","midnightblue"
"ENSMUSG00000031618",0.831610576589613,-0.253843397685905,"Nr3c2","8","nuclear receptor subfamily 3, group C, member 2","midnightblue"
"ENSMUSG00000032096",0.86264381447846,-0.397182090712924,"Arcn1","9","archain 1","midnightblue"
"ENSMUSG00000033615",0.8227995858884,-0.35207677236,"Cplx1","5","complexin 1","midnightblue"
"ENSMUSG00000034648",0.873375995836653,-0.253323216277364,"Lrrn1","6","leucine rich repeat protein 1, neuronal","midnightblue"
"ENSMUSG00000034898",0.885329293119815,-0.221526763926094,"Filip1","9","filamin A interacting protein 1","midnightblue"
"ENSMUSG00000035131",0.812070373472929,-0.321680684527815,"Brinp3","1","bone morphogenetic protein/retinoic acid inducible neural specific 3","midnightblue"
"ENSMUSG00000035168",0.907837965637315,-0.29912637996637,"Tanc1","2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","midnightblue"
"ENSMUSG00000036095",0.873370300989883,-0.27639833494281,"Dgkb","12","diacylglycerol kinase, beta","midnightblue"
"ENSMUSG00000042348",0.917906811841926,-0.435049685042196,"Arl15","13","ADP-ribosylation factor-like 15","midnightblue"
"ENSMUSG00000042524",0.901864655972274,-0.240533257933384,"Sun2","15","Sad1 and UNC84 domain containing 2","midnightblue"
"ENSMUSG00000044308",0.820559931577413,-0.246879548259548,"Ubr3","2","ubiquitin protein ligase E3 component n-recognin 3","midnightblue"
"ENSMUSG00000046722",0.807034266798189,-0.227847948485851,"Cdc42se1","3","CDC42 small effector 1","midnightblue"
"ENSMUSG00000047714",0.857891823605966,-0.322710289181029,"Ppp1r2","16","protein phosphatase 1, regulatory inhibitor subunit 2","midnightblue"
"ENSMUSG00000049001",0.859672805486234,-0.331418742737645,"Ndnf","6","neuron-derived neurotrophic factor","midnightblue"
"ENSMUSG00000051285",0.887098908186358,-0.454671818581203,"Pcmtd1","1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1","midnightblue"
"ENSMUSG00000054364",0.891728344752999,-0.304912774544512,"Rhob","12","ras homolog family member B","midnightblue"
"ENSMUSG00000055675",0.841576594501732,-0.452149140843741,"Kbtbd11","8","kelch repeat and BTB (POZ) domain containing 11","midnightblue"
"ENSMUSG00000059182",0.829385894367691,-0.281740517374359,"Skap2","6","src family associated phosphoprotein 2","midnightblue"
"ENSMUSG00000002332",0.835906514992266,-0.44643525074407,"Dhrs1","14","dehydrogenase/reductase (SDR family) member 1","white"
"ENSMUSG00000008333",0.81981129889292,-0.412138645305087,"Snrpb2","2","U2 small nuclear ribonucleoprotein B","white"
"ENSMUSG00000040794",0.840996434089486,-0.252630896171169,"C1qtnf4","2","C1q and tumor necrosis factor related protein 4","white"
"ENSMUSG00000044894",0.875361383765551,-0.307102036390502,"Uqcrq","11","ubiquinol-cytochrome c reductase, complex III subunit VII","white"
"ENSMUSG00000070394",0.849164675451388,-0.211562824573367,"Tmem256","11","transmembrane protein 256","white"
"ENSMUSG00000006699",0.926540900863739,-0.290305437817212,"Cdc42","4","cell division cycle 42","yellow"
"ENSMUSG00000006818",0.849875423894582,-0.222341013214398,"Sod2","17","superoxide dismutase 2, mitochondrial","yellow"
"ENSMUSG00000011752",0.822038579541783,-0.481732817990391,"Pgam1","19","phosphoglycerate mutase 1","yellow"
"ENSMUSG00000015478",0.869872152026538,-0.350319948251668,"Rnf5","17","ring finger protein 5","yellow"
"ENSMUSG00000016427",0.87989400037422,-0.250415609110026,"Ndufa1","X","NADH:ubiquinone oxidoreductase subunit A1","yellow"
"ENSMUSG00000018865",0.820780619776573,-0.248913713876354,"Sult4a1","15","sulfotransferase family 4A, member 1","yellow"
"ENSMUSG00000020321",0.947473409052905,-0.231947319396817,"Mdh1","11","malate dehydrogenase 1, NAD (soluble)","yellow"
"ENSMUSG00000020349",0.915680989012539,-0.237593570644468,"Ppp2ca","11","protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform","yellow"
"ENSMUSG00000020402",0.872300653621556,-0.281622536442178,"Vdac1","11","voltage-dependent anion channel 1","yellow"
"ENSMUSG00000020664",0.815931691271515,-0.235744611774734,"Dld","12","dihydrolipoamide dehydrogenase","yellow"
"ENSMUSG00000020849",0.919343667167431,-0.365779831352806,"Ywhae","11","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide","yellow"
"ENSMUSG00000020993",0.837138877191072,-0.29329222639263,"Trappc6b","12","trafficking protein particle complex 6B","yellow"
"ENSMUSG00000021087",0.892518050584661,-0.461954107041524,"Rtn1","12","reticulon 1","yellow"
"ENSMUSG00000021290",0.844317446524427,-0.384549657064387,"Atp5mpl","12","ATP synthase membrane subunit 6.8PL","yellow"
"ENSMUSG00000021481",0.815028767626015,-0.256548758154549,"Zfp346","13","zinc finger protein 346","yellow"
"ENSMUSG00000022110",0.814072462616324,-0.262769375659114,"Sucla2","14","succinate-Coenzyme A ligase, ADP-forming, beta subunit","yellow"
"ENSMUSG00000022663",0.823358679519905,-0.268759382055863,"Atg3","16","autophagy related 3","yellow"
"ENSMUSG00000024844",0.802430576121188,-0.33918907078025,"Banf1","19","BAF nuclear assembly factor 1","yellow"
"ENSMUSG00000024873",0.834605503968643,-0.43705015047918,"Cnih2","19","cornichon family AMPA receptor auxiliary protein 2","yellow"
"ENSMUSG00000025190",0.8363871540259,-0.327636827523513,"Got1","19","glutamic-oxaloacetic transaminase 1, soluble","yellow"
"ENSMUSG00000025393",0.896118834043473,-0.348752266407645,"Atp5b","10","ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit","yellow"
"ENSMUSG00000025428",0.897591312078047,-0.383224230947978,"Atp5a1","18","ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1","yellow"
"ENSMUSG00000026032",0.818968682664302,-0.340814434099095,"Ndufb3","1","NADH:ubiquinone oxidoreductase subunit B3","yellow"
"ENSMUSG00000026154",0.89834915243478,-0.307980174768705,"Sdhaf4","1","succinate dehydrogenase complex assembly factor 4","yellow"
"ENSMUSG00000026426",0.820504338795673,-0.367076340454783,"Arl8a","1","ADP-ribosylation factor-like 8A","yellow"
"ENSMUSG00000026456",0.840544500361063,-0.319831887653042,"Cyb5r1","1","cytochrome b5 reductase 1","yellow"
"ENSMUSG00000027531",0.88483039513132,-0.268557574164817,"Impa1","3","inositol (myo)-1(or 4)-monophosphatase 1","yellow"
"ENSMUSG00000027774",0.846335229725216,-0.323989325749522,"Gfm1","3","G elongation factor, mitochondrial 1","yellow"
"ENSMUSG00000028998",0.852834224283001,-0.231644547550103,"Tomm7","5","translocase of outer mitochondrial membrane 7","yellow"
"ENSMUSG00000029001",0.807279537273794,-0.439528989954364,"Fbxo44","4","F-box protein 44","yellow"
"ENSMUSG00000029621",0.853843125450673,-0.265841839349275,"Arpc1a","5","actin related protein 2/3 complex, subunit 1A","yellow"
"ENSMUSG00000029752",0.813230122162863,-0.445306126374238,"Asns","6","asparagine synthetase","yellow"
"ENSMUSG00000029918",0.841479428636875,-0.440764622317284,"Mrps33","6","mitochondrial ribosomal protein S33","yellow"
"ENSMUSG00000030647",0.891467769953252,-0.270108650701465,"Ndufc2","7","NADH:ubiquinone oxidoreductase subunit C2","yellow"
"ENSMUSG00000031633",0.873122176794638,-0.215012906367782,"Slc25a4","8","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4","yellow"
"ENSMUSG00000031672",0.806729574888272,-0.319750277409036,"Got2","8","glutamatic-oxaloacetic transaminase 2, mitochondrial","yellow"
"ENSMUSG00000031839",0.836587720915188,-0.272005282367201,"Hsbp1","8","heat shock factor binding protein 1","yellow"
"ENSMUSG00000031924",0.842886031041633,-0.417580515682757,"Cyb5b","8","cytochrome b5 type B","yellow"
"ENSMUSG00000032301",0.864285864568197,-0.259197315708027,"Psma4","9","proteasome subunit alpha 4","yellow"
"ENSMUSG00000032324",0.836720356317914,-0.366058746124971,"Tspan3","9","tetraspanin 3","yellow"
"ENSMUSG00000036372",0.900113195855847,-0.285372144954744,"Tmem258","19","transmembrane protein 258","yellow"
"ENSMUSG00000036751",0.890366330739611,-0.402853088290031,"Cox6b1","7","cytochrome c oxidase, subunit 6B1","yellow"
"ENSMUSG00000036934",0.809907850275566,-0.281299829833569,"4921524J17Rik","8","RIKEN cDNA 4921524J17 gene","yellow"
"ENSMUSG00000037710",0.901013498784305,-0.230023527367907,"Cisd1","10","CDGSH iron sulfur domain 1","yellow"
"ENSMUSG00000038462",0.867503534742626,-0.426531069512817,"Uqcrfs1","13","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1","yellow"
"ENSMUSG00000038690",0.835401084258033,-0.279478876724153,"Atp5j2","5","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2","yellow"
"ENSMUSG00000038722",0.81045116609893,-0.34942163550082,"Bud31","5","BUD31 homolog","yellow"
"ENSMUSG00000040907",0.922218068875792,-0.22322285182693,"Atp1a3","7","ATPase, Na+/K+ transporting, alpha 3 polypeptide","yellow"
"ENSMUSG00000045948",0.942503526967884,-0.21835912399049,"Mrps12","7","mitochondrial ribosomal protein S12","yellow"
"ENSMUSG00000048076",0.834263332396761,-0.209159050963301,"Arf1","11","ADP-ribosylation factor 1","yellow"
"ENSMUSG00000058267",0.835916911116455,-0.222967704108169,"Mrps14","1","mitochondrial ribosomal protein S14","yellow"
"ENSMUSG00000060450",0.81537834721268,-0.434009587423272,"Rnf14","18","ring finger protein 14","yellow"
"ENSMUSG00000061518",0.808914738531606,-0.30262520526755,"Cox5b","1","cytochrome c oxidase subunit 5B","yellow"
"ENSMUSG00000062380",0.919299747029752,-0.218971971711249,"Tubb3","8","tubulin, beta 3 class III","yellow"
"ENSMUSG00000062825",0.832904973708169,-0.308638954916189,"Actg1","11","actin, gamma, cytoplasmic 1","yellow"
"ENSMUSG00000071528",0.910344072400912,-0.259926150491636,"Atp5md","19","ATP synthase membrane subunit DAPIT","yellow"
"ENSMUSG00000071866",0.846146759269217,-0.212460346741851,"Ppia","11","peptidylprolyl isomerase A","yellow"
"ENSMUSG00000078652",0.84676838316917,-0.283703012023216,"Psme3","11","proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki)","yellow"
"ENSMUSG00000078812",0.868853745547177,-0.211154546043281,"Eif5a","11","eukaryotic translation initiation factor 5A","yellow"
"ENSMUSG00000113902",0.845451225835574,-0.306861541178756,"Ndufb1","12","NADH:ubiquinone oxidoreductase subunit B1","yellow"
"ENSMUSG00000021338",0.877479611818928,0.299866092225812,"Carmil1","13","capping protein regulator and myosin 1 linker 1","yellowgreen"
"ENSMUSG00000033411",0.908043208873816,0.224262301558557,"Ctdspl2","2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2","yellowgreen"
"ENSMUSG00000033871",0.816964802825012,0.348763989001446,"Ppargc1b","18","peroxisome proliferative activated receptor, gamma, coactivator 1 beta","yellowgreen"
"ENSMUSG00000034007",0.825984580317259,0.24476787513356,"Scaper","9","S phase cyclin A-associated protein in the ER","yellowgreen"
"ENSMUSG00000040209",0.857412780244949,0.398832785340605,"Zfp704","3","zinc finger protein 704","yellowgreen"
"ENSMUSG00000000171",0.82349240931511,-0.238914012261449,"Sdhd","9","succinate dehydrogenase complex, subunit D, integral membrane protein","salmon"
"ENSMUSG00000031447",0.814507694966697,-0.205786581520674,"Lamp1","8","lysosomal-associated membrane protein 1","salmon"
"ENSMUSG00000034189",0.801087088344861,0.243351235260312,"Hsdl1","8","hydroxysteroid dehydrogenase like 1","salmon"
"ENSMUSG00000046432",0.836343869878593,0.315500721196076,"Bex3","X","brain expressed X-linked 3","salmon"
"ENSMUSG00000071014",0.83624953849727,-0.254278971050593,"Ndufb6","4","NADH:ubiquinone oxidoreductase subunit B6","salmon"
"ENSMUSG00000003534",0.864129823219668,0.209911375944743,"Ddr1","17","discoidin domain receptor family, member 1","pink"
"ENSMUSG00000027245",0.852188530498297,0.346536983163388,"Hypk","2","huntingtin interacting protein K","pink"
"ENSMUSG00000028234",0.925508705625555,0.22662527356741,"Rps20","4","ribosomal protein S20","pink"
"ENSMUSG00000028495",0.890029177654971,0.237916308208242,"Rps6","4","ribosomal protein S6","pink"
"ENSMUSG00000031343",0.809614815457609,0.342271559900905,"Gabra3","X","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3","pink"
"ENSMUSG00000032040",0.802798971218796,0.251964060081128,"Dcps","9","decapping enzyme, scavenger","pink"
"ENSMUSG00000033307",0.848515682456609,0.217364519953971,"Mif","10","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","pink"
"ENSMUSG00000035215",0.900554467267412,0.303090595050975,"Lsm7","10","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","pink"
"ENSMUSG00000038812",0.839605652810067,0.327395456572816,"Trmt112","19","tRNA methyltransferase 11-2","pink"
"ENSMUSG00000050772",0.861042480554902,0.25788570293216,"Olfr1124","2","olfactory receptor 1124","pink"
"ENSMUSG00000059291",0.922279979891275,0.255903924982336,"Rpl11","4","ribosomal protein L11","pink"
"ENSMUSG00000060036",0.965891074227036,0.270010144943356,"Rpl3","15","ribosomal protein L3","pink"
"ENSMUSG00000062006",0.873244538262619,0.202252392056275,"Rpl34","3","ribosomal protein L34","pink"
"ENSMUSG00000072845",0.834226159012263,0.227601551464953,"Tmprss11a","5","transmembrane protease, serine 11a","pink"
"ENSMUSG00000109324",0.835530291895675,0.311204897746211,"Prmt1","7","protein arginine N-methyltransferase 1","pink"
"ENSMUSG00000000902",0.845824606436072,0.404769573010227,"Smarcb1","10","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","brown"
"ENSMUSG00000001496",0.810165910002203,0.395704732271122,"Nkx2-1","12","NK2 homeobox 1","brown"
"ENSMUSG00000004127",0.868482810539753,0.497587128000796,"Trmt10a","3","tRNA methyltransferase 10A","brown"
"ENSMUSG00000004842",0.85702582729334,0.460007233761927,"Pou1f1","16","POU domain, class 1, transcription factor 1","brown"
"ENSMUSG00000013353",0.817888889633372,0.444280059438991,"4931406B18Rik","7","RIKEN cDNA 4931406B18 gene","brown"
"ENSMUSG00000014725",0.859060986924018,0.385970156470581,"Adam28","14","a disintegrin and metallopeptidase domain 28","brown"
"ENSMUSG00000015653",0.823756735750498,0.425517647691406,"Steap2","5","six transmembrane epithelial antigen of prostate 2","brown"
"ENSMUSG00000021123",0.826996655627769,0.372724838339916,"Rdh12","12","retinol dehydrogenase 12","brown"
"ENSMUSG00000021585",0.860405326752564,0.267035336445827,"Cast","13","calpastatin","brown"
"ENSMUSG00000021774",0.869373803144462,0.252909709049928,"Ube2e1","14","ubiquitin-conjugating enzyme E2E 1","brown"
"ENSMUSG00000023118",0.818368622933746,0.347712263868651,"Sympk","7","symplekin","brown"
"ENSMUSG00000023781",0.812736893589689,0.320569237505747,"Hes7","11","hes family bHLH transcription factor 7","brown"
"ENSMUSG00000024413",0.833086664008538,0.302727158490415,"Npc1","18","NPC intracellular cholesterol transporter 1","brown"
"ENSMUSG00000026023",0.842361555711399,0.451531492836829,"Cdk15","1","cyclin-dependent kinase 15","brown"
"ENSMUSG00000027810",0.84901958854642,0.393169342241535,"Eif2a","3","eukaryotic translation initiation factor 2A","brown"
"ENSMUSG00000028080",0.851347705269219,0.211961274891717,"Lrba","3","LPS-responsive beige-like anchor","brown"
"ENSMUSG00000028141",0.851436959436789,0.558856767460779,"Oaz3","3","ornithine decarboxylase antizyme 3","brown"
"ENSMUSG00000028427",0.848623334336869,0.280903183629613,"Aqp7","4","aquaporin 7","brown"
"ENSMUSG00000028644",0.904934713152389,0.233244250553163,"Ermap","4","erythroblast membrane-associated protein","brown"
"ENSMUSG00000031373",0.872742400549339,0.240679426836638,"Car5b","X","carbonic anhydrase 5b, mitochondrial","brown"
"ENSMUSG00000032754",0.815009537914621,0.387117055736432,"Slc8b1","5","solute carrier family 8 (sodium/lithium/calcium exchanger), member B1","brown"
"ENSMUSG00000037108",0.805911672005124,0.215540288465618,"Zcwpw1","5","zinc finger, CW type with PWWP domain 1","brown"
"ENSMUSG00000037486",0.9077338843567,0.244256070823227,"Asxl2","12","ASXL transcriptional regulator 2","brown"
"ENSMUSG00000037519",0.815295215883329,0.415594745839127,"Ppfia1","7","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1","brown"
"ENSMUSG00000038122",0.860461731140072,0.400826858624867,"Tbc1d32","10","TBC1 domain family, member 32","brown"
"ENSMUSG00000038766",0.823255688089324,0.388566185617861,"Gabpb2","3","GA repeat binding protein, beta 2","brown"
"ENSMUSG00000039232",0.868022468520589,0.368255520392664,"Stx11","10","syntaxin 11","brown"
"ENSMUSG00000040189",0.856289303059833,0.26381796242618,"Odad1","7","outer dynein arm docking complex subunit 1","brown"
"ENSMUSG00000041117",0.824247544840697,0.312448116759542,"Ccdc8","7","coiled-coil domain containing 8","brown"
"ENSMUSG00000042104",0.874097523334368,0.237216160741087,"Uggt2","14","UDP-glucose glycoprotein glucosyltransferase 2","brown"
"ENSMUSG00000042345",0.855605873305636,0.342673601469941,"Ubash3a","17","ubiquitin associated and SH3 domain containing, A","brown"
"ENSMUSG00000045875",0.803112267909756,0.225769473798672,"Adra1a","14","adrenergic receptor, alpha 1a","brown"
"ENSMUSG00000048080",0.841379058509278,0.407072424942892,"Olfr731","14","olfactory receptor 731","brown"
"ENSMUSG00000049041",0.83830339764109,0.246028790853238,"Olfr398","11","olfactory receptor 398","brown"
"ENSMUSG00000051166",0.80957210595552,0.311554151151713,"Eml5","12","echinoderm microtubule associated protein like 5","brown"
"ENSMUSG00000051235",0.804051837212392,0.254792489219219,"Gen1","12","GEN1, Holliday junction 5' flap endonuclease","brown"
"ENSMUSG00000054568",0.828184454939126,0.397565124738652,"Usp17la","7","ubiquitin specific peptidase 17-like A","brown"
"ENSMUSG00000056268",0.875731175560738,0.315578869977076,"Dennd1b","1","DENN/MADD domain containing 1B","brown"
"ENSMUSG00000056883",0.816207887387628,0.462875215459337,"Olfr533","7","olfactory receptor 533","brown"
"ENSMUSG00000057440",0.8351569568308,0.301015058743298,"Mpp7","18","membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)","brown"
"ENSMUSG00000057457",0.938983259210209,0.297325988353786,"Phex","X","phosphate regulating endopeptidase homolog, X-linked","brown"
"ENSMUSG00000058488",0.872643925736346,0.320814515589187,"Kl","5","klotho","brown"
"ENSMUSG00000060487",0.807545787733137,0.373701019850066,"Samd5","10","sterile alpha motif domain containing 5","brown"
"ENSMUSG00000062328",0.871821197607672,0.280686139456667,"Rpl17","18","ribosomal protein L17","brown"
"ENSMUSG00000063522",0.821689094991129,0.2897427746296,"Ly6m","15","lymphocyte antigen 6 complex, locus M","brown"
"ENSMUSG00000070417",0.859310972167235,0.263077122884922,"Olfr2","7","olfactory receptor 2","brown"
"ENSMUSG00000074291",0.869885888263352,0.210718948412841,"Vmn1r168","7","vomeronasal 1 receptor 168","brown"
"ENSMUSG00000075204",0.843051816702053,0.289632290066376,"Olfr1039","2","olfactory receptor 1039","brown"
"ENSMUSG00000079363",0.824100535384297,0.206519833844572,"Gbp4","5","guanylate binding protein 4","brown"
"ENSMUSG00000083587",0.811810807119639,0.202899330571462,"Gm14741","X","predicted gene 14741","brown"
"ENSMUSG00000089789",0.804136598828272,0.237219548571424,"Rdh1","10","retinol dehydrogenase 1 (all trans)","brown"
"ENSMUSG00000090751",0.909803536844417,0.388975455611415,"Vmn2r63","7","vomeronasal 2, receptor 63","brown"
"ENSMUSG00000090799",0.840503179594841,0.24394523773112,"Klhl33","14","kelch-like 33","brown"
"ENSMUSG00000091151",0.954360273542769,0.288327232721791,"Vmn1r224","17","vomeronasal 1 receptor 224","brown"
"ENSMUSG00000092111",0.839663823376703,0.534091311610845,"Vmn2r113","17","vomeronasal 2, receptor 113","brown"
"ENSMUSG00000094200",0.879648286936724,0.382904827052576,"Olfr237","6","olfactory receptor 237","brown"
"ENSMUSG00000094588",0.827820687855802,0.359690011792486,"Olfr898","9","olfactory receptor 898","brown"
"ENSMUSG00000094672",0.805253845438384,0.324774214221484,"Vmn2r25","6","vomeronasal 2, receptor 25","brown"
"ENSMUSG00000108162",0.850311742996716,0.259231200549171,"Gm20589","6","predicted gene, 20589","brown"
"ENSMUSG00000109398",0.859106546592885,0.235945670520593,"Gm3854","7","predicted gene 3854","brown"
"ENSMUSG00000109843",0.853283451009436,0.366007735548292,"Gm17841","7","predicted gene, 17841","brown"
"ENSMUSG00000112013",0.88436082167914,0.251951324459771,"Gm47967","10","predicted gene, 47967","brown"
"ENSMUSG00000115744",0.862323858346761,0.31814929365828,"Vmn1r80","7","vomeronasal 1 receptor 80","brown"
